geo_id,name,us_co_fips,co_fips,us_st_fips,st_fips,sex_male,sex_female,age_5_to_9,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_34,age_35_to_44,age_45_to_54,age_55_to_59,age_60_to_64,age_65_to_74,age_75_to_84,sex_65_plus_male,sex_65_plus_female,race_white,race_black_or_african_american,race_american_indian_and_alaska_native,race_asian,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,housing_units,voting_eligable_population
0500000US01001,"Autauga County, Alabama",US01001,1001,US01,1,26874,28326,4009,3570,3855,3337,7064,7374,7853,4131,2694,4711,2524,3488,4562,43367,10962,464,895,115,427,23315,41304
0500000US01003,"Baldwin County, Alabama",US01003,1003,US01,1,101188,106919,11689,14323,12707,10790,23326,25377,28330,14440,14851,24551,12165,18870,21795,182689,20311,3185,2824,79,2648,111945,159193
0500000US01005,"Barbour County, Alabama",US01005,1005,US01,1,13697,12085,1450,1677,1434,1658,3675,3104,3452,1657,1651,2820,1392,2004,2630,12461,12492,301,155,1,800,11937,19991
0500000US01007,"Bibb County, Alabama",US01007,1007,US01,1,12152,10375,1178,1289,1514,1491,3075,2895,3439,1494,1216,2122,1112,1633,2028,17447,5117,90,51,0,9,9161,17672
0500000US01009,"Blount County, Alabama",US01009,1009,US01,1,28434,29211,3632,3995,3717,3189,6786,7153,7947,3895,3613,6132,3235,4540,5693,55981,1124,714,292,53,479,24222,42627
0500000US01011,"Bullock County, Alabama",US01011,1011,US01,1,5663,4689,634,540,772,706,1120,1599,1322,593,854,1011,430,685,931,2276,7893,122,56,0,5,4526,8202
0500000US01013,"Butler County, Alabama",US01013,1013,US01,1,9368,10657,1293,1274,1292,1073,2424,2401,2427,1460,1370,2081,1168,1555,2251,10709,9216,128,286,0,9,10026,15360
0500000US01015,"Calhoun County, Alabama",US01015,1015,US01,1,55315,59783,6844,7158,7773,7626,15017,13845,14958,7851,8078,11489,5847,8223,11163,88030,25088,1382,1581,144,1903,53682,88401
0500000US01017,"Chambers County, Alabama",US01017,1017,US01,1,16257,17569,1728,2099,1960,2525,3691,3973,4648,2638,2205,3775,1932,2711,3698,19830,13555,175,438,0,175,16981,26424
0500000US01019,"Cherokee County, Alabama",US01019,1019,US01,1,12820,13033,1470,1520,1603,1383,2529,2917,3642,2047,1917,3426,1716,2611,3010,24167,1336,377,59,32,90,16531,20492
