fips,emp,ap,est
1001,27538,795458,2549
1003,171167,5370195,15697
1005,15463,499735,1356
1007,7668,293190,870
1009,15844,491296,2024
1011,3716,112112,321
1013,14360,440705,1227
1015,93912,2997973,6974
1017,14920,468744,1638
1019,9212,274080,1083
1021,18923,601277,2213
1023,5533,224247,753
1025,17158,542333,1782
1027,8488,266257,570
1029,3158,114619,480
1031,33394,1051512,2955
1033,54621,2042843,3684
1035,5446,174374,564
1037,1831,65817,279
1039,24342,760219,2423
1041,7398,243525,642
1043,64797,2223558,5185
1045,23182,954205,2217
1047,25145,818397,2212
1049,44938,1513632,3271
1051,34680,1126108,3500
1053,24555,816300,2192
1055,81056,2606612,5917
1057,7578,230828,942
1059,22526,730126,1567
1061,9407,265026,1221
1063,2700,89063,331
1065,4104,148147,539
1067,6059,210722,894
1069,114269,4243498,8106
1071,31205,980236,2537
1073,911086,44821771,49424
1075,7104,249927,719
1077,68357,1992044,6087
1079,7631,193409,1160
1081,119414,3671608,8173
1083,43162,1508374,4114
1085,3680,152191,308
1087,9580,394283,600
1089,443664,22044032,24964
1091,14001,490146,1400
1093,18471,563174,1593
1095,83378,2630209,5410
1097,440345,18439224,26201
1099,12373,478453,1176
1101,288355,11896284,16761
1103,114021,4572703,7715
1105,3438,96286,351
1107,6467,200197,796
1109,26674,976005,1939
1111,8818,237947,987
1113,27625,880129,2341
1115,43278,1465188,3842
1117,227631,10861540,15383
1119,5202,177512,588
1121,56897,2330781,3685
1123,26025,774454,2218
1125,210097,7864674,12249
1127,37837,1242624,3661
1129,10374,763846,630
1131,3883,151228,539
1133,14444,424505,1342
1999,169335,5333527,1497
2013,2422,96849,165
2016,10370,410547,345
2020,429034,26050978,26379
2050,7161,287644,782
2060,940,121180,231
2068,911,97848,312
2070,2338,141824,267
2090,74588,3759314,7397
2100,1301,57906,423
2105,442,21437,222
2110,29780,1436594,3449
2122,41617,2089017,6308
2130,13116,727731,1805
2150,15165,518261,1445
2164,563,40077,174
2170,48955,2298934,6608
2180,4671,221561,522
2185,8134,638467,471
2188,2904,204722,243
2195,2409,113184,516
2198,2229,87839,443
2220,6845,323851,1124
2230,843,69625,351
2240,2400,133637,501
2261,6591,441549,1483
2270,1336,31351,228
2275,919,33237,272
