fips,fipstate,naics,emp,ap,est,ABBR
2013,2,------,2265,92133,55,AK
2013,2,11----,0,0,2,AK
2013,2,114111,0,0,2,AK
2013,2,22----,0,0,2,AK
2013,2,221112,0,0,1,AK
2013,2,221122,0,0,1,AK
2013,2,23----,0,0,1,AK
2013,2,238130,0,0,1,AK
2013,2,31----,0,0,5,AK
2013,2,311710,0,0,5,AK
2013,2,42----,0,0,1,AK
2013,2,424460,0,0,1,AK
2013,2,44----,57,2417,6,AK
2013,2,445110,45,1042,4,AK
2013,2,454310,0,0,2,AK
2013,2,48----,0,0,4,AK
2013,2,481111,0,0,3,AK
2013,2,493110,0,0,1,AK
2013,2,51----,0,0,1,AK
2013,2,515112,0,0,1,AK
2013,2,52----,0,0,1,AK
2013,2,525990,0,0,1,AK
2013,2,53----,10,148,4,AK
2013,2,531120,0,0,2,AK
2013,2,531190,0,0,2,AK
2013,2,56----,0,0,4,AK
2013,2,561110,0,0,4,AK
2013,2,61----,0,0,1,AK
2013,2,611710,0,0,1,AK
2013,2,62----,0,0,10,AK
2013,2,621498,0,0,6,AK
2013,2,624190,0,0,2,AK
2013,2,624410,0,0,2,AK
2013,2,71----,0,0,1,AK
2013,2,713990,0,0,1,AK
2013,2,72----,29,681,10,AK
2013,2,721110,0,0,3,AK
2013,2,721214,0,0,1,AK
2013,2,722410,16,428,3,AK
2013,2,722511,0,0,1,AK
2013,2,722513,0,0,1,AK
2013,2,722515,0,0,1,AK
2013,2,81----,0,0,2,AK
2013,2,813410,0,0,2,AK
2016,2,------,3720,154181,115,AK
2016,2,11----,10,603,7,AK
2016,2,114111,9,518,6,AK
2016,2,114112,0,0,1,AK
2016,2,21----,0,0,1,AK
2016,2,212321,0,0,1,AK
2016,2,23----,50,2877,5,AK
2016,2,237990,0,0,1,AK
2016,2,238210,0,0,2,AK
2016,2,238320,0,0,1,AK
2016,2,238910,0,0,1,AK
2016,2,31----,2600,83233,8,AK
2016,2,311710,2576,81245,7,AK
2016,2,332312,0,0,1,AK
2016,2,42----,114,8902,13,AK
2016,2,423320,0,0,1,AK
2016,2,423690,0,0,1,AK
2016,2,423830,0,0,2,AK
2016,2,423910,14,503,3,AK
2016,2,423990,0,0,1,AK
2016,2,424410,0,0,2,AK
2016,2,424710,0,0,2,AK
2016,2,424720,0,0,1,AK
2016,2,44----,154,7407,11,AK
2016,2,444110,0,0,1,AK
2016,2,445110,119,5553,4,AK
2016,2,445120,0,0,1,AK
2016,2,445220,0,0,1,AK
2016,2,445310,0,0,1,AK
2016,2,452990,0,0,1,AK
2016,2,454310,0,0,2,AK
2016,2,48----,398,32724,21,AK
2016,2,481111,0,0,4,AK
2016,2,483111,0,0,1,AK
