fips,fipstate,naics,emp,ap,est,ABBR
1001,1,------,10790,332497,851,AL
1001,1,11----,87,4270,9,AL
1001,1,113310,83,4061,7,AL
1001,1,115112,0,0,1,AL
1001,1,115310,0,0,1,AL
1001,1,21----,75,3263,3,AL
1001,1,212319,0,0,1,AL
1001,1,212321,0,0,2,AL
1001,1,22----,181,18345,8,AL
1001,1,221112,0,0,5,AL
1001,1,221122,0,0,2,AL
1001,1,221310,0,0,1,AL
1001,1,23----,443,16279,75,AL
1001,1,236115,15,487,6,AL
1001,1,236117,0,0,1,AL
1001,1,236118,13,293,7,AL
1001,1,236210,0,0,2,AL
1001,1,236220,33,436,4,AL
1001,1,237110,0,0,2,AL
1001,1,237130,0,0,1,AL
1001,1,237210,0,0,3,AL
1001,1,237310,0,0,1,AL
1001,1,237990,0,0,2,AL
1001,1,238110,14,465,3,AL
1001,1,238120,0,0,1,AL
1001,1,238130,0,0,1,AL
1001,1,238140,0,0,1,AL
1001,1,238160,0,0,2,AL
1001,1,238170,0,0,1,AL
1001,1,238190,0,0,1,AL
1001,1,238210,86,2884,8,AL
1001,1,238220,33,1133,10,AL
1001,1,238290,0,0,2,AL
1001,1,238310,0,0,1,AL
1001,1,238320,0,0,3,AL
1001,1,238330,0,0,2,AL
1001,1,238340,0,0,1,AL
1001,1,238350,0,0,2,AL
1001,1,238390,0,0,1,AL
1001,1,238910,0,0,2,AL
1001,1,238990,0,0,4,AL
1001,1,31----,984,65080,22,AL
1001,1,311612,0,0,1,AL
1001,1,313310,0,0,1,AL
1001,1,314994,0,0,1,AL
1001,1,314999,0,0,1,AL
1001,1,321992,0,0,1,AL
1001,1,321999,0,0,1,AL
1001,1,322130,0,0,1,AL
1001,1,323111,0,0,1,AL
1001,1,323113,0,0,1,AL
1001,1,326111,0,0,1,AL
1001,1,326160,0,0,1,AL
1001,1,327320,0,0,1,AL
1001,1,332312,0,0,1,AL
1001,1,332313,0,0,1,AL
1001,1,332710,0,0,2,AL
1001,1,332996,0,0,1,AL
1001,1,333517,0,0,1,AL
1001,1,335999,0,0,1,AL
1001,1,336360,0,0,1,AL
1001,1,339930,0,0,1,AL
1001,1,339994,0,0,1,AL
1001,1,42----,206,11402,27,AL
1001,1,423110,0,0,1,AL
1001,1,423210,0,0,1,AL
1001,1,423310,0,0,3,AL
1001,1,423510,0,0,1,AL
1001,1,423610,0,0,1,AL
1001,1,423620,0,0,1,AL
1001,1,423810,0,0,2,AL
1001,1,423840,0,0,1,AL
1001,1,423850,0,0,1,AL
1001,1,423860,0,0,2,AL
1001,1,424120,0,0,1,AL
1001,1,424320,0,0,1,AL
1001,1,424490,0,0,2,AL
1001,1,424510,0,0,1,AL
1001,1,424690,0,0,1,AL
1001,1,424920,0,0,1,AL
1001,1,424930,0,0,1,AL
1001,1,425120,14,958,5,AL
1001,1,44----,2715,62287,168,AL
1001,1,441110,0,0,2,AL
1001,1,441120,36,1834,7,AL
