fips,fipstate,naics,emp,ap,est,ABBR
5001,5,------,8786,338625,510,AR
5001,5,11----,114,6333,13,AR
5001,5,113310,0,0,1,AR
5001,5,114210,0,0,1,AR
5001,5,115112,35,2476,7,AR
5001,5,115114,68,3407,4,AR
5001,5,22----,46,3321,3,AR
5001,5,221122,0,0,2,AR
5001,5,221210,0,0,1,AR
5001,5,23----,502,32308,36,AR
5001,5,236115,0,0,1,AR
5001,5,236118,0,0,2,AR
5001,5,236220,58,3110,3,AR
5001,5,237110,0,0,6,AR
5001,5,237130,0,0,1,AR
5001,5,238160,50,3635,3,AR
5001,5,238210,26,939,5,AR
5001,5,238220,22,768,6,AR
5001,5,238310,0,0,1,AR
5001,5,238320,0,0,1,AR
5001,5,238330,0,0,1,AR
5001,5,238340,0,0,1,AR
5001,5,238350,0,0,1,AR
5001,5,238910,6,54,4,AR
5001,5,31----,3790,140221,28,AR
5001,5,311212,1076,50677,8,AR
5001,5,311224,0,0,1,AR
5001,5,311421,0,0,1,AR
5001,5,311611,0,0,1,AR
5001,5,316998,0,0,1,AR
5001,5,321113,0,0,1,AR
5001,5,321920,0,0,1,AR
5001,5,323111,0,0,1,AR
5001,5,325991,0,0,1,AR
5001,5,327993,0,0,1,AR
5001,5,332420,0,0,1,AR
5001,5,333111,0,0,3,AR
5001,5,333241,0,0,1,AR
5001,5,333415,0,0,1,AR
5001,5,333911,0,0,1,AR
5001,5,339116,0,0,1,AR
5001,5,339920,0,0,1,AR
5001,5,339950,0,0,2,AR
5001,5,42----,390,20669,32,AR
5001,5,423610,37,3620,4,AR
5001,5,423710,0,0,1,AR
5001,5,423820,114,5281,8,AR
5001,5,423830,0,0,2,AR
5001,5,424120,0,0,1,AR
5001,5,424450,0,0,1,AR
5001,5,424510,0,0,3,AR
5001,5,424690,0,0,1,AR
5001,5,424810,0,0,1,AR
5001,5,424910,94,4240,8,AR
5001,5,425120,0,0,2,AR
5001,5,44----,1115,29787,94,AR
5001,5,441110,0,0,2,AR
5001,5,441120,0,0,2,AR
5001,5,441228,0,0,1,AR
5001,5,441310,29,784,5,AR
5001,5,441320,0,0,2,AR
5001,5,442110,0,0,2,AR
5001,5,442210,0,0,2,AR
5001,5,443141,15,264,3,AR
