fips,fipstate,naics,emp,ap,est,ABBR
4001,4,------,6722,251811,442,AZ
4001,4,11----,25,789,6,AZ
4001,4,113310,14,572,4,AZ
4001,4,115310,0,0,2,AZ
4001,4,21----,95,5611,6,AZ
4001,4,212321,10,391,3,AZ
4001,4,212322,0,0,1,AZ
4001,4,213111,0,0,1,AZ
4001,4,213112,0,0,1,AZ
4001,4,22----,0,0,7,AZ
4001,4,221112,0,0,1,AZ
4001,4,221122,0,0,3,AZ
4001,4,221310,0,0,3,AZ
4001,4,23----,165,5321,26,AZ
4001,4,236115,14,536,5,AZ
4001,4,236117,0,0,1,AZ
4001,4,236118,0,0,3,AZ
4001,4,236220,0,0,4,AZ
4001,4,237110,0,0,1,AZ
4001,4,237130,0,0,1,AZ
4001,4,238140,0,0,1,AZ
4001,4,238160,0,0,1,AZ
4001,4,238190,0,0,1,AZ
4001,4,238210,0,0,1,AZ
4001,4,238220,20,806,4,AZ
4001,4,238910,0,0,2,AZ
4001,4,238990,0,0,1,AZ
4001,4,31----,84,2379,7,AZ
4001,4,321114,0,0,1,AZ
4001,4,321213,0,0,1,AZ
4001,4,321912,0,0,1,AZ
4001,4,327320,0,0,1,AZ
4001,4,332215,0,0,1,AZ
4001,4,339113,0,0,1,AZ
4001,4,339910,0,0,1,AZ
4001,4,42----,61,1909,15,AZ
4001,4,423130,0,0,1,AZ
4001,4,423320,0,0,2,AZ
4001,4,423710,0,0,1,AZ
4001,4,423830,0,0,1,AZ
4001,4,423840,0,0,1,AZ
4001,4,424120,0,0,1,AZ
4001,4,424490,0,0,1,AZ
4001,4,424520,0,0,1,AZ
4001,4,424690,0,0,1,AZ
4001,4,424710,0,0,1,AZ
4001,4,424720,0,0,2,AZ
4001,4,424910,0,0,1,AZ
4001,4,425120,0,0,1,AZ
4001,4,44----,1268,26313,96,AZ
4001,4,441310,0,0,2,AZ
4001,4,441320,0,0,1,AZ
4001,4,442110,0,0,1,AZ
4001,4,442299,0,0,2,AZ
4001,4,443142,0,0,2,AZ
4001,4,444110,0,0,1,AZ
4001,4,444120,0,0,1,AZ
4001,4,444130,0,0,1,AZ
4001,4,444220,0,0,1,AZ
4001,4,445110,331,6955,9,AZ
4001,4,445120,14,138,3,AZ
4001,4,446110,0,0,2,AZ
4001,4,447110,451,8098,38,AZ
4001,4,447190,0,0,2,AZ
4001,4,448140,0,0,1,AZ
4001,4,448150,0,0,1,AZ
4001,4,448310,0,0,4,AZ
4001,4,451211,0,0,1,AZ
4001,4,452112,0,0,1,AZ
4001,4,452990,48,900,7,AZ
4001,4,453210,0,0,1,AZ
4001,4,453220,24,612,3,AZ
4001,4,454111,0,0,1,AZ
4001,4,454113,0,0,1,AZ
4001,4,454310,40,1506,7,AZ
4001,4,454390,0,0,2,AZ
4001,4,48----,91,2241,20,AZ
4001,4,484110,5,40,3,AZ
4001,4,484121,0,0,2,AZ
4001,4,484122,0,0,1,AZ
4001,4,485310,0,0,1,AZ
4001,4,485320,0,0,1,AZ
4001,4,485410,0,0,1,AZ
4001,4,485991,20,102,4,AZ
4001,4,486210,0,0,4,AZ
4001,4,488210,0,0,2,AZ
4001,4,492110,0,0,1,AZ
4001,4,51----,85,4202,11,AZ
4001,4,511110,0,0,3,AZ
4001,4,517110,0,0,5,AZ
4001,4,517210,0,0,2,AZ
4001,4,518210,0,0,1,AZ
4001,4,52----,74,2618,13,AZ
4001,4,522110,45,1704,5,AZ
4001,4,522130,17,574,3,AZ
4001,4,523991,0,0,1,AZ
4001,4,524210,11,262,4,AZ
4001,4,53----,27,667,12,AZ
4001,4,531110,0,0,1,AZ
4001,4,531120,14,336,4,AZ
4001,4,531130,0,0,3,AZ
4001,4,531210,2,86,3,AZ
4001,4,531312,0,0,1,AZ
4001,4,54----,102,4334,26,AZ
4001,4,541110,0,0,4,AZ
4001,4,541191,0,0,1,AZ
4001,4,541211,0,0,2,AZ
4001,4,541213,19,196,6,AZ
4001,4,541219,4,127,4,AZ
4001,4,541330,0,0,2,AZ
4001,4,541511,0,0,1,AZ
4001,4,541512,0,0,2,AZ
4001,4,541611,0,0,1,AZ
4001,4,541613,0,0,2,AZ
4001,4,541940,0,0,1,AZ
4001,4,55----,0,0,2,AZ
4001,4,551114,0,0,2,AZ
4001,4,56----,119,4248,14,AZ
4001,4,561110,0,0,1,AZ
4001,4,561599,0,0,1,AZ
4001,4,561710,0,0,1,AZ
4001,4,561720,27,527,5,AZ
4001,4,561730,0,0,1,AZ
4001,4,561990,0,0,1,AZ
4001,4,562111,0,0,1,AZ
4001,4,562212,0,0,1,AZ
4001,4,562910,0,0,1,AZ
4001,4,562991,0,0,1,AZ
4001,4,61----,341,8124,9,AZ
4001,4,611110,260,7142,6,AZ
4001,4,611310,0,0,1,AZ
4001,4,611630,0,0,1,AZ
4001,4,611710,0,0,1,AZ
4001,4,62----,2692,123295,71,AZ
4001,4,621111,38,1468,8,AZ
4001,4,621210,49,1603,8,AZ
4001,4,621310,4,108,4,AZ
4001,4,621320,0,0,2,AZ
4001,4,621330,0,0,1,AZ
4001,4,621340,7,275,4,AZ
4001,4,621420,0,0,3,AZ
4001,4,621492,0,0,1,AZ
4001,4,621498,0,0,5,AZ
4001,4,621610,380,7759,4,AZ
4001,4,621910,54,3530,5,AZ
4001,4,622110,1653,94792,4,AZ
4001,4,623110,0,0,2,AZ
4001,4,623210,0,0,1,AZ
4001,4,623311,0,0,1,AZ
4001,4,623312,115,1870,6,AZ
4001,4,624120,114,2085,5,AZ
4001,4,624190,15,245,3,AZ
4001,4,624210,0,0,2,AZ
4001,4,624229,0,0,2,AZ
4001,4,71----,1,80,3,AZ
4001,4,713990,1,80,3,AZ
4001,4,72----,825,12975,56,AZ
4001,4,721110,300,4703,14,AZ
4001,4,721191,0,0,1,AZ
4001,4,721199,0,0,2,AZ
4001,4,721214,0,0,2,AZ
4001,4,722310,130,2330,5,AZ
4001,4,722410,7,105,3,AZ
4001,4,722511,111,1923,17,AZ
4001,4,722513,270,3736,12,AZ
4001,4,81----,169,3231,41,AZ
4001,4,811111,12,272,4,AZ
4001,4,811121,0,0,2,AZ
4001,4,811122,0,0,1,AZ
4001,4,811310,0,0,1,AZ
4001,4,812210,0,0,1,AZ
4001,4,812310,0,0,1,AZ
4001,4,812320,0,0,1,AZ
4001,4,813110,81,1260,20,AZ
4001,4,813219,0,0,1,AZ
4001,4,813311,0,0,1,AZ
4001,4,813312,0,0,1,AZ
4001,4,813410,16,272,3,AZ
4001,4,813910,0,0,1,AZ
4001,4,813920,0,0,2,AZ
4001,4,813990,0,0,1,AZ
4001,4,99----,0,0,1,AZ
4003,4,------,25795,928191,2150,AZ
4003,4,11----,15,362,5,AZ
4003,4,115112,0,0,3,AZ
4003,4,115210,0,0,2,AZ
4003,4,21----,39,1983,8,AZ
4003,4,212221,0,0,1,AZ
4003,4,212234,0,0,1,AZ
4003,4,212299,0,0,1,AZ
4003,4,212321,0,0,2,AZ
4003,4,212399,0,0,1,AZ
4003,4,213111,0,0,1,AZ
4003,4,213113,0,0,1,AZ
4003,4,22----,675,50379,22,AZ
4003,4,221112,0,0,2,AZ
4003,4,221121,0,0,1,AZ
