fips,fipstate,naics,emp,ap,est,ABBR
6001,6,------,662511,45907712,39242,CA
6001,6,11----,88,4534,15,CA
6001,6,113310,0,0,1,CA
6001,6,114111,0,0,2,CA
6001,6,115112,0,0,2,CA
6001,6,115114,0,0,1,CA
6001,6,115116,0,0,1,CA
6001,6,115210,19,459,8,CA
6001,6,21----,231,22800,9,CA
6001,6,212312,0,0,1,CA
6001,6,212319,0,0,1,CA
6001,6,212321,97,11887,3,CA
6001,6,213112,0,0,3,CA
6001,6,213114,0,0,1,CA
6001,6,22----,1301,174464,21,CA
6001,6,221111,0,0,1,CA
6001,6,221112,0,0,3,CA
6001,6,221114,0,0,2,CA
6001,6,221115,0,0,2,CA
6001,6,221118,0,0,3,CA
6001,6,221122,0,0,6,CA
6001,6,221210,0,0,1,CA
6001,6,221310,21,1733,3,CA
6001,6,23----,42397,3347578,2819,CA
6001,6,236115,638,37003,178,CA
6001,6,236116,124,14357,10,CA
6001,6,236117,567,64752,23,CA
6001,6,236118,3397,177178,656,CA
6001,6,236210,542,55513,13,CA
6001,6,236220,3046,284581,163,CA
6001,6,237110,1162,110090,29,CA
6001,6,237120,0,0,2,CA
6001,6,237130,631,48834,16,CA
6001,6,237210,60,6341,22,CA
6001,6,237310,2153,229473,39,CA
6001,6,237990,306,28538,15,CA
6001,6,238110,1084,73375,36,CA
6001,6,238120,705,61151,15,CA
6001,6,238130,664,37225,34,CA
6001,6,238140,245,16044,33,CA
6001,6,238150,1049,79347,38,CA
6001,6,238160,1529,81017,115,CA
6001,6,238170,84,2393,9,CA
6001,6,238190,63,6119,11,CA
6001,6,238210,4260,356800,313,CA
6001,6,238220,6532,551733,343,CA
6001,6,238290,1251,122284,44,CA
6001,6,238310,3678,282010,76,CA
6001,6,238320,1455,70975,163,CA
6001,6,238330,734,51073,70,CA
6001,6,238340,367,16107,46,CA
6001,6,238350,1195,75889,94,CA
6001,6,238390,738,59137,43,CA
6001,6,238910,1909,161513,79,CA
6001,6,238990,2084,179275,91,CA
6001,6,31----,70685,7051006,1819,CA
6001,6,311111,43,1644,3,CA
6001,6,311119,44,1700,3,CA
6001,6,311211,0,0,1,CA
6001,6,311230,0,0,2,CA
6001,6,311314,0,0,1,CA
6001,6,311340,501,26052,4,CA
6001,6,311351,0,0,6,CA
6001,6,311352,1101,66550,9,CA
6001,6,311412,863,24683,7,CA
6001,6,311421,28,962,5,CA
6001,6,311423,0,0,1,CA
6001,6,311511,0,0,5,CA
6001,6,311512,0,0,1,CA
6001,6,311513,0,0,1,CA
6001,6,311520,40,1148,5,CA
6001,6,311611,0,0,2,CA
6001,6,311612,655,35946,12,CA
6001,6,311615,0,0,2,CA
6001,6,311710,0,0,1,CA
6001,6,311811,605,15970,56,CA
6001,6,311812,1375,62317,29,CA
6001,6,311813,0,0,1,CA
6001,6,311821,0,0,4,CA
6001,6,311824,7,275,3,CA
6001,6,311830,364,15635,5,CA
6001,6,311911,0,0,1,CA
6001,6,311919,0,0,2,CA
6001,6,311920,456,35642,16,CA
6001,6,311930,0,0,1,CA
6001,6,311941,71,4099,4,CA
6001,6,311942,0,0,2,CA
6001,6,311991,276,8210,14,CA
6001,6,311999,106,3698,5,CA
6001,6,312111,724,48134,5,CA
6001,6,312112,0,0,3,CA
6001,6,312113,0,0,2,CA
6001,6,312120,180,5887,18,CA
6001,6,312130,769,25515,44,CA
6001,6,312140,98,7205,7,CA
6001,6,313110,0,0,1,CA
6001,6,313210,0,0,1,CA
6001,6,313220,0,0,1,CA
6001,6,313310,16,396,3,CA
6001,6,314110,0,0,1,CA
6001,6,314120,0,0,2,CA
6001,6,314910,63,2602,6,CA
6001,6,314999,135,4780,6,CA
6001,6,315190,0,0,1,CA
6001,6,315210,255,5277,25,CA
6001,6,315240,80,2772,4,CA
6001,6,315280,0,0,1,CA
6001,6,315990,55,1480,4,CA
6001,6,316110,0,0,1,CA
6001,6,316992,0,0,1,CA
6001,6,316998,0,0,3,CA
6001,6,321211,0,0,1,CA
6001,6,321213,0,0,2,CA
6001,6,321219,0,0,1,CA
6001,6,321911,51,2646,10,CA
6001,6,321918,10,477,3,CA
6001,6,321920,268,12100,10,CA
6001,6,321992,0,0,1,CA
6001,6,321999,31,1599,14,CA
6001,6,322130,0,0,1,CA
6001,6,322211,676,44306,7,CA
6001,6,322212,0,0,3,CA
6001,6,322219,156,6466,5,CA
6001,6,322220,83,7195,4,CA
6001,6,322230,0,0,2,CA
6001,6,322299,0,0,2,CA
6001,6,323111,1662,86886,119,CA
6001,6,323113,425,13262,25,CA
6001,6,323117,179,11245,7,CA
6001,6,323120,58,3027,16,CA
6001,6,324121,175,16012,5,CA
6001,6,324122,0,0,2,CA
6001,6,324191,0,0,2,CA
6001,6,325120,0,0,3,CA
6001,6,325180,46,2110,4,CA
6001,6,325199,0,0,2,CA
6001,6,325211,0,0,1,CA
6001,6,325320,0,0,1,CA
6001,6,325411,862,111084,6,CA
6001,6,325412,216,20086,10,CA
6001,6,325413,0,0,4,CA
6001,6,325414,2179,271491,5,CA
6001,6,325510,100,8797,7,CA
6001,6,325520,144,8425,4,CA
6001,6,325611,53,3071,8,CA
6001,6,325612,0,0,2,CA
6001,6,325620,428,20480,8,CA
6001,6,325910,43,3445,3,CA
6001,6,325991,0,0,2,CA
6001,6,325992,0,0,2,CA
6001,6,325998,412,31608,11,CA
6001,6,326111,166,6278,7,CA
6001,6,326112,0,0,3,CA
6001,6,326113,0,0,2,CA
6001,6,326140,0,0,1,CA
6001,6,326150,209,9718,5,CA
6001,6,326160,0,0,1,CA
6001,6,326191,66,3290,4,CA
6001,6,326199,1127,79533,42,CA
6001,6,326291,408,19769,5,CA
6001,6,327110,0,0,3,CA
6001,6,327120,0,0,1,CA
6001,6,327211,0,0,1,CA
6001,6,327212,86,3338,6,CA
6001,6,327215,479,31224,7,CA
6001,6,327310,0,0,2,CA
6001,6,327320,234,18973,14,CA
6001,6,327331,0,0,1,CA
6001,6,327390,384,21335,9,CA
6001,6,327991,146,6511,9,CA
6001,6,327992,0,0,1,CA
6001,6,327993,15,960,3,CA
6001,6,327999,0,0,2,CA
6001,6,331110,0,0,1,CA
6001,6,331313,0,0,1,CA
6001,6,331410,0,0,1,CA
6001,6,331420,0,0,1,CA
6001,6,331491,0,0,2,CA
6001,6,331492,0,0,1,CA
6001,6,331511,0,0,4,CA
6001,6,331513,0,0,5,CA
6001,6,331523,124,4930,3,CA
6001,6,331524,0,0,1,CA
6001,6,331529,0,0,1,CA
6001,6,332111,0,0,4,CA
6001,6,332119,96,7040,5,CA
6001,6,332216,0,0,2,CA
6001,6,332311,0,0,3,CA
6001,6,332312,319,21321,12,CA
6001,6,332313,0,0,2,CA
6001,6,332321,41,1855,3,CA
6001,6,332322,1521,82071,40,CA
6001,6,332323,347,12086,17,CA
6001,6,332410,0,0,1,CA
6001,6,332420,0,0,1,CA
6001,6,332439,0,0,2,CA
6001,6,332510,0,0,1,CA
6001,6,332613,23,990,3,CA
6001,6,332618,0,0,3,CA
6001,6,332710,2755,182687,134,CA
6001,6,332721,628,39168,21,CA
6001,6,332722,85,6153,6,CA
6001,6,332811,106,6999,5,CA
6001,6,332812,291,16873,12,CA
6001,6,332813,258,12798,18,CA
6001,6,332911,0,0,1,CA
6001,6,332912,0,0,1,CA
6001,6,332913,0,0,2,CA
6001,6,332919,0,0,1,CA
6001,6,332996,127,6785,4,CA
6001,6,332999,374,21324,23,CA
6001,6,333111,0,0,1,CA
6001,6,333131,0,0,1,CA
6001,6,333241,0,0,3,CA
6001,6,333242,2958,527759,17,CA
6001,6,333243,0,0,1,CA
6001,6,333244,0,0,3,CA
6001,6,333249,114,6864,9,CA
6001,6,333314,29,1969,6,CA
6001,6,333316,9,352,3,CA
6001,6,333318,537,76532,10,CA
6001,6,333413,42,2877,3,CA
6001,6,333414,219,14207,5,CA
6001,6,333415,0,0,1,CA
6001,6,333511,584,20892,3,CA
6001,6,333514,75,3378,6,CA
6001,6,333515,8,316,3,CA
6001,6,333517,19,1445,9,CA
6001,6,333519,0,0,1,CA
6001,6,333611,0,0,3,CA
6001,6,333612,0,0,2,CA
6001,6,333911,0,0,2,CA
6001,6,333922,5,393,3,CA
6001,6,333923,0,0,2,CA
6001,6,333924,0,0,2,CA
6001,6,333991,0,0,2,CA
6001,6,333993,51,3337,4,CA
6001,6,333995,0,0,1,CA
6001,6,333999,142,10097,8,CA
6001,6,334111,467,41848,13,CA
6001,6,334112,0,0,2,CA
6001,6,334118,195,18463,10,CA
6001,6,334210,249,26031,9,CA
6001,6,334220,448,34461,10,CA
6001,6,334290,0,0,2,CA
6001,6,334310,374,24008,11,CA
6001,6,334412,411,19057,10,CA
6001,6,334413,2982,340768,38,CA
6001,6,334417,0,0,1,CA
6001,6,334418,2364,115970,20,CA
6001,6,334419,434,25875,12,CA
6001,6,334510,380,49639,11,CA
6001,6,334512,107,6457,5,CA
6001,6,334513,36,2241,6,CA
6001,6,334515,536,38858,21,CA
6001,6,334516,822,73452,18,CA
6001,6,334517,0,0,4,CA
6001,6,334519,279,21502,10,CA
6001,6,334613,0,0,2,CA
6001,6,334614,97,4794,6,CA
6001,6,335110,0,0,2,CA
6001,6,335121,55,3520,6,CA
6001,6,335122,0,0,6,CA
6001,6,335129,455,39685,6,CA
6001,6,335221,0,0,1,CA
6001,6,335311,0,0,2,CA
6001,6,335312,108,6655,5,CA
6001,6,335313,0,0,4,CA
6001,6,335314,477,30938,5,CA
6001,6,335911,51,4502,4,CA
6001,6,335912,0,0,1,CA
6001,6,335921,0,0,3,CA
6001,6,335929,0,0,3,CA
6001,6,335991,0,0,1,CA
6001,6,335999,168,14550,9,CA
6001,6,336111,0,0,1,CA
6001,6,336112,0,0,2,CA
6001,6,336120,0,0,2,CA
6001,6,336211,234,11518,6,CA
6001,6,336310,22,916,4,CA
6001,6,336320,22,628,3,CA
6001,6,336330,0,0,1,CA
6001,6,336340,0,0,1,CA
6001,6,336350,42,2555,3,CA
6001,6,336360,31,1659,3,CA
6001,6,336370,0,0,1,CA
6001,6,336390,0,0,2,CA
6001,6,336412,0,0,3,CA
6001,6,336413,0,0,4,CA
6001,6,336611,0,0,4,CA
6001,6,336991,25,946,5,CA
6001,6,336999,0,0,1,CA
6001,6,337110,178,11115,20,CA
6001,6,337121,27,874,5,CA
6001,6,337122,127,6561,7,CA
6001,6,337124,0,0,1,CA
6001,6,337125,15,814,3,CA
6001,6,337211,368,16364,11,CA
6001,6,337212,250,23153,6,CA
6001,6,337214,0,0,2,CA
6001,6,337215,0,0,3,CA
6001,6,337910,0,0,3,CA
6001,6,337920,0,0,1,CA
6001,6,339112,3266,393842,19,CA
6001,6,339113,451,46187,10,CA
6001,6,339114,15,462,4,CA
6001,6,339115,55,2432,5,CA
6001,6,339116,381,21122,34,CA
6001,6,339910,65,2206,12,CA
6001,6,339920,156,11226,9,CA
6001,6,339930,37,5275,5,CA
6001,6,339940,30,1320,6,CA
6001,6,339950,404,31957,25,CA
6001,6,339991,0,0,2,CA
6001,6,339992,8,340,3,CA
6001,6,339999,257,17956,28,CA
6001,6,42----,49793,3840877,2625,CA
6001,6,423110,353,28425,24,CA
6001,6,423120,962,53318,76,CA
6001,6,423130,120,6744,12,CA
6001,6,423140,0,0,2,CA
6001,6,423210,762,44471,47,CA
6001,6,423220,893,55046,50,CA
6001,6,423310,361,18042,32,CA
6001,6,423320,151,7321,24,CA
6001,6,423330,167,9643,12,CA
6001,6,423390,230,15380,22,CA
6001,6,423410,198,14771,10,CA
6001,6,423420,1491,105749,40,CA
6001,6,423430,4168,481580,157,CA
6001,6,423440,418,26458,32,CA
6001,6,423450,551,76569,44,CA
6001,6,423460,479,37955,8,CA
6001,6,423490,405,23343,23,CA
6001,6,423510,1088,71930,60,CA
6001,6,423610,2415,197198,121,CA
6001,6,423620,199,12548,27,CA
6001,6,423690,2885,288760,170,CA
6001,6,423710,681,51648,49,CA
6001,6,423720,729,63442,34,CA
6001,6,423730,121,11051,24,CA
6001,6,423740,113,8485,11,CA
6001,6,423810,321,26520,20,CA
6001,6,423820,214,13532,16,CA
6001,6,423830,1933,153513,153,CA
6001,6,423840,780,59161,60,CA
6001,6,423850,222,12109,25,CA
6001,6,423860,334,29997,12,CA
6001,6,423910,336,21057,36,CA
6001,6,423920,1830,62631,23,CA
