fips,fipstate,naics,emp,ap,est,ABBR
8001,8,------,162819,7767990,9442,CO
8001,8,11----,6,351,4,CO
8001,8,115112,0,0,1,CO
8001,8,115210,5,287,3,CO
8001,8,21----,850,59930,44,CO
8001,8,211111,13,978,5,CO
8001,8,211112,0,0,2,CO
8001,8,212221,0,0,1,CO
8001,8,212312,0,0,2,CO
8001,8,212313,0,0,1,CO
8001,8,212321,68,3931,6,CO
8001,8,212393,0,0,1,CO
8001,8,213111,0,0,3,CO
8001,8,213112,695,50008,23,CO
8001,8,22----,1249,122996,19,CO
8001,8,221112,0,0,4,CO
8001,8,221121,0,0,1,CO
8001,8,221122,504,44256,8,CO
8001,8,221310,63,3455,6,CO
8001,8,23----,21993,1283567,1427,CO
8001,8,236115,138,6680,37,CO
8001,8,236116,0,0,3,CO
8001,8,236117,57,4909,9,CO
8001,8,236118,473,20298,126,CO
8001,8,236210,18,1066,5,CO
8001,8,236220,749,44748,52,CO
8001,8,237110,866,55240,27,CO
8001,8,237120,195,7811,7,CO
8001,8,237130,2944,212524,23,CO
8001,8,237210,0,0,3,CO
8001,8,237310,1602,114331,34,CO
8001,8,237990,44,2353,5,CO
8001,8,238110,860,39883,68,CO
8001,8,238120,267,25004,9,CO
8001,8,238130,198,9935,43,CO
8001,8,238140,469,17873,42,CO
8001,8,238150,190,11702,12,CO
8001,8,238160,1254,69221,60,CO
8001,8,238170,50,2341,20,CO
8001,8,238190,90,3576,11,CO
8001,8,238210,1760,111305,136,CO
8001,8,238220,3403,182197,210,CO
8001,8,238290,327,16929,18,CO
8001,8,238310,1098,51468,66,CO
8001,8,238320,156,5224,56,CO
8001,8,238330,407,20598,60,CO
8001,8,238340,79,3804,23,CO
8001,8,238350,330,14436,74,CO
8001,8,238390,297,13594,18,CO
8001,8,238910,1102,67990,60,CO
8001,8,238990,2495,142380,110,CO
8001,8,31----,12269,649540,409,CO
8001,8,311119,0,0,3,CO
8001,8,311211,0,0,1,CO
8001,8,311225,0,0,2,CO
8001,8,311340,0,0,2,CO
8001,8,311352,0,0,1,CO
8001,8,311412,0,0,1,CO
8001,8,311611,0,0,1,CO
8001,8,311612,154,7792,4,CO
8001,8,311613,0,0,2,CO
8001,8,311710,0,0,1,CO
8001,8,311811,50,923,5,CO
8001,8,311812,760,34177,7,CO
8001,8,311813,0,0,1,CO
8001,8,311824,0,0,1,CO
8001,8,311830,0,0,4,CO
8001,8,311911,0,0,1,CO
8001,8,311920,0,0,1,CO
8001,8,311991,0,0,1,CO
8001,8,312120,9,280,6,CO
8001,8,312130,0,0,2,CO
8001,8,314120,0,0,3,CO
8001,8,314910,48,1522,5,CO
8001,8,314999,0,0,2,CO
8001,8,315210,0,0,1,CO
8001,8,315220,0,0,1,CO
8001,8,316998,0,0,1,CO
8001,8,321114,66,3267,3,CO
8001,8,321213,0,0,1,CO
8001,8,321214,0,0,3,CO
