fips,fipstate,naics,emp,ap,est,ABBR
9001,9,------,427361,35734622,27134,CT
9001,9,11----,166,10097,18,CT
9001,9,113110,0,0,1,CT
9001,9,114112,0,0,2,CT
9001,9,115114,0,0,1,CT
9001,9,115210,112,6382,14,CT
9001,9,21----,48,2913,11,CT
9001,9,211111,0,0,2,CT
9001,9,212313,0,0,1,CT
9001,9,212319,0,0,1,CT
9001,9,212321,0,0,3,CT
9001,9,212399,0,0,1,CT
9001,9,213111,0,0,1,CT
9001,9,213112,0,0,2,CT
9001,9,22----,1003,136856,31,CT
9001,9,221111,0,0,2,CT
9001,9,221112,205,33071,5,CT
9001,9,221114,0,0,1,CT
9001,9,221117,0,0,1,CT
9001,9,221121,0,0,1,CT
9001,9,221122,393,65791,9,CT
9001,9,221210,0,0,4,CT
9001,9,221310,0,0,3,CT
9001,9,221320,0,0,5,CT
9001,9,23----,13282,949767,2266,CT
9001,9,236115,638,50653,141,CT
9001,9,236116,3,146,3,CT
9001,9,236117,257,27961,51,CT
9001,9,236118,1171,67509,403,CT
9001,9,236210,0,0,3,CT
9001,9,236220,1465,130282,101,CT
9001,9,237110,557,43706,27,CT
9001,9,237120,0,0,1,CT
9001,9,237130,54,6149,6,CT
9001,9,237210,62,6860,14,CT
9001,9,237310,201,26648,17,CT
9001,9,237990,41,2621,8,CT
9001,9,238110,294,15519,41,CT
9001,9,238120,0,0,2,CT
9001,9,238130,73,5548,23,CT
9001,9,238140,237,10574,77,CT
9001,9,238150,138,7398,22,CT
9001,9,238160,222,17439,47,CT
9001,9,238170,93,4597,12,CT
9001,9,238190,81,5227,13,CT
9001,9,238210,1972,142024,325,CT
9001,9,238220,2391,159033,336,CT
9001,9,238290,154,12913,13,CT
9001,9,238310,471,23605,42,CT
9001,9,238320,527,25152,137,CT
9001,9,238330,129,5628,30,CT
9001,9,238340,86,3770,32,CT
9001,9,238350,371,18876,108,CT
9001,9,238390,136,5899,15,CT
9001,9,238910,953,65761,119,CT
9001,9,238990,403,43796,97,CT
9001,9,31----,32794,2668412,812,CT
9001,9,311111,0,0,2,CT
9001,9,311119,0,0,1,CT
9001,9,311230,0,0,1,CT
9001,9,311352,68,799,5,CT
9001,9,311412,0,0,1,CT
9001,9,311511,0,0,1,CT
9001,9,311520,0,0,2,CT
9001,9,311612,0,0,2,CT
9001,9,311811,318,5112,36,CT
9001,9,311812,595,26601,11,CT
9001,9,311813,0,0,1,CT
9001,9,311824,0,0,1,CT
9001,9,311919,0,0,1,CT
9001,9,311920,0,0,6,CT
9001,9,311930,0,0,1,CT
9001,9,311941,0,0,1,CT
9001,9,311942,0,0,1,CT
9001,9,311991,0,0,1,CT
9001,9,311999,0,0,1,CT
9001,9,312111,0,0,2,CT
9001,9,312113,0,0,1,CT
9001,9,312120,0,0,3,CT
9001,9,312130,6,123,3,CT
9001,9,312140,0,0,1,CT
9001,9,313110,0,0,1,CT
9001,9,313220,0,0,1,CT
9001,9,313240,0,0,1,CT
9001,9,313310,0,0,2,CT
9001,9,314110,0,0,1,CT
9001,9,314120,57,2751,12,CT
9001,9,314910,38,1489,7,CT
9001,9,314999,0,0,1,CT
9001,9,315190,0,0,1,CT
9001,9,315220,0,0,1,CT
9001,9,315240,0,0,1,CT
9001,9,315280,0,0,1,CT
9001,9,315990,0,0,3,CT
9001,9,316992,0,0,2,CT
9001,9,316998,0,0,2,CT
9001,9,321113,0,0,2,CT
9001,9,321211,0,0,1,CT
9001,9,321911,0,0,2,CT
9001,9,321918,95,6414,6,CT
9001,9,321920,98,6222,5,CT
9001,9,321999,9,238,4,CT
9001,9,322211,0,0,2,CT
9001,9,322212,0,0,1,CT
9001,9,322220,0,0,1,CT
9001,9,322230,0,0,1,CT
9001,9,322291,0,0,1,CT
9001,9,323111,798,38123,72,CT
9001,9,323113,584,20876,12,CT
9001,9,323120,0,0,4,CT
9001,9,324121,0,0,5,CT
9001,9,324191,9,1277,3,CT
