fips,fipstate,naics,emp,ap,est,ABBR
11001,11,------,526879,39833690,23177,DC
11001,11,11----,0,0,1,DC
11001,11,115113,0,0,1,DC
11001,11,21----,0,0,2,DC
11001,11,211111,0,0,2,DC
11001,11,22----,1820,308230,52,DC
11001,11,221112,0,0,3,DC
11001,11,221115,0,0,1,DC
11001,11,221118,0,0,2,DC
11001,11,221121,0,0,3,DC
11001,11,221122,1540,258324,36,DC
11001,11,221210,0,0,7,DC
11001,11,23----,10049,680239,449,DC
11001,11,236115,175,23198,10,DC
11001,11,236116,311,29219,9,DC
11001,11,236117,85,12343,10,DC
11001,11,236118,630,38121,106,DC
11001,11,236210,0,0,1,DC
11001,11,236220,2283,173543,101,DC
11001,11,237110,0,0,3,DC
11001,11,237130,14,708,5,DC
11001,11,237210,39,5442,10,DC
11001,11,237310,1346,79391,10,DC
11001,11,237990,90,5232,6,DC
11001,11,238110,1212,83961,9,DC
11001,11,238120,0,0,2,DC
11001,11,238130,0,0,2,DC
11001,11,238140,211,10537,9,DC
11001,11,238150,35,1919,4,DC
11001,11,238160,0,0,4,DC
11001,11,238190,42,2032,5,DC
11001,11,238210,384,23796,31,DC
11001,11,238220,1671,99832,39,DC
11001,11,238290,52,5098,4,DC
11001,11,238310,297,19980,12,DC
11001,11,238320,133,6568,7,DC
11001,11,238330,65,3630,7,DC
11001,11,238340,0,0,2,DC
11001,11,238350,113,6842,10,DC
11001,11,238390,0,0,1,DC
11001,11,238910,264,16923,11,DC
11001,11,238990,98,7512,19,DC
11001,11,31----,1258,55965,113,DC
11001,11,311351,0,0,2,DC
11001,11,311352,0,0,1,DC
11001,11,311412,0,0,1,DC
11001,11,311421,0,0,1,DC
11001,11,311514,0,0,1,DC
11001,11,311811,106,3056,9,DC
11001,11,311812,179,2098,5,DC
11001,11,311830,0,0,1,DC
11001,11,311911,0,0,1,DC
11001,11,311930,0,0,1,DC
11001,11,311991,0,0,2,DC
11001,11,312111,0,0,3,DC
11001,11,312120,118,2229,6,DC
11001,11,312140,6,972,3,DC
11001,11,314120,0,0,1,DC
11001,11,315210,0,0,1,DC
11001,11,315220,0,0,2,DC
11001,11,323111,298,13741,33,DC
11001,11,323113,19,692,3,DC
11001,11,323117,0,0,1,DC
11001,11,325211,0,0,1,DC
11001,11,325412,0,0,2,DC
11001,11,325510,0,0,1,DC
11001,11,325620,0,0,1,DC
11001,11,327320,130,6882,6,DC
11001,11,327992,0,0,1,DC
11001,11,332111,0,0,1,DC
11001,11,332312,0,0,1,DC
11001,11,332322,0,0,1,DC
11001,11,332323,0,0,1,DC
11001,11,332510,0,0,1,DC
11001,11,332710,0,0,2,DC
11001,11,334118,0,0,1,DC
11001,11,335121,0,0,1,DC
11001,11,335313,0,0,1,DC
11001,11,336415,0,0,1,DC
11001,11,337110,0,0,2,DC
11001,11,337121,11,527,3,DC
11001,11,337122,0,0,1,DC
11001,11,337212,0,0,1,DC
11001,11,339116,0,0,2,DC
11001,11,339910,0,0,1,DC
11001,11,339950,0,0,2,DC
11001,11,42----,4702,401941,505,DC
11001,11,423110,0,0,1,DC
11001,11,423120,175,6764,7,DC
11001,11,423210,183,17090,22,DC
11001,11,423220,55,2778,11,DC
11001,11,423310,0,0,2,DC
11001,11,423330,0,0,1,DC
11001,11,423390,30,3446,5,DC
11001,11,423410,0,0,1,DC
11001,11,423420,553,27890,57,DC
11001,11,423430,519,90758,12,DC
11001,11,423440,14,485,3,DC
11001,11,423450,89,14975,14,DC
11001,11,423460,0,0,2,DC
11001,11,423490,0,0,2,DC
11001,11,423510,0,0,2,DC
11001,11,423610,123,8413,19,DC
11001,11,423620,0,0,3,DC
11001,11,423690,606,78500,102,DC
11001,11,423710,0,0,2,DC
11001,11,423720,21,1173,3,DC
11001,11,423730,0,0,1,DC
11001,11,423810,0,0,1,DC
11001,11,423830,11,1025,3,DC
11001,11,423840,0,0,2,DC
11001,11,423850,16,1819,4,DC
11001,11,423860,12,2681,4,DC
11001,11,423910,0,0,2,DC
11001,11,423930,0,0,1,DC
11001,11,423940,11,327,5,DC
11001,11,423990,196,7254,11,DC
11001,11,424120,72,3725,16,DC
11001,11,424130,0,0,1,DC
11001,11,424210,118,17806,22,DC
11001,11,424310,29,2017,9,DC
11001,11,424320,11,404,4,DC
11001,11,424330,21,769,5,DC
11001,11,424340,0,0,1,DC
11001,11,424410,106,4293,15,DC
11001,11,424420,44,2164,5,DC
11001,11,424430,0,0,2,DC
11001,11,424450,0,0,5,DC
11001,11,424460,118,8753,4,DC
11001,11,424470,60,3741,4,DC
11001,11,424480,120,9756,6,DC
11001,11,424490,199,12390,23,DC
11001,11,424510,0,0,1,DC
11001,11,424520,0,0,1,DC
11001,11,424590,0,0,2,DC
11001,11,424690,37,2808,4,DC
11001,11,424810,224,12930,6,DC
11001,11,424820,407,26443,17,DC
11001,11,424920,112,3034,4,DC
11001,11,424930,0,0,4,DC
11001,11,424950,0,0,2,DC
11001,11,424990,59,2706,14,DC
11001,11,425110,0,0,2,DC
11001,11,425120,116,6879,21,DC
11001,11,44----,22143,648958,1801,DC
11001,11,441120,9,317,4,DC
11001,11,441222,0,0,1,DC
11001,11,441228,0,0,3,DC
11001,11,441310,95,1852,10,DC
11001,11,441320,57,1829,8,DC
11001,11,442110,163,9903,34,DC
11001,11,442210,45,2122,12,DC
11001,11,442291,0,0,1,DC
11001,11,442299,465,10839,40,DC
11001,11,443141,0,0,3,DC
11001,11,443142,496,24127,43,DC
11001,11,444110,0,0,2,DC
11001,11,444120,57,2333,8,DC
11001,11,444130,264,6741,15,DC
11001,11,444190,78,4447,11,DC
11001,11,444220,17,543,4,DC
11001,11,445110,4637,134693,186,DC
11001,11,445120,854,15408,141,DC
11001,11,445210,85,1966,8,DC
11001,11,445220,47,1207,5,DC
11001,11,445230,27,696,4,DC
11001,11,445291,75,1521,11,DC
11001,11,445292,87,1423,11,DC
11001,11,445299,180,3506,23,DC
11001,11,445310,682,24421,180,DC
11001,11,446110,1983,63388,146,DC
11001,11,446120,304,9030,36,DC
11001,11,446130,231,10234,35,DC
11001,11,446191,86,885,10,DC
11001,11,446199,44,2356,12,DC
11001,11,447110,336,6940,60,DC
11001,11,447190,124,4100,19,DC
11001,11,448110,299,9517,35,DC
11001,11,448120,1331,24597,79,DC
11001,11,448130,58,761,6,DC
11001,11,448140,1582,31066,65,DC
11001,11,448150,71,1605,10,DC
11001,11,448190,189,5387,17,DC
11001,11,448210,713,11217,62,DC
11001,11,448310,168,9898,41,DC
11001,11,448320,28,1288,7,DC
11001,11,451110,240,5060,18,DC
11001,11,451120,64,1968,8,DC
11001,11,451130,0,0,1,DC
11001,11,451140,0,0,2,DC
11001,11,451211,571,10996,26,DC
11001,11,451212,122,3255,9,DC
11001,11,452111,0,0,2,DC
11001,11,452112,0,0,1,DC
11001,11,452910,0,0,5,DC
11001,11,452990,201,4368,27,DC
11001,11,453110,243,8326,26,DC
11001,11,453210,125,2924,11,DC
11001,11,453220,599,13469,87,DC
11001,11,453310,348,8291,37,DC
11001,11,453910,125,3086,19,DC
11001,11,453920,90,3561,27,DC
11001,11,453991,37,887,7,DC
11001,11,453998,44,1487,14,DC
11001,11,454111,252,14319,35,DC
11001,11,454112,0,0,3,DC
11001,11,454113,56,5211,8,DC
11001,11,454210,2,38,3,DC
11001,11,454390,167,9227,17,DC
11001,11,48----,3875,264347,165,DC
11001,11,481111,401,27202,15,DC
11001,11,481112,0,0,1,DC
11001,11,481211,0,0,2,DC
11001,11,483113,0,0,1,DC
11001,11,484110,0,0,2,DC
11001,11,484121,0,0,2,DC
11001,11,484122,0,0,1,DC
11001,11,484210,95,5095,7,DC
11001,11,484220,7,338,5,DC
11001,11,485119,0,0,2,DC
11001,11,485210,0,0,2,DC
11001,11,485310,0,0,16,DC
11001,11,485320,363,16469,8,DC
11001,11,485410,0,0,1,DC
11001,11,485510,0,0,1,DC
11001,11,485991,166,4696,8,DC
11001,11,485999,85,3302,7,DC
11001,11,486110,0,0,1,DC
11001,11,486210,0,0,6,DC
11001,11,486910,0,0,1,DC
