fips,fipstate,naics,emp,ap,est,ABBR
10001,10,------,53196,2040014,3422,DE
10001,10,11----,27,1054,7,DE
10001,10,114111,0,0,1,DE
10001,10,114119,0,0,1,DE
10001,10,115112,0,0,1,DE
10001,10,115114,0,0,1,DE
10001,10,115210,6,113,3,DE
10001,10,21----,74,2418,6,DE
10001,10,212312,0,0,2,DE
10001,10,212321,0,0,2,DE
10001,10,213111,0,0,1,DE
10001,10,213112,0,0,1,DE
10001,10,22----,366,38576,11,DE
10001,10,221111,0,0,1,DE
10001,10,221112,0,0,3,DE
10001,10,221122,0,0,1,DE
10001,10,221210,0,0,4,DE
10001,10,221310,0,0,1,DE
10001,10,221330,0,0,1,DE
10001,10,23----,2285,115427,314,DE
10001,10,236115,110,4074,26,DE
10001,10,236116,0,0,2,DE
10001,10,236117,55,4180,10,DE
10001,10,236118,85,6954,40,DE
10001,10,236220,112,4355,15,DE
10001,10,237110,84,4637,4,DE
10001,10,237120,0,0,4,DE
10001,10,237130,0,0,3,DE
10001,10,237310,318,16877,4,DE
10001,10,238110,66,2463,3,DE
10001,10,238130,48,2134,7,DE
10001,10,238140,100,3663,14,DE
10001,10,238150,0,0,2,DE
10001,10,238160,38,1212,10,DE
10001,10,238170,39,1490,8,DE
10001,10,238190,0,0,1,DE
10001,10,238210,325,17492,41,DE
10001,10,238220,310,17764,47,DE
10001,10,238290,0,0,1,DE
10001,10,238310,78,3859,5,DE
10001,10,238320,24,674,10,DE
10001,10,238330,34,1025,10,DE
10001,10,238340,0,0,3,DE
10001,10,238350,53,3040,8,DE
10001,10,238390,0,0,1,DE
10001,10,238910,70,4059,15,DE
10001,10,238990,156,5149,20,DE
10001,10,31----,4810,225837,75,DE
10001,10,311411,0,0,1,DE
10001,10,311422,0,0,1,DE
10001,10,311514,0,0,1,DE
10001,10,311611,0,0,1,DE
10001,10,311612,0,0,1,DE
10001,10,311615,0,0,1,DE
10001,10,311811,0,0,3,DE
10001,10,311999,0,0,3,DE
10001,10,312112,0,0,1,DE
10001,10,312120,29,675,3,DE
10001,10,312130,20,697,3,DE
10001,10,312140,0,0,1,DE
10001,10,313320,0,0,1,DE
10001,10,314120,0,0,1,DE
10001,10,315190,0,0,1,DE
10001,10,315990,0,0,1,DE
10001,10,321920,0,0,2,DE
10001,10,322291,0,0,2,DE
10001,10,323111,0,0,3,DE
10001,10,323113,0,0,1,DE
10001,10,324121,0,0,1,DE
10001,10,325180,0,0,1,DE
10001,10,325311,0,0,1,DE
10001,10,325312,0,0,2,DE
10001,10,325314,0,0,1,DE
10001,10,325411,0,0,1,DE
10001,10,325414,0,0,1,DE
10001,10,325510,0,0,1,DE
10001,10,325620,0,0,2,DE
10001,10,326199,0,0,2,DE
10001,10,327320,0,0,3,DE
10001,10,331210,0,0,1,DE
10001,10,332322,0,0,2,DE
10001,10,332323,0,0,1,DE
10001,10,332439,0,0,1,DE
10001,10,332710,24,1034,8,DE
10001,10,332812,0,0,2,DE
10001,10,333415,0,0,1,DE
10001,10,334118,0,0,1,DE
10001,10,335122,0,0,1,DE
10001,10,335999,0,0,1,DE
10001,10,337110,0,0,1,DE
10001,10,337214,0,0,2,DE
10001,10,339113,0,0,2,DE
10001,10,339116,0,0,1,DE
10001,10,339950,0,0,1,DE
10001,10,339999,0,0,1,DE
10001,10,42----,1072,55074,139,DE
10001,10,423110,0,0,3,DE
10001,10,423120,42,1713,8,DE
10001,10,423210,0,0,1,DE
10001,10,423220,11,598,4,DE
10001,10,423310,0,0,1,DE
10001,10,423330,0,0,1,DE
10001,10,423390,0,0,1,DE
10001,10,423420,0,0,1,DE
10001,10,423430,8,1201,5,DE
10001,10,423450,0,0,3,DE
10001,10,423510,0,0,2,DE
10001,10,423610,49,2479,4,DE
10001,10,423690,26,1931,6,DE
10001,10,423720,16,850,4,DE
10001,10,423730,0,0,2,DE
10001,10,423740,0,0,1,DE
10001,10,423810,0,0,2,DE
10001,10,423820,0,0,5,DE
10001,10,423830,47,4005,10,DE
10001,10,423840,15,1501,3,DE
10001,10,423850,0,0,1,DE
10001,10,423860,0,0,2,DE
10001,10,423910,0,0,1,DE
10001,10,423930,23,670,5,DE
10001,10,423990,0,0,1,DE
10001,10,424130,0,0,2,DE
10001,10,424210,37,1737,9,DE
10001,10,424310,0,0,1,DE
10001,10,424330,0,0,1,DE
10001,10,424420,0,0,3,DE
10001,10,424450,0,0,1,DE
10001,10,424470,0,0,1,DE
10001,10,424480,3,218,4,DE
10001,10,424490,94,3584,7,DE
10001,10,424520,0,0,1,DE
10001,10,424610,0,0,2,DE
10001,10,424690,0,0,1,DE
10001,10,424710,0,0,2,DE
10001,10,424720,0,0,1,DE
10001,10,424810,0,0,1,DE
10001,10,424820,0,0,1,DE
10001,10,424910,74,3502,6,DE
10001,10,424930,0,0,1,DE
10001,10,424950,0,0,1,DE
10001,10,424990,0,0,2,DE
10001,10,425120,39,1763,14,DE
10001,10,44----,9317,264919,580,DE
10001,10,441110,1260,74000,26,DE
10001,10,441120,117,4892,18,DE
10001,10,441210,45,1918,3,DE
10001,10,441222,0,0,1,DE
10001,10,441228,75,2523,4,DE
10001,10,441310,204,5269,20,DE
10001,10,441320,116,4363,12,DE
10001,10,442110,88,3546,12,DE
10001,10,442210,0,0,2,DE
10001,10,442291,0,0,1,DE
10001,10,442299,0,0,2,DE
10001,10,443141,30,661,5,DE
10001,10,443142,195,3846,22,DE
10001,10,444110,0,0,3,DE
10001,10,444120,12,463,3,DE
10001,10,444130,82,1632,7,DE
10001,10,444190,119,7812,14,DE
10001,10,444210,51,2945,4,DE
10001,10,444220,114,4057,10,DE
10001,10,445110,1137,20331,28,DE
10001,10,445120,63,900,12,DE
10001,10,445210,0,0,1,DE
10001,10,445220,0,0,2,DE
10001,10,445230,0,0,2,DE
10001,10,445299,0,0,2,DE
10001,10,445310,122,2150,44,DE
10001,10,446110,437,15826,27,DE
10001,10,446120,76,1313,10,DE
10001,10,446130,33,568,6,DE
10001,10,446191,0,0,6,DE
10001,10,446199,0,0,2,DE
10001,10,447110,552,9862,43,DE
10001,10,447190,0,0,2,DE
10001,10,448110,26,589,4,DE
10001,10,448120,144,1796,17,DE
10001,10,448130,0,0,3,DE
10001,10,448140,216,3567,12,DE
10001,10,448150,0,0,2,DE
10001,10,448190,22,406,5,DE
10001,10,448210,86,1230,10,DE
10001,10,448310,68,1618,10,DE
10001,10,451110,31,392,7,DE
10001,10,451120,111,1383,4,DE
10001,10,451130,0,0,1,DE
10001,10,451140,0,0,2,DE
10001,10,451211,35,460,4,DE
10001,10,452111,451,8106,4,DE
10001,10,452112,309,4926,3,DE
10001,10,452910,0,0,3,DE
10001,10,452990,264,4104,24,DE
10001,10,453110,31,638,4,DE
10001,10,453210,0,0,1,DE
10001,10,453220,95,1159,9,DE
10001,10,453310,118,1825,11,DE
10001,10,453910,67,1153,8,DE
10001,10,453920,0,0,3,DE
10001,10,453930,12,699,4,DE
10001,10,453991,35,383,11,DE
10001,10,453998,112,3047,14,DE
10001,10,454111,70,2146,18,DE
10001,10,454113,46,1176,3,DE
10001,10,454210,0,0,2,DE
10001,10,454310,119,5901,14,DE
10001,10,454390,31,911,7,DE
10001,10,48----,3856,138808,100,DE
10001,10,481112,0,0,1,DE
10001,10,481211,0,0,1,DE
10001,10,483114,0,0,2,DE
10001,10,484110,28,887,7,DE
10001,10,484121,1667,62883,10,DE
10001,10,484122,0,0,3,DE
10001,10,484210,0,0,3,DE
10001,10,484220,49,1986,12,DE
10001,10,484230,0,0,2,DE
10001,10,485310,0,0,2,DE
10001,10,485320,0,0,2,DE
10001,10,485410,470,5507,21,DE
10001,10,485991,17,200,5,DE
10001,10,485999,17,370,5,DE
10001,10,487210,0,0,1,DE
10001,10,488190,0,0,2,DE
10001,10,488210,0,0,1,DE
10001,10,488410,43,1500,5,DE
10001,10,488490,0,0,1,DE
10001,10,488510,0,0,1,DE
10001,10,492110,0,0,4,DE
10001,10,492210,22,711,4,DE
10001,10,493110,0,0,3,DE
10001,10,493120,0,0,2,DE
10001,10,51----,1017,55085,109,DE
10001,10,511110,0,0,3,DE
10001,10,511120,0,0,2,DE
10001,10,511130,0,0,1,DE
10001,10,511199,0,0,1,DE
10001,10,511210,177,9246,10,DE
10001,10,512110,40,3834,9,DE
10001,10,512131,0,0,1,DE
10001,10,512191,0,0,1,DE
10001,10,512220,0,0,1,DE
10001,10,512230,0,0,2,DE
10001,10,515112,55,1711,5,DE
10001,10,517110,297,19475,28,DE
10001,10,517210,51,2954,8,DE
10001,10,517911,4,236,4,DE
10001,10,517919,7,386,4,DE
10001,10,518210,31,1866,9,DE
10001,10,519110,0,0,1,DE
10001,10,519120,0,0,1,DE
10001,10,519130,91,6317,16,DE
10001,10,519190,0,0,2,DE
10001,10,52----,1581,102058,205,DE
10001,10,522110,218,10498,27,DE
10001,10,522120,0,0,7,DE
10001,10,522130,207,9710,10,DE
10001,10,522220,0,0,3,DE
10001,10,522291,90,6808,8,DE
10001,10,522292,35,4179,7,DE
10001,10,522298,38,2036,10,DE
10001,10,522310,8,525,3,DE
10001,10,522320,6,312,3,DE
10001,10,522390,44,1267,16,DE
10001,10,523110,0,0,1,DE
10001,10,523120,65,8430,10,DE
10001,10,523130,0,0,1,DE
10001,10,523140,0,0,2,DE
10001,10,523910,15,748,3,DE
10001,10,523920,19,1327,10,DE
10001,10,523930,30,4522,12,DE
10001,10,523991,0,0,1,DE
10001,10,523999,0,0,1,DE
10001,10,524113,0,0,2,DE
10001,10,524114,24,1354,4,DE
10001,10,524126,13,860,3,DE
10001,10,524127,0,0,1,DE
10001,10,524128,0,0,1,DE
10001,10,524210,361,22658,52,DE
10001,10,524291,0,0,2,DE
10001,10,524292,0,0,2,DE
10001,10,524298,0,0,2,DE
10001,10,525990,0,0,1,DE
10001,10,53----,597,25055,144,DE
10001,10,531110,75,3047,25,DE
10001,10,531120,31,1019,12,DE
