fips,fipstate,naics,emp,ap,est,ABBR
12001,12,------,93371,3662461,6114,FL
12001,12,11----,79,4271,16,FL
12001,12,113110,0,0,3,FL
12001,12,113310,0,0,2,FL
12001,12,114111,0,0,1,FL
12001,12,115113,0,0,1,FL
12001,12,115115,0,0,1,FL
12001,12,115210,0,0,3,FL
12001,12,115310,15,484,5,FL
12001,12,21----,0,0,2,FL
12001,12,212312,0,0,2,FL
12001,12,22----,382,26271,9,FL
12001,12,221112,0,0,1,FL
12001,12,221121,0,0,1,FL
12001,12,221122,0,0,2,FL
12001,12,221210,0,0,3,FL
12001,12,221310,0,0,2,FL
12001,12,23----,4475,188163,481,FL
12001,12,236115,102,4037,43,FL
12001,12,236116,26,862,4,FL
12001,12,236117,122,6803,25,FL
12001,12,236118,150,4867,60,FL
12001,12,236210,0,0,1,FL
12001,12,236220,356,24447,24,FL
12001,12,237110,587,26384,8,FL
12001,12,237130,0,0,2,FL
12001,12,237210,14,449,7,FL
12001,12,237310,13,661,3,FL
12001,12,237990,0,0,2,FL
12001,12,238110,84,2655,9,FL
12001,12,238130,56,1737,7,FL
12001,12,238140,164,5766,7,FL
12001,12,238150,0,0,1,FL
12001,12,238160,214,6066,18,FL
12001,12,238170,0,0,4,FL
12001,12,238190,74,2665,5,FL
12001,12,238210,541,22213,46,FL
12001,12,238220,764,33118,71,FL
12001,12,238290,152,6591,6,FL
12001,12,238310,177,6677,18,FL
12001,12,238320,96,2564,30,FL
12001,12,238330,19,463,9,FL
12001,12,238340,0,0,2,FL
12001,12,238350,128,5496,27,FL
12001,12,238390,48,1175,3,FL
12001,12,238910,389,16275,15,FL
12001,12,238990,133,4190,24,FL
12001,12,31----,3708,231642,153,FL
12001,12,311611,0,0,1,FL
12001,12,311811,45,724,3,FL
12001,12,311812,0,0,2,FL
12001,12,311813,0,0,1,FL
12001,12,311999,0,0,2,FL
12001,12,312120,0,0,3,FL
12001,12,312130,0,0,2,FL
12001,12,314120,0,0,1,FL
12001,12,314999,0,0,1,FL
12001,12,315990,0,0,1,FL
12001,12,316998,0,0,1,FL
12001,12,321113,0,0,2,FL
12001,12,321214,0,0,2,FL
12001,12,321911,0,0,1,FL
12001,12,321918,0,0,1,FL
12001,12,321920,0,0,3,FL
12001,12,321999,0,0,2,FL
12001,12,322230,0,0,1,FL
12001,12,323111,77,3478,8,FL
12001,12,323113,47,1279,5,FL
12001,12,323117,0,0,1,FL
12001,12,325120,0,0,1,FL
12001,12,325199,0,0,2,FL
12001,12,325220,0,0,1,FL
12001,12,325314,0,0,1,FL
12001,12,325414,0,0,1,FL
12001,12,325520,0,0,1,FL
12001,12,325611,0,0,1,FL
12001,12,325620,0,0,1,FL
12001,12,325910,0,0,1,FL
12001,12,325992,0,0,1,FL
12001,12,326122,0,0,1,FL
12001,12,326220,0,0,1,FL
12001,12,327120,0,0,1,FL
12001,12,327310,0,0,1,FL
12001,12,327320,0,0,4,FL
12001,12,327390,0,0,2,FL
12001,12,332322,0,0,2,FL
12001,12,332323,15,458,3,FL
12001,12,332618,0,0,2,FL
12001,12,332710,54,1477,5,FL
12001,12,332812,0,0,1,FL
12001,12,332911,0,0,1,FL
12001,12,332991,0,0,1,FL
12001,12,332999,0,0,1,FL
12001,12,333132,0,0,2,FL
12001,12,333241,0,0,1,FL
12001,12,333249,0,0,2,FL
12001,12,333519,0,0,1,FL
12001,12,333912,0,0,1,FL
12001,12,333995,0,0,1,FL
12001,12,333999,0,0,1,FL
12001,12,334310,0,0,2,FL
12001,12,334419,0,0,1,FL
12001,12,334510,0,0,4,FL
12001,12,334511,0,0,1,FL
12001,12,334515,0,0,1,FL
12001,12,334516,0,0,1,FL
12001,12,334613,0,0,1,FL
12001,12,334614,0,0,1,FL
12001,12,335921,0,0,1,FL
12001,12,335931,0,0,1,FL
12001,12,335999,0,0,1,FL
12001,12,336411,0,0,1,FL
12001,12,336612,0,0,2,FL
12001,12,336991,0,0,1,FL
12001,12,337110,111,5000,8,FL
12001,12,337122,0,0,2,FL
12001,12,337212,0,0,1,FL
12001,12,337920,0,0,1,FL
12001,12,339112,0,0,3,FL
12001,12,339113,0,0,6,FL
12001,12,339114,13,612,3,FL
12001,12,339116,58,1953,8,FL
12001,12,339910,0,0,1,FL
12001,12,339920,0,0,2,FL
12001,12,339930,0,0,1,FL
12001,12,339950,23,634,6,FL
12001,12,339999,0,0,2,FL
12001,12,42----,2169,114999,206,FL
12001,12,423110,0,0,1,FL
12001,12,423120,47,1756,4,FL
12001,12,423130,0,0,1,FL
12001,12,423210,170,13121,4,FL
12001,12,423220,0,0,1,FL
12001,12,423310,71,3410,7,FL
12001,12,423320,27,1084,3,FL
12001,12,423330,0,0,2,FL
12001,12,423390,30,3667,4,FL
12001,12,423420,61,2879,5,FL
12001,12,423430,3,78,3,FL
12001,12,423440,25,1012,4,FL
12001,12,423450,323,22351,11,FL
12001,12,423460,0,0,1,FL
12001,12,423490,8,500,3,FL
12001,12,423510,0,0,2,FL
12001,12,423520,0,0,1,FL
12001,12,423610,52,2578,9,FL
12001,12,423620,0,0,1,FL
12001,12,423690,0,0,1,FL
12001,12,423710,0,0,2,FL
12001,12,423720,103,7123,7,FL
12001,12,423730,37,1649,6,FL
12001,12,423740,0,0,1,FL
12001,12,423810,0,0,1,FL
12001,12,423820,14,503,3,FL
12001,12,423830,25,707,6,FL
12001,12,423840,0,0,1,FL
12001,12,423850,8,228,4,FL
12001,12,423860,0,0,3,FL
12001,12,423910,13,573,4,FL
12001,12,423920,0,0,1,FL
12001,12,423930,26,1081,3,FL
12001,12,423940,7,66,3,FL
12001,12,423990,16,436,6,FL
12001,12,424120,0,0,1,FL
12001,12,424130,4,156,3,FL
12001,12,424210,32,1847,7,FL
12001,12,424320,0,0,1,FL
12001,12,424330,0,0,3,FL
12001,12,424410,0,0,3,FL
12001,12,424430,0,0,1,FL
12001,12,424450,0,0,3,FL
12001,12,424480,17,384,4,FL
12001,12,424490,197,7126,10,FL
12001,12,424510,0,0,1,FL
12001,12,424590,0,0,1,FL
12001,12,424610,0,0,2,FL
12001,12,424690,0,0,5,FL
12001,12,424710,0,0,2,FL
12001,12,424810,0,0,3,FL
12001,12,424910,15,698,5,FL
12001,12,424920,0,0,1,FL
12001,12,424930,0,0,2,FL
12001,12,424940,0,0,2,FL
12001,12,424950,0,0,1,FL
12001,12,424990,31,1682,6,FL
12001,12,425120,50,2531,20,FL
12001,12,44----,14191,346572,942,FL
12001,12,441110,1012,52056,22,FL
12001,12,441120,211,7934,20,FL
12001,12,441222,0,0,2,FL
12001,12,441228,95,3465,8,FL
12001,12,441310,286,6010,28,FL
12001,12,441320,170,6324,19,FL
12001,12,442110,175,5089,27,FL
12001,12,442210,30,1261,7,FL
12001,12,442291,5,209,3,FL
12001,12,442299,103,1675,12,FL
12001,12,443141,44,1139,5,FL
12001,12,443142,227,4904,24,FL
12001,12,444110,900,22111,9,FL
12001,12,444120,28,1063,7,FL
12001,12,444130,69,1496,13,FL
12001,12,444190,134,6170,21,FL
12001,12,444210,21,841,3,FL
12001,12,444220,48,848,7,FL
12001,12,445110,3332,66128,43,FL
12001,12,445120,38,672,19,FL
