fips,fipstate,naics,emp,ap,est,ABBR
13001,13,------,5940,280365,365,GA
13001,13,11----,62,3204,11,GA
13001,13,113310,39,1425,10,GA
13001,13,115111,0,0,1,GA
13001,13,22----,0,0,7,GA
13001,13,221113,0,0,2,GA
13001,13,221122,0,0,5,GA
13001,13,23----,443,16969,34,GA
13001,13,236115,0,0,2,GA
13001,13,236118,0,0,2,GA
13001,13,236210,47,1319,3,GA
13001,13,236220,47,1387,4,GA
13001,13,237110,0,0,1,GA
13001,13,237130,0,0,2,GA
13001,13,237990,0,0,1,GA
13001,13,238110,0,0,1,GA
13001,13,238120,0,0,2,GA
13001,13,238160,0,0,1,GA
13001,13,238210,81,3549,9,GA
13001,13,238220,0,0,2,GA
13001,13,238290,0,0,1,GA
13001,13,238910,0,0,2,GA
13001,13,238990,0,0,1,GA
13001,13,31----,551,24193,23,GA
13001,13,321113,0,0,2,GA
13001,13,321911,0,0,1,GA
13001,13,325211,0,0,1,GA
13001,13,325620,0,0,1,GA
13001,13,327320,0,0,2,GA
13001,13,331511,0,0,1,GA
13001,13,332311,0,0,1,GA
13001,13,332312,0,0,1,GA
13001,13,332322,0,0,1,GA
13001,13,332323,0,0,1,GA
13001,13,332710,8,197,3,GA
13001,13,333111,0,0,2,GA
13001,13,333911,0,0,2,GA
13001,13,333999,0,0,2,GA
13001,13,337110,0,0,1,GA
13001,13,339950,0,0,1,GA
13001,13,42----,209,6084,20,GA
13001,13,423110,0,0,1,GA
13001,13,423210,0,0,1,GA
13001,13,423420,0,0,1,GA
13001,13,423610,0,0,1,GA
13001,13,423710,0,0,1,GA
13001,13,423820,0,0,2,GA
13001,13,423840,0,0,1,GA
13001,13,423850,0,0,1,GA
13001,13,424450,0,0,1,GA
13001,13,424710,28,1022,3,GA
13001,13,424910,108,2270,5,GA
13001,13,424990,0,0,1,GA
13001,13,425120,0,0,1,GA
13001,13,44----,1107,32216,74,GA
13001,13,441110,407,16220,3,GA
13001,13,441120,11,379,3,GA
13001,13,441310,43,702,3,GA
13001,13,441320,0,0,1,GA
13001,13,442110,0,0,1,GA
13001,13,443142,0,0,2,GA
13001,13,444110,0,0,1,GA
13001,13,444130,14,458,3,GA
13001,13,444210,0,0,2,GA
13001,13,444220,90,2176,4,GA
13001,13,445110,0,0,2,GA
13001,13,445120,4,41,3,GA
13001,13,445310,0,0,2,GA
13001,13,446110,54,1502,5,GA
13001,13,447110,43,903,11,GA
13001,13,447190,0,0,2,GA
13001,13,448120,0,0,1,GA
13001,13,448140,12,225,3,GA
13001,13,448150,0,0,1,GA
13001,13,448210,0,0,1,GA
13001,13,448310,0,0,1,GA
13001,13,451110,0,0,1,GA
13001,13,452910,0,0,1,GA
13001,13,452990,36,546,5,GA
13001,13,453110,0,0,2,GA
13001,13,453220,0,0,2,GA
13001,13,453310,0,0,2,GA
13001,13,453930,0,0,2,GA
13001,13,453998,0,0,1,GA
13001,13,454310,0,0,2,GA
13001,13,454390,0,0,1,GA
13001,13,48----,311,12890,11,GA
13001,13,484110,0,0,1,GA
13001,13,484121,0,0,3,GA
13001,13,484122,0,0,2,GA
13001,13,484220,0,0,4,GA
13001,13,492110,0,0,1,GA
13001,13,51----,24,1419,4,GA
13001,13,511110,0,0,1,GA
13001,13,515112,0,0,1,GA
13001,13,517110,0,0,2,GA
13001,13,52----,152,6188,22,GA
13001,13,522110,79,3083,5,GA
13001,13,522130,0,0,1,GA
13001,13,522291,13,569,3,GA
13001,13,522298,13,571,3,GA
13001,13,523120,0,0,1,GA
13001,13,524126,0,0,1,GA
13001,13,524210,28,983,8,GA
13001,13,53----,35,619,11,GA
13001,13,531110,0,0,1,GA
13001,13,531120,0,0,2,GA
13001,13,531130,0,0,1,GA
13001,13,531312,0,0,1,GA
13001,13,531320,0,0,1,GA
13001,13,532210,0,0,1,GA
13001,13,532230,0,0,1,GA
13001,13,532291,0,0,1,GA
13001,13,532299,0,0,1,GA
13001,13,532412,0,0,1,GA
13001,13,54----,37,1311,17,GA
13001,13,541110,9,445,7,GA
13001,13,541199,0,0,1,GA
13001,13,541213,0,0,1,GA
13001,13,541219,0,0,1,GA
13001,13,541330,0,0,1,GA
13001,13,541370,0,0,1,GA
13001,13,541613,0,0,1,GA
13001,13,541690,0,0,1,GA
13001,13,541921,0,0,1,GA
13001,13,541940,0,0,1,GA
13001,13,541990,0,0,1,GA
