fips,fipstate,naics,emp,ap,est,ABBR
15001,15,------,54561,2027850,4032,HI
15001,15,11----,120,3677,11,HI
15001,15,114111,5,34,3,HI
15001,15,114112,0,0,1,HI
15001,15,115112,0,0,1,HI
15001,15,115114,0,0,1,HI
15001,15,115115,0,0,1,HI
15001,15,115116,0,0,1,HI
15001,15,115210,0,0,2,HI
15001,15,115310,0,0,1,HI
15001,15,22----,485,51313,15,HI
15001,15,221112,0,0,2,HI
15001,15,221115,0,0,1,HI
15001,15,221116,0,0,1,HI
15001,15,221117,0,0,1,HI
15001,15,221310,45,3149,5,HI
15001,15,221320,23,1221,5,HI
15001,15,23----,3150,178093,394,HI
15001,15,236115,594,29059,62,HI
15001,15,236117,0,0,2,HI
15001,15,236118,118,4442,43,HI
15001,15,236210,0,0,2,HI
15001,15,236220,144,12983,14,HI
15001,15,237110,14,687,4,HI
15001,15,237120,0,0,1,HI
15001,15,237130,5,301,3,HI
15001,15,237210,60,7090,5,HI
15001,15,237310,41,1926,5,HI
15001,15,238110,73,3642,9,HI
15001,15,238120,0,0,1,HI
15001,15,238130,0,0,2,HI
15001,15,238140,148,4553,20,HI
15001,15,238150,26,1866,5,HI
15001,15,238160,84,3197,13,HI
15001,15,238170,0,0,1,HI
15001,15,238190,0,0,1,HI
15001,15,238210,393,21316,45,HI
15001,15,238220,347,19925,48,HI
15001,15,238290,0,0,1,HI
15001,15,238310,154,6390,12,HI
15001,15,238320,117,7188,20,HI
15001,15,238330,29,1025,6,HI
15001,15,238340,75,3807,8,HI
15001,15,238350,70,3657,12,HI
15001,15,238390,14,396,4,HI
15001,15,238910,434,30781,29,HI
15001,15,238990,152,10564,16,HI
15001,15,31----,1489,63111,117,HI
15001,15,311111,0,0,1,HI
15001,15,311230,0,0,1,HI
15001,15,311352,0,0,1,HI
15001,15,311412,0,0,1,HI
15001,15,311421,23,721,4,HI
15001,15,311422,0,0,1,HI
15001,15,311511,0,0,1,HI
15001,15,311611,0,0,2,HI
15001,15,311612,0,0,1,HI
15001,15,311710,0,0,1,HI
15001,15,311811,61,1420,8,HI
15001,15,311821,0,0,3,HI
15001,15,311824,0,0,1,HI
15001,15,311830,0,0,1,HI
15001,15,311911,0,0,4,HI
15001,15,311919,0,0,2,HI
15001,15,311920,70,2032,7,HI
15001,15,311941,0,0,1,HI
15001,15,311991,24,575,3,HI
15001,15,312111,0,0,3,HI
15001,15,312112,0,0,2,HI
15001,15,312113,0,0,2,HI
15001,15,312120,0,0,3,HI
15001,15,312130,0,0,1,HI
15001,15,314120,0,0,1,HI
15001,15,314910,0,0,1,HI
15001,15,314999,0,0,2,HI
15001,15,321113,0,0,2,HI
15001,15,321114,0,0,1,HI
15001,15,321214,0,0,1,HI
15001,15,321911,0,0,1,HI
15001,15,321918,0,0,1,HI
15001,15,323111,24,620,7,HI
15001,15,323113,0,0,2,HI
15001,15,325211,0,0,1,HI
15001,15,325311,0,0,1,HI
15001,15,325412,0,0,2,HI
15001,15,325611,0,0,1,HI
15001,15,325620,0,0,1,HI
15001,15,325998,0,0,1,HI
15001,15,326113,0,0,1,HI
15001,15,326199,0,0,2,HI
15001,15,327215,0,0,2,HI
15001,15,327320,165,10509,4,HI
15001,15,327390,0,0,2,HI
15001,15,327991,0,0,2,HI
15001,15,332321,0,0,1,HI
15001,15,332322,0,0,1,HI
15001,15,332710,0,0,2,HI
15001,15,332812,0,0,1,HI
15001,15,332996,0,0,1,HI
15001,15,332999,0,0,1,HI
15001,15,333314,0,0,1,HI
15001,15,336612,0,0,1,HI
15001,15,337110,34,1846,5,HI
15001,15,337122,0,0,1,HI
15001,15,337215,0,0,1,HI
15001,15,339116,0,0,1,HI
15001,15,339910,5,129,4,HI
15001,15,339950,0,0,1,HI
15001,15,339999,0,0,1,HI
15001,15,42----,1837,79526,189,HI
15001,15,423110,0,0,1,HI
15001,15,423120,25,963,4,HI
15001,15,423220,0,0,1,HI
15001,15,423310,11,500,4,HI
15001,15,423320,22,1639,4,HI
15001,15,423330,0,0,1,HI
15001,15,423390,0,0,5,HI
15001,15,423420,8,370,4,HI
15001,15,423430,0,0,1,HI
15001,15,423440,0,0,2,HI
15001,15,423490,0,0,1,HI
15001,15,423510,7,284,3,HI
15001,15,423610,31,2085,5,HI
15001,15,423690,7,226,4,HI
15001,15,423710,0,0,1,HI
15001,15,423720,52,2952,6,HI
15001,15,423730,0,0,2,HI
15001,15,423810,52,2742,6,HI
15001,15,423820,28,1265,3,HI
15001,15,423830,33,1510,8,HI
15001,15,423850,0,0,2,HI
15001,15,423910,0,0,2,HI
15001,15,423920,0,0,1,HI
15001,15,423930,42,1689,4,HI
