fips,fipstate,naics,emp,ap,est,ABBR
19001,19,------,1795,58789,191,IA
19001,19,11----,0,0,2,IA
19001,19,115112,0,0,1,IA
19001,19,115210,0,0,1,IA
19001,19,21----,0,0,2,IA
19001,19,212312,0,0,2,IA
19001,19,22----,0,0,2,IA
19001,19,221122,0,0,2,IA
19001,19,23----,115,4632,24,IA
19001,19,236118,15,421,5,IA
19001,19,236220,0,0,2,IA
19001,19,237990,0,0,1,IA
19001,19,238110,0,0,1,IA
19001,19,238210,0,0,1,IA
19001,19,238220,18,499,4,IA
19001,19,238330,0,0,1,IA
19001,19,238910,49,1426,8,IA
19001,19,238990,0,0,1,IA
19001,19,31----,0,0,2,IA
19001,19,325910,0,0,1,IA
19001,19,327215,0,0,1,IA
19001,19,42----,121,4555,11,IA
19001,19,423310,0,0,1,IA
19001,19,423820,47,1829,4,IA
19001,19,423930,0,0,1,IA
19001,19,424510,0,0,1,IA
19001,19,424910,60,2092,4,IA
19001,19,44----,264,4935,31,IA
19001,19,441110,0,0,1,IA
19001,19,441310,0,0,1,IA
19001,19,441320,0,0,1,IA
19001,19,442299,0,0,1,IA
19001,19,444110,0,0,2,IA
19001,19,444130,0,0,1,IA
19001,19,444190,19,547,3,IA
19001,19,444220,0,0,1,IA
19001,19,445110,0,0,2,IA
19001,19,446110,0,0,2,IA
19001,19,447110,90,1510,7,IA
19001,19,447190,0,0,2,IA
19001,19,452990,0,0,2,IA
19001,19,453110,0,0,1,IA
19001,19,453220,0,0,2,IA
19001,19,453310,0,0,1,IA
19001,19,454210,0,0,1,IA
19001,19,48----,154,5995,7,IA
19001,19,484121,0,0,1,IA
19001,19,484220,0,0,3,IA
19001,19,484230,0,0,2,IA
19001,19,493130,0,0,1,IA
19001,19,51----,0,0,1,IA
19001,19,517110,0,0,1,IA
19001,19,52----,78,3690,12,IA
19001,19,522110,57,3068,7,IA
19001,19,524113,0,0,2,IA
19001,19,524126,0,0,1,IA
19001,19,524210,0,0,2,IA
19001,19,53----,11,225,6,IA
19001,19,531110,0,0,2,IA
