fips,fipstate,naics,emp,ap,est,ABBR
16001,16,------,194215,9096995,13187,ID
16001,16,11----,16,982,14,ID
16001,16,113310,0,0,1,ID
16001,16,114111,0,0,1,ID
16001,16,114112,0,0,1,ID
16001,16,115112,0,0,1,ID
16001,16,115116,0,0,2,ID
16001,16,115210,6,67,5,ID
16001,16,115310,9,657,3,ID
16001,16,21----,69,2545,13,ID
16001,16,211111,0,0,1,ID
16001,16,212221,1,44,3,ID
16001,16,212311,0,0,1,ID
16001,16,212312,0,0,1,ID
16001,16,212319,0,0,1,ID
16001,16,213111,0,0,1,ID
16001,16,213112,0,0,2,ID
16001,16,213114,29,1271,3,ID
16001,16,22----,1792,177925,38,ID
16001,16,221111,0,0,3,ID
16001,16,221112,0,0,1,ID
16001,16,221114,0,0,1,ID
16001,16,221115,0,0,1,ID
16001,16,221116,0,0,2,ID
16001,16,221122,0,0,10,ID
16001,16,221210,0,0,4,ID
16001,16,221310,144,7923,14,ID
16001,16,221320,0,0,2,ID
16001,16,23----,12755,628822,1523,ID
16001,16,236115,374,16874,114,ID
16001,16,236116,9,515,5,ID
16001,16,236117,280,18698,70,ID
16001,16,236118,462,14734,142,ID
16001,16,236210,0,0,1,ID
16001,16,236220,1486,98647,94,ID
16001,16,237110,309,17386,18,ID
16001,16,237120,0,0,1,ID
16001,16,237130,461,29011,9,ID
16001,16,237210,30,1536,14,ID
16001,16,237310,786,58376,15,ID
16001,16,237990,7,714,4,ID
16001,16,238110,358,14067,43,ID
16001,16,238120,75,2793,7,ID
16001,16,238130,362,14501,58,ID
16001,16,238140,228,9305,33,ID
16001,16,238150,116,5514,9,ID
16001,16,238160,268,11446,47,ID
16001,16,238170,197,6198,31,ID
16001,16,238190,92,3690,11,ID
16001,16,238210,1373,70618,126,ID
16001,16,238220,2403,118909,172,ID
16001,16,238290,78,5293,14,ID
16001,16,238310,566,16512,59,ID
16001,16,238320,366,10640,87,ID
16001,16,238330,168,6194,51,ID
16001,16,238340,251,10447,45,ID
16001,16,238350,429,16071,69,ID
16001,16,238390,58,1640,9,ID
16001,16,238910,574,24540,56,ID
16001,16,238990,587,23858,109,ID
16001,16,31----,14137,1155468,391,ID
16001,16,311351,0,0,1,ID
16001,16,311352,55,1291,4,ID
16001,16,311412,0,0,1,ID
16001,16,311421,0,0,1,ID
16001,16,311422,0,0,2,ID
16001,16,311511,0,0,2,ID
16001,16,311611,0,0,1,ID
16001,16,311612,11,292,3,ID
16001,16,311613,0,0,1,ID
16001,16,311710,0,0,1,ID
16001,16,311811,0,0,4,ID
16001,16,311812,0,0,1,ID
16001,16,311824,0,0,1,ID
16001,16,311830,0,0,1,ID
16001,16,311919,0,0,1,ID
16001,16,311920,0,0,1,ID
16001,16,311942,0,0,1,ID
16001,16,311991,0,0,3,ID
16001,16,311999,0,0,1,ID
