fips,fipstate,naics,emp,ap,est,ABBR
17001,17,------,30925,1203468,1802,IL
17001,17,11----,9,368,4,IL
17001,17,115112,6,262,3,IL
17001,17,115115,0,0,1,IL
17001,17,21----,0,0,5,IL
17001,17,212312,0,0,3,IL
17001,17,212321,0,0,1,IL
17001,17,213112,0,0,1,IL
17001,17,22----,0,0,5,IL
17001,17,221122,0,0,4,IL
17001,17,221310,0,0,1,IL
17001,17,23----,1163,55134,206,IL
17001,17,236115,81,3226,18,IL
17001,17,236117,16,749,7,IL
17001,17,236118,73,2277,29,IL
17001,17,236210,0,0,2,IL
17001,17,236220,123,6643,12,IL
17001,17,237110,43,2954,4,IL
17001,17,237130,0,0,1,IL
17001,17,237310,55,4192,3,IL
17001,17,237990,0,0,2,IL
17001,17,238110,62,3183,11,IL
17001,17,238120,0,0,2,IL
17001,17,238140,33,803,8,IL
17001,17,238150,0,0,2,IL
17001,17,238160,45,1907,9,IL
17001,17,238170,5,88,3,IL
17001,17,238190,0,0,1,IL
17001,17,238210,169,7365,23,IL
17001,17,238220,238,12385,28,IL
17001,17,238290,27,1366,3,IL
17001,17,238310,7,248,4,IL
17001,17,238320,67,2615,7,IL
17001,17,238330,4,167,4,IL
17001,17,238340,0,0,1,IL
17001,17,238350,0,0,3,IL
17001,17,238390,0,0,1,IL
17001,17,238910,36,1369,10,IL
17001,17,238990,12,546,8,IL
17001,17,31----,5177,259156,78,IL
17001,17,311119,151,6302,3,IL
17001,17,311224,0,0,1,IL
17001,17,311225,0,0,2,IL
17001,17,311352,0,0,1,IL
17001,17,311611,0,0,1,IL
17001,17,311811,0,0,1,IL
17001,17,312111,0,0,1,IL
17001,17,312112,0,0,1,IL
17001,17,312130,0,0,1,IL
17001,17,314120,0,0,1,IL
17001,17,321113,0,0,1,IL
17001,17,321920,0,0,2,IL
17001,17,323111,53,1530,5,IL
17001,17,323113,0,0,2,IL
17001,17,325180,0,0,2,IL
17001,17,325411,0,0,1,IL
17001,17,325611,0,0,1,IL
17001,17,325998,0,0,1,IL
17001,17,326199,0,0,1,IL
17001,17,327390,0,0,1,IL
17001,17,327992,0,0,1,IL
17001,17,331110,0,0,1,IL
17001,17,331524,0,0,2,IL
17001,17,332322,0,0,2,IL
17001,17,332420,0,0,2,IL
17001,17,332618,0,0,1,IL
17001,17,332710,79,3109,8,IL
17001,17,332812,0,0,2,IL
17001,17,332813,0,0,1,IL
17001,17,332999,0,0,4,IL
17001,17,333111,0,0,3,IL
17001,17,333318,0,0,2,IL
17001,17,333415,0,0,1,IL
17001,17,333514,0,0,1,IL
17001,17,333517,0,0,1,IL
17001,17,333911,0,0,1,IL
17001,17,333921,0,0,1,IL
17001,17,333995,0,0,1,IL
17001,17,334210,0,0,1,IL
17001,17,334220,440,31351,3,IL
17001,17,336211,0,0,2,IL
17001,17,337110,0,0,2,IL
17001,17,337212,0,0,2,IL
17001,17,337215,0,0,1,IL
17001,17,339116,0,0,1,IL
17001,17,339920,0,0,1,IL
17001,17,42----,2125,100991,123,IL
17001,17,423110,140,4900,6,IL
17001,17,423120,64,2495,7,IL
17001,17,423140,0,0,1,IL
17001,17,423220,0,0,2,IL
17001,17,423310,0,0,2,IL
17001,17,423330,0,0,1,IL
