fips,fipstate,naics,emp,ap,est,ABBR
18001,18,------,11641,417004,723,IN
18001,18,11----,0,0,2,IN
18001,18,113310,0,0,1,IN
18001,18,115112,0,0,1,IN
18001,18,21----,0,0,3,IN
18001,18,212312,0,0,2,IN
18001,18,212321,0,0,1,IN
18001,18,22----,0,0,1,IN
18001,18,221122,0,0,1,IN
18001,18,23----,361,14766,72,IN
18001,18,236115,7,207,4,IN
18001,18,236117,0,0,1,IN
18001,18,236118,61,1574,13,IN
18001,18,236220,15,550,4,IN
18001,18,237110,0,0,1,IN
18001,18,237310,0,0,3,IN
18001,18,237990,0,0,1,IN
18001,18,238110,0,0,1,IN
18001,18,238130,0,0,1,IN
18001,18,238170,0,0,1,IN
18001,18,238210,43,1531,9,IN
18001,18,238220,54,1760,8,IN
18001,18,238290,38,2001,3,IN
18001,18,238310,0,0,2,IN
18001,18,238320,13,386,5,IN
18001,18,238330,0,0,2,IN
18001,18,238350,15,384,4,IN
18001,18,238910,31,2250,8,IN
18001,18,238990,0,0,1,IN
18001,18,31----,4984,224053,64,IN
18001,18,311224,0,0,1,IN
18001,18,311421,0,0,1,IN
18001,18,311999,0,0,1,IN
18001,18,312113,0,0,1,IN
18001,18,314999,0,0,1,IN
18001,18,321918,0,0,1,IN
18001,18,321999,0,0,1,IN
18001,18,323111,0,0,3,IN
18001,18,324121,0,0,1,IN
18001,18,325211,0,0,1,IN
18001,18,326140,0,0,1,IN
18001,18,326199,0,0,1,IN
18001,18,327320,0,0,2,IN
18001,18,327390,0,0,2,IN
18001,18,331314,0,0,1,IN
18001,18,331491,0,0,1,IN
18001,18,332119,0,0,1,IN
18001,18,332311,0,0,1,IN
18001,18,332312,0,0,1,IN
18001,18,332323,0,0,1,IN
18001,18,332510,0,0,1,IN
18001,18,332710,32,1225,5,IN
18001,18,332722,0,0,1,IN
18001,18,332812,0,0,1,IN
18001,18,332996,0,0,1,IN
18001,18,332999,0,0,1,IN
18001,18,333111,0,0,1,IN
18001,18,333318,0,0,1,IN
18001,18,333414,18,652,3,IN
18001,18,333511,0,0,1,IN
18001,18,333514,176,5848,5,IN
18001,18,333515,0,0,1,IN
18001,18,333999,0,0,1,IN
18001,18,334413,0,0,1,IN
18001,18,336211,0,0,1,IN
18001,18,336212,0,0,1,IN
18001,18,336213,0,0,2,IN
18001,18,336310,0,0,1,IN
18001,18,336350,0,0,1,IN
18001,18,336390,0,0,1,IN
18001,18,336612,0,0,1,IN
18001,18,337110,0,0,2,IN
18001,18,337121,0,0,3,IN
18001,18,337212,0,0,1,IN
18001,18,339116,0,0,1,IN
18001,18,339995,0,0,1,IN
18001,18,42----,302,10810,37,IN
18001,18,423110,47,1428,4,IN
18001,18,423120,0,0,2,IN
18001,18,423130,0,0,1,IN
18001,18,423140,0,0,1,IN
18001,18,423220,0,0,3,IN
18001,18,423310,0,0,1,IN
18001,18,423420,0,0,1,IN
18001,18,423710,0,0,1,IN
18001,18,423820,0,0,2,IN
18001,18,423830,0,0,2,IN
18001,18,423930,0,0,2,IN
18001,18,423990,0,0,1,IN
18001,18,424320,0,0,2,IN
18001,18,424420,0,0,1,IN
18001,18,424510,44,1518,4,IN
18001,18,424520,0,0,1,IN
18001,18,424910,32,1236,5,IN
18001,18,425120,11,109,3,IN
18001,18,44----,1413,35474,132,IN
18001,18,441110,89,4507,4,IN
18001,18,441120,41,1360,8,IN
18001,18,441210,0,0,2,IN
18001,18,441228,0,0,1,IN
18001,18,441310,39,1016,5,IN
18001,18,441320,0,0,2,IN
18001,18,442110,28,932,4,IN
18001,18,442210,0,0,1,IN
18001,18,442291,0,0,1,IN
18001,18,442299,0,0,1,IN
18001,18,443141,0,0,1,IN
18001,18,443142,0,0,2,IN
18001,18,444120,0,0,1,IN
18001,18,444130,41,710,4,IN
18001,18,444190,68,2128,5,IN
18001,18,444210,0,0,1,IN
18001,18,444220,20,283,5,IN
18001,18,445110,167,3217,4,IN
18001,18,445210,0,0,2,IN
18001,18,445299,0,0,1,IN
18001,18,445310,23,347,5,IN
18001,18,446110,0,0,3,IN
18001,18,446120,0,0,1,IN
18001,18,446191,11,126,3,IN
18001,18,446199,0,0,1,IN
18001,18,447110,124,1731,13,IN
18001,18,447190,0,0,2,IN
18001,18,448120,0,0,2,IN
18001,18,448140,0,0,1,IN
18001,18,448210,0,0,1,IN
18001,18,448310,0,0,2,IN
18001,18,451110,0,0,3,IN
18001,18,451120,0,0,1,IN
18001,18,451130,0,0,1,IN
18001,18,451211,0,0,2,IN
18001,18,452112,0,0,1,IN
18001,18,452910,0,0,1,IN
18001,18,452990,90,1390,9,IN
18001,18,453110,16,117,3,IN
18001,18,453310,0,0,2,IN
18001,18,453991,0,0,1,IN
18001,18,453998,0,0,1,IN
18001,18,454111,9,195,4,IN
18001,18,454113,0,0,2,IN
18001,18,454310,14,638,5,IN
18001,18,454390,24,578,7,IN
18001,18,48----,220,10013,24,IN
18001,18,484110,15,734,4,IN
18001,18,484121,135,5610,10,IN
18001,18,484122,0,0,1,IN
18001,18,484220,48,2667,5,IN
18001,18,484230,0,0,2,IN
18001,18,485991,0,0,1,IN
18001,18,485999,0,0,1,IN
18001,18,51----,234,9864,10,IN
18001,18,511110,0,0,2,IN
18001,18,511120,0,0,1,IN
18001,18,515112,0,0,1,IN
18001,18,517110,0,0,5,IN
18001,18,517210,0,0,1,IN
18001,18,52----,219,9214,51,IN
18001,18,522110,120,5015,11,IN
18001,18,522130,24,738,5,IN
18001,18,522291,0,0,1,IN
18001,18,522310,0,0,1,IN
18001,18,522390,0,0,2,IN
18001,18,523120,14,831,5,IN
18001,18,524126,0,0,2,IN
18001,18,524210,52,2212,23,IN
18001,18,525990,0,0,1,IN
18001,18,53----,86,2773,21,IN
18001,18,531110,0,0,5,IN
18001,18,531210,12,391,8,IN
18001,18,531311,5,117,3,IN
18001,18,531312,0,0,1,IN
18001,18,531320,0,0,2,IN
18001,18,532111,0,0,1,IN
18001,18,532210,0,0,1,IN
18001,18,54----,229,9683,46,IN
18001,18,541110,18,827,4,IN
18001,18,541191,0,0,2,IN
18001,18,541211,0,0,2,IN
18001,18,541213,22,250,3,IN
18001,18,541219,30,231,3,IN
18001,18,541320,0,0,1,IN
18001,18,541330,17,584,3,IN
18001,18,541370,0,0,3,IN
18001,18,541380,0,0,2,IN
18001,18,541430,0,0,2,IN
18001,18,541511,0,0,3,IN
18001,18,541512,0,0,3,IN
18001,18,541611,0,0,3,IN
18001,18,541612,0,0,1,IN
18001,18,541690,0,0,1,IN
18001,18,541921,3,20,3,IN
18001,18,541940,26,928,5,IN
18001,18,541990,0,0,2,IN
18001,18,55----,0,0,2,IN
18001,18,551111,0,0,1,IN
18001,18,551114,0,0,1,IN
18001,18,56----,457,11241,30,IN
18001,18,561320,0,0,3,IN
18001,18,561330,0,0,1,IN
18001,18,561410,0,0,1,IN
18001,18,561510,0,0,1,IN
18001,18,561621,0,0,1,IN
18001,18,561710,0,0,1,IN
18001,18,561730,53,1208,15,IN
18001,18,561740,5,196,3,IN
18001,18,561990,0,0,2,IN
18001,18,562991,0,0,2,IN
18001,18,61----,83,1136,6,IN
18001,18,611110,69,1059,3,IN
18001,18,611610,0,0,1,IN
18001,18,611620,0,0,1,IN
18001,18,611692,0,0,1,IN
18001,18,62----,1525,51363,48,IN
18001,18,621111,42,1207,4,IN
18001,18,621210,110,4912,5,IN
18001,18,621310,36,682,7,IN
18001,18,621320,50,1233,6,IN
18001,18,621340,11,577,3,IN
18001,18,621410,0,0,1,IN
18001,18,621420,0,0,1,IN
18001,18,621492,0,0,2,IN
18001,18,621498,0,0,1,IN
18001,18,621610,0,0,1,IN
18001,18,622110,0,0,1,IN
18001,18,623110,0,0,1,IN
18001,18,623210,0,0,4,IN
18001,18,623311,0,0,1,IN
18001,18,623312,0,0,1,IN
18001,18,624120,0,0,2,IN
18001,18,624190,0,0,4,IN
18001,18,624221,0,0,1,IN
18001,18,624310,0,0,1,IN
18001,18,624410,0,0,1,IN
18001,18,71----,23,412,7,IN
18001,18,711110,0,0,1,IN
18001,18,713910,0,0,2,IN
18001,18,713940,5,196,3,IN
18001,18,713950,0,0,1,IN
18001,18,72----,811,8098,53,IN
18001,18,721110,49,578,5,IN
18001,18,722320,0,0,2,IN
18001,18,722410,35,553,5,IN
18001,18,722511,436,3998,21,IN
18001,18,722513,230,2419,14,IN
18001,18,722514,0,0,1,IN
18001,18,722515,20,157,5,IN
18001,18,81----,587,12279,113,IN
18001,18,811111,70,2580,12,IN
18001,18,811113,0,0,2,IN
18001,18,811121,14,444,5,IN
18001,18,811191,0,0,2,IN
18001,18,811192,6,91,3,IN
18001,18,811310,28,774,6,IN
18001,18,811411,0,0,1,IN
18001,18,811490,0,0,2,IN
18001,18,812112,29,529,13,IN
18001,18,812199,6,53,4,IN
18001,18,812210,28,859,4,IN
18001,18,812220,0,0,2,IN
18001,18,812310,0,0,1,IN
18001,18,812910,0,0,1,IN
18001,18,812990,0,0,1,IN
18001,18,813110,235,3561,35,IN
18001,18,813211,0,0,1,IN
18001,18,813219,0,0,1,IN
18001,18,813410,52,622,10,IN
18001,18,813910,7,247,5,IN
18001,18,813930,0,0,2,IN
18001,18,99----,0,0,1,IN
18003,18,------,174046,7319048,9130,IN
18003,18,11----,23,325,8,IN
18003,18,113310,11,184,3,IN
18003,18,115114,0,0,1,IN
18003,18,115210,9,54,4,IN
18003,18,21----,105,3549,6,IN
18003,18,212312,0,0,4,IN
18003,18,212321,0,0,1,IN
18003,18,212399,0,0,1,IN
18003,18,22----,0,0,15,IN
18003,18,221114,0,0,1,IN
18003,18,221122,0,0,9,IN
18003,18,221310,0,0,1,IN
18003,18,221320,0,0,4,IN
18003,18,23----,8487,493210,871,IN
18003,18,236115,189,8054,76,IN
18003,18,236116,0,0,3,IN
18003,18,236117,144,7932,14,IN
18003,18,236118,437,16324,119,IN
18003,18,236210,35,2662,6,IN
18003,18,236220,789,50720,39,IN
18003,18,237110,132,6565,14,IN
18003,18,237130,0,0,3,IN
18003,18,237210,18,908,3,IN
18003,18,237310,202,21254,10,IN
18003,18,237990,0,0,2,IN
18003,18,238110,229,11124,51,IN
18003,18,238120,0,0,1,IN
18003,18,238130,106,3722,40,IN
18003,18,238140,337,17261,21,IN
18003,18,238150,92,4036,6,IN
18003,18,238160,181,8615,25,IN
18003,18,238170,76,2831,12,IN
