fips,fipstate,naics,emp,ap,est,ABBR
20001,20,------,4410,146821,382,KS
20001,20,21----,138,6493,13,KS
20001,20,211111,57,2745,8,KS
20001,20,211112,0,0,1,KS
20001,20,212311,0,0,1,KS
20001,20,212312,0,0,1,KS
20001,20,212321,0,0,1,KS
20001,20,213111,0,0,1,KS
20001,20,22----,15,1431,3,KS
20001,20,221122,0,0,2,KS
20001,20,221210,0,0,1,KS
20001,20,23----,118,4203,34,KS
20001,20,236118,2,11,6,KS
20001,20,236220,0,0,1,KS
20001,20,237110,0,0,2,KS
20001,20,237310,0,0,2,KS
20001,20,238110,0,0,1,KS
20001,20,238140,0,0,1,KS
20001,20,238160,0,0,1,KS
20001,20,238170,0,0,1,KS
20001,20,238210,15,455,6,KS
20001,20,238220,32,1228,6,KS
20001,20,238310,0,0,1,KS
20001,20,238320,0,0,1,KS
20001,20,238350,0,0,2,KS
20001,20,238910,0,0,2,KS
20001,20,238990,0,0,1,KS
20001,20,31----,1885,75239,25,KS
20001,20,311224,0,0,1,KS
20001,20,311352,0,0,1,KS
20001,20,311611,0,0,1,KS
20001,20,322219,0,0,1,KS
20001,20,323111,0,0,2,KS
20001,20,326199,0,0,1,KS
20001,20,326220,0,0,1,KS
20001,20,327310,0,0,1,KS
20001,20,327320,0,0,2,KS
20001,20,332321,0,0,1,KS
20001,20,332710,0,0,1,KS
20001,20,332721,0,0,1,KS
20001,20,332912,0,0,1,KS
20001,20,333112,0,0,1,KS
20001,20,333132,0,0,2,KS
20001,20,333517,0,0,2,KS
20001,20,333911,0,0,2,KS
20001,20,335314,0,0,1,KS
20001,20,336390,0,0,1,KS
20001,20,339116,0,0,1,KS
20001,20,42----,134,6425,20,KS
20001,20,423120,0,0,2,KS
20001,20,423130,0,0,1,KS
20001,20,423410,0,0,1,KS
20001,20,423420,0,0,2,KS
20001,20,423710,0,0,1,KS
20001,20,423810,0,0,1,KS
20001,20,423820,16,666,3,KS
20001,20,423830,0,0,1,KS
20001,20,423930,0,0,1,KS
20001,20,424510,0,0,2,KS
20001,20,424910,9,309,4,KS
20001,20,425120,0,0,1,KS
20001,20,44----,598,13949,47,KS
20001,20,441110,0,0,1,KS
20001,20,441120,0,0,1,KS
20001,20,441310,26,743,4,KS
20001,20,442110,0,0,2,KS
20001,20,442210,0,0,2,KS
20001,20,443141,0,0,1,KS
20001,20,444190,0,0,2,KS
20001,20,444220,41,908,3,KS
20001,20,445110,0,0,2,KS
20001,20,445292,0,0,1,KS
20001,20,445310,18,109,3,KS
20001,20,446110,0,0,1,KS
20001,20,447110,100,1521,7,KS
20001,20,447190,0,0,1,KS
20001,20,448120,0,0,2,KS
20001,20,448140,0,0,1,KS
20001,20,451110,0,0,1,KS
20001,20,452910,0,0,1,KS
20001,20,452990,0,0,4,KS
20001,20,453110,0,0,1,KS
20001,20,453310,0,0,1,KS
20001,20,453920,0,0,1,KS
20001,20,454111,0,0,1,KS
20001,20,454210,0,0,1,KS
20001,20,454310,0,0,2,KS
20001,20,48----,73,3659,20,KS
20001,20,484110,0,0,2,KS
