fips,fipstate,naics,emp,ap,est,ABBR
21001,21,------,4138,104173,301,KY
21001,21,11----,0,0,2,KY
21001,21,113310,0,0,1,KY
21001,21,115112,0,0,1,KY
21001,21,21----,21,445,4,KY
21001,21,211111,0,0,1,KY
21001,21,212312,0,0,1,KY
21001,21,213111,0,0,1,KY
21001,21,213112,0,0,1,KY
21001,21,22----,0,0,1,KY
21001,21,221122,0,0,1,KY
21001,21,23----,186,7629,31,KY
21001,21,236115,0,0,2,KY
21001,21,236118,0,0,1,KY
21001,21,236220,0,0,1,KY
21001,21,237110,23,1037,4,KY
21001,21,237120,0,0,1,KY
21001,21,237210,0,0,1,KY
21001,21,237310,0,0,1,KY
21001,21,238160,0,0,2,KY
21001,21,238210,0,0,2,KY
21001,21,238220,0,0,2,KY
21001,21,238290,0,0,1,KY
21001,21,238320,0,0,2,KY
21001,21,238390,0,0,1,KY
21001,21,238910,45,1649,6,KY
21001,21,238990,12,215,4,KY
21001,21,31----,564,12208,25,KY
21001,21,311119,0,0,1,KY
21001,21,311611,0,0,1,KY
21001,21,311612,0,0,1,KY
21001,21,321113,61,599,5,KY
21001,21,321211,0,0,1,KY
21001,21,321911,0,0,1,KY
21001,21,321999,0,0,1,KY
21001,21,323111,40,620,4,KY
21001,21,323113,0,0,1,KY
21001,21,327320,0,0,2,KY
21001,21,332312,0,0,1,KY
21001,21,332710,0,0,1,KY
21001,21,332999,0,0,1,KY
21001,21,333911,0,0,1,KY
21001,21,336320,0,0,1,KY
21001,21,336612,0,0,1,KY
21001,21,337122,0,0,1,KY
21001,21,42----,76,1983,16,KY
21001,21,423120,0,0,1,KY
21001,21,423310,0,0,1,KY
21001,21,423390,0,0,1,KY
21001,21,423510,0,0,1,KY
21001,21,423810,0,0,1,KY
21001,21,423820,0,0,2,KY
21001,21,423930,0,0,2,KY
21001,21,423990,0,0,2,KY
21001,21,424450,0,0,1,KY
21001,21,424690,0,0,1,KY
21001,21,424910,0,0,1,KY
21001,21,424940,0,0,1,KY
21001,21,424990,0,0,1,KY
21001,21,44----,718,17811,58,KY
21001,21,441110,0,0,2,KY
21001,21,441120,16,508,3,KY
21001,21,441228,0,0,1,KY
21001,21,441310,29,576,3,KY
21001,21,441320,0,0,1,KY
21001,21,442110,0,0,1,KY
21001,21,442299,0,0,1,KY
21001,21,443141,0,0,1,KY
21001,21,443142,0,0,2,KY
21001,21,444110,0,0,1,KY
21001,21,444130,28,708,3,KY
21001,21,444220,25,868,3,KY
21001,21,445110,0,0,4,KY
21001,21,445291,0,0,1,KY
21001,21,446110,59,1791,6,KY
21001,21,446199,0,0,2,KY
21001,21,447110,66,1372,10,KY
21001,21,447190,0,0,1,KY
21001,21,451130,0,0,1,KY
21001,21,452910,0,0,1,KY
21001,21,452990,0,0,3,KY
21001,21,453110,0,0,2,KY
21001,21,453310,0,0,2,KY
