fips,fipstate,naics,emp,ap,est,ABBR
22001,22,------,12041,369033,1088,LA
22001,22,11----,40,1598,6,LA
22001,22,115112,31,1299,5,LA
22001,22,115114,0,0,1,LA
22001,22,21----,392,20007,29,LA
22001,22,211111,7,278,3,LA
22001,22,213111,0,0,3,LA
22001,22,213112,349,17018,23,LA
22001,22,22----,75,3587,10,LA
22001,22,221112,0,0,3,LA
22001,22,221122,0,0,1,LA
22001,22,221210,0,0,1,LA
22001,22,221310,30,802,4,LA
22001,22,221320,0,0,1,LA
22001,22,23----,905,36670,107,LA
22001,22,236115,36,911,9,LA
22001,22,236117,0,0,2,LA
22001,22,236118,39,916,6,LA
22001,22,236220,35,1168,6,LA
22001,22,237110,0,0,3,LA
22001,22,237120,0,0,1,LA
22001,22,237130,0,0,1,LA
22001,22,237310,0,0,4,LA
22001,22,238110,11,263,3,LA
22001,22,238150,0,0,1,LA
22001,22,238160,0,0,2,LA
22001,22,238170,0,0,2,LA
22001,22,238190,0,0,1,LA
22001,22,238210,112,3771,20,LA
22001,22,238220,87,2961,16,LA
22001,22,238310,0,0,1,LA
22001,22,238320,22,445,3,LA
22001,22,238350,0,0,2,LA
22001,22,238390,0,0,1,LA
22001,22,238910,122,6185,8,LA
22001,22,238990,187,7996,15,LA
22001,22,31----,1008,34485,45,LA
22001,22,311212,255,8385,4,LA
22001,22,311412,0,0,1,LA
22001,22,311421,0,0,1,LA
22001,22,311611,0,0,1,LA
22001,22,311612,0,0,1,LA
22001,22,311812,0,0,1,LA
22001,22,313220,0,0,2,LA
22001,22,313310,0,0,1,LA
22001,22,314910,0,0,2,LA
22001,22,321911,0,0,1,LA
22001,22,321920,0,0,1,LA
22001,22,322220,0,0,1,LA
22001,22,323111,0,0,1,LA
22001,22,323113,0,0,1,LA
22001,22,325411,0,0,1,LA
22001,22,325412,0,0,1,LA
22001,22,325612,0,0,1,LA
22001,22,326111,0,0,1,LA
22001,22,326122,0,0,1,LA
22001,22,327320,0,0,1,LA
22001,22,327390,0,0,1,LA
22001,22,332312,0,0,2,LA
22001,22,332313,0,0,2,LA
22001,22,332439,0,0,1,LA
22001,22,332710,45,1756,4,LA
22001,22,332996,0,0,1,LA
22001,22,333111,0,0,2,LA
22001,22,333132,0,0,1,LA
22001,22,333249,0,0,1,LA
22001,22,333514,0,0,1,LA
22001,22,336310,0,0,1,LA
22001,22,337110,0,0,2,LA
22001,22,339950,0,0,1,LA
22001,22,42----,717,29135,52,LA
22001,22,423110,0,0,1,LA
22001,22,423130,0,0,2,LA
22001,22,423210,0,0,1,LA
22001,22,423310,28,1347,3,LA
22001,22,423320,0,0,1,LA
22001,22,423390,0,0,1,LA
22001,22,423450,0,0,1,LA
22001,22,423490,0,0,1,LA
22001,22,423690,0,0,2,LA
22001,22,423710,0,0,1,LA
22001,22,423820,0,0,2,LA
22001,22,423830,10,276,4,LA
22001,22,423840,0,0,2,LA
22001,22,423850,0,0,1,LA
22001,22,423930,0,0,2,LA
22001,22,424120,0,0,1,LA
22001,22,424130,0,0,1,LA
22001,22,424420,0,0,1,LA
22001,22,424460,103,1891,9,LA
22001,22,424490,0,0,1,LA
22001,22,424510,0,0,2,LA
22001,22,424590,0,0,1,LA
22001,22,424690,54,4493,3,LA
22001,22,424710,0,0,1,LA
22001,22,424910,36,1920,5,LA
22001,22,424940,0,0,1,LA
22001,22,425120,0,0,1,LA
22001,22,44----,2511,59205,188,LA
22001,22,441110,0,0,1,LA
22001,22,441222,0,0,1,LA
22001,22,441228,0,0,1,LA
22001,22,441310,89,1840,12,LA
22001,22,441320,37,841,5,LA
22001,22,442110,0,0,1,LA
22001,22,442210,23,521,5,LA
22001,22,443141,0,0,1,LA
22001,22,443142,37,924,5,LA
22001,22,444110,0,0,2,LA
22001,22,444120,0,0,1,LA
22001,22,444130,0,0,2,LA
22001,22,444190,104,3405,7,LA
22001,22,444210,0,0,1,LA
22001,22,444220,27,438,4,LA
22001,22,445110,440,7964,19,LA
22001,22,445120,27,312,10,LA
22001,22,445210,12,364,5,LA
22001,22,445220,0,0,2,LA
22001,22,446110,331,11267,13,LA
22001,22,446120,0,0,1,LA
22001,22,446191,0,0,2,LA
22001,22,446199,0,0,1,LA
22001,22,447110,231,4260,31,LA
22001,22,447190,322,6596,8,LA
22001,22,448120,10,100,3,LA
22001,22,448140,29,393,3,LA
22001,22,448150,0,0,1,LA
22001,22,448190,0,0,1,LA
22001,22,448210,0,0,1,LA
22001,22,448310,0,0,2,LA
22001,22,451140,0,0,2,LA
22001,22,452910,0,0,1,LA
22001,22,452990,116,2255,18,LA
22001,22,453110,5,50,4,LA
22001,22,453210,0,0,1,LA
22001,22,453220,0,0,2,LA
22001,22,453310,0,0,2,LA
22001,22,453991,0,0,2,LA
22001,22,453998,0,0,2,LA
22001,22,454390,0,0,2,LA
22001,22,48----,300,11886,48,LA
22001,22,484110,13,443,11,LA
22001,22,484121,90,3018,6,LA
22001,22,484220,33,825,13,LA
22001,22,484230,42,2667,4,LA
22001,22,485410,0,0,1,LA
22001,22,485991,0,0,2,LA
22001,22,486110,0,0,1,LA
22001,22,486210,0,0,3,LA
22001,22,488410,0,0,2,LA
22001,22,488510,0,0,2,LA
22001,22,493130,13,634,3,LA
22001,22,51----,114,4262,16,LA
22001,22,511110,0,0,4,LA
22001,22,511140,0,0,1,LA
22001,22,512131,0,0,1,LA
22001,22,515112,0,0,2,LA
22001,22,517110,21,1476,4,LA
22001,22,517210,0,0,3,LA
22001,22,519190,0,0,1,LA
22001,22,52----,424,17651,76,LA
22001,22,522110,247,11239,19,LA
22001,22,522120,0,0,2,LA
22001,22,522130,0,0,2,LA
22001,22,522291,35,958,15,LA
22001,22,522292,0,0,2,LA
22001,22,522298,0,0,1,LA
22001,22,522390,14,353,8,LA
22001,22,523120,0,0,4,LA
22001,22,523910,0,0,1,LA
22001,22,523920,0,0,1,LA
22001,22,523930,0,0,2,LA
22001,22,524210,73,2323,18,LA
22001,22,524298,0,0,1,LA
22001,22,53----,254,11825,36,LA
22001,22,531110,0,0,6,LA
22001,22,531120,0,0,2,LA
22001,22,531130,0,0,2,LA
22001,22,531190,0,0,2,LA
22001,22,531210,0,0,2,LA
22001,22,531311,14,453,6,LA
22001,22,531312,0,0,3,LA
22001,22,531320,4,77,3,LA
22001,22,531390,0,0,1,LA
22001,22,532210,15,449,3,LA
22001,22,532299,0,0,1,LA
22001,22,532412,133,7658,5,LA
22001,22,54----,354,12114,108,LA
22001,22,541110,47,1367,17,LA
22001,22,541191,0,0,2,LA
22001,22,541211,57,1875,16,LA
22001,22,541213,0,0,7,LA
22001,22,541214,0,0,1,LA
22001,22,541219,14,773,7,LA
22001,22,541310,0,0,2,LA
22001,22,541330,6,104,5,LA
22001,22,541340,0,0,1,LA
22001,22,541370,0,0,2,LA
22001,22,541490,0,0,1,LA
22001,22,541513,0,0,1,LA
22001,22,541611,27,2115,8,LA
22001,22,541612,0,0,2,LA
22001,22,541613,0,0,1,LA
22001,22,541614,0,0,1,LA
22001,22,541618,0,0,1,LA
22001,22,541620,6,237,7,LA
22001,22,541690,13,857,16,LA
22001,22,541921,0,0,2,LA
22001,22,541940,51,1666,5,LA
22001,22,541990,3,102,3,LA
22001,22,55----,0,0,5,LA
22001,22,551112,0,0,1,LA
22001,22,551114,0,0,4,LA
22001,22,56----,389,14607,37,LA
22001,22,561110,50,1566,5,LA
22001,22,561210,0,0,1,LA
22001,22,561320,0,0,3,LA
22001,22,561612,0,0,1,LA
22001,22,561710,36,1194,5,LA
22001,22,561720,0,0,2,LA
22001,22,561730,28,570,9,LA
22001,22,561790,0,0,2,LA
22001,22,561990,0,0,2,LA
22001,22,562111,145,7776,3,LA
22001,22,562119,0,0,2,LA
22001,22,562910,0,0,1,LA
22001,22,562991,0,0,1,LA
22001,22,61----,226,4807,10,LA
22001,22,611110,209,4512,6,LA
22001,22,611519,0,0,1,LA
22001,22,611610,0,0,2,LA
22001,22,611620,0,0,1,LA
22001,22,62----,2341,75377,123,LA
22001,22,621111,211,8159,31,LA
22001,22,621210,100,3194,17,LA
22001,22,621310,18,356,6,LA
22001,22,621320,10,354,3,LA
22001,22,621330,0,0,2,LA
22001,22,621340,47,2136,9,LA
22001,22,621399,9,411,3,LA
22001,22,621420,0,0,3,LA
22001,22,621491,0,0,1,LA
22001,22,621492,0,0,4,LA
22001,22,621498,0,0,1,LA
22001,22,621511,38,1605,4,LA
22001,22,621512,0,0,2,LA
22001,22,621610,51,2003,3,LA
22001,22,621999,0,0,1,LA
22001,22,622110,0,0,3,LA
22001,22,622210,0,0,1,LA
22001,22,623110,638,15511,7,LA
22001,22,623210,0,0,4,LA
22001,22,623220,0,0,1,LA
22001,22,624110,0,0,1,LA
22001,22,624120,244,2999,3,LA
22001,22,624190,0,0,2,LA
22001,22,624229,0,0,1,LA
22001,22,624230,0,0,1,LA
22001,22,624310,0,0,1,LA
22001,22,624410,44,648,8,LA
22001,22,71----,91,1103,16,LA
22001,22,711320,0,0,1,LA
22001,22,711510,0,0,1,LA
22001,22,713290,24,376,3,LA
22001,22,713910,0,0,1,LA
22001,22,713940,61,547,10,LA
22001,22,72----,1252,16835,78,LA
22001,22,721110,50,597,6,LA
22001,22,721211,0,0,2,LA
22001,22,721310,0,0,1,LA
22001,22,722310,90,1876,7,LA
22001,22,722320,0,0,1,LA
22001,22,722511,385,5291,21,LA
22001,22,722513,661,8036,32,LA
22001,22,722514,0,0,3,LA
22001,22,722515,12,118,5,LA
22001,22,81----,568,10315,98,LA
22001,22,811111,27,860,8,LA
22001,22,811112,0,0,1,LA
22001,22,811118,0,0,1,LA
22001,22,811121,23,696,7,LA
22001,22,811191,0,0,2,LA
22001,22,811192,10,215,3,LA
22001,22,811198,0,0,1,LA
22001,22,811310,36,1409,12,LA
22001,22,811412,0,0,2,LA
22001,22,812112,0,0,2,LA
22001,22,812113,0,0,1,LA
22001,22,812210,38,940,5,LA
22001,22,812320,10,133,3,LA
22001,22,812332,0,0,1,LA
22001,22,812910,0,0,2,LA
22001,22,813110,313,4827,41,LA
22001,22,813319,0,0,1,LA
22001,22,813410,0,0,1,LA
22001,22,813910,20,299,3,LA
22001,22,813940,0,0,1,LA
22003,22,------,3390,110889,309,LA
22003,22,11----,41,1784,4,LA
22003,22,113310,0,0,2,LA
22003,22,115310,0,0,2,LA
22003,22,21----,0,0,2,LA
22003,22,212321,0,0,2,LA
22003,22,22----,11,709,3,LA
22003,22,221112,0,0,1,LA
22003,22,221310,0,0,2,LA
22003,22,23----,55,1642,13,LA
22003,22,236117,0,0,1,LA
22003,22,236118,0,0,1,LA
22003,22,236220,0,0,1,LA
22003,22,238110,0,0,1,LA
22003,22,238210,0,0,1,LA
22003,22,238220,0,0,2,LA
22003,22,238290,0,0,1,LA
22003,22,238910,14,540,4,LA
22003,22,238990,0,0,1,LA
22003,22,31----,575,34220,8,LA
22003,22,311999,0,0,1,LA
22003,22,321113,0,0,1,LA
22003,22,321212,0,0,1,LA
22003,22,321219,0,0,1,LA
22003,22,327320,0,0,2,LA
22003,22,332999,0,0,1,LA
22003,22,339116,0,0,1,LA
22003,22,42----,38,892,8,LA
22003,22,423110,0,0,2,LA
22003,22,423210,0,0,1,LA
22003,22,423450,0,0,1,LA
22003,22,423510,0,0,1,LA
22003,22,424420,0,0,1,LA
22003,22,425120,0,0,2,LA
22003,22,44----,645,14862,66,LA
22003,22,441110,35,1534,3,LA
22003,22,441120,0,0,2,LA
22003,22,441310,24,508,4,LA
22003,22,442110,0,0,2,LA
22003,22,443141,0,0,1,LA
22003,22,444110,0,0,1,LA
22003,22,444130,0,0,2,LA
22003,22,444190,0,0,2,LA
22003,22,444210,0,0,1,LA
22003,22,444220,0,0,2,LA
22003,22,445110,141,1807,4,LA
22003,22,445120,10,140,3,LA
22003,22,445291,0,0,1,LA
22003,22,445310,0,0,1,LA
22003,22,446110,29,1021,4,LA
22003,22,447110,52,971,11,LA
22003,22,447190,0,0,1,LA
22003,22,448120,0,0,2,LA
22003,22,448140,0,0,1,LA
22003,22,448310,0,0,1,LA
22003,22,451110,0,0,1,LA
22003,22,452910,0,0,1,LA
22003,22,452990,64,1085,10,LA
22003,22,453110,0,0,2,LA
22003,22,453220,0,0,1,LA
22003,22,453998,0,0,1,LA
22003,22,454111,0,0,1,LA
22003,22,48----,150,4614,13,LA
22003,22,484110,16,430,4,LA
