fips,fipstate,naics,emp,ap,est,ABBR
25001,25,------,76683,3429556,8596,MA
25001,25,11----,95,4661,51,MA
25001,25,113310,0,0,1,MA
25001,25,114111,40,2065,14,MA
25001,25,114112,25,1503,24,MA
25001,25,114119,0,0,1,MA
25001,25,114210,0,0,1,MA
25001,25,115112,0,0,1,MA
25001,25,115116,0,0,1,MA
25001,25,115210,19,752,7,MA
25001,25,115310,0,0,1,MA
25001,25,21----,0,0,6,MA
25001,25,212319,0,0,2,MA
25001,25,212321,0,0,3,MA
25001,25,212322,0,0,1,MA
25001,25,22----,266,27807,9,MA
25001,25,221112,0,0,1,MA
25001,25,221118,0,0,1,MA
25001,25,221122,0,0,1,MA
25001,25,221210,0,0,3,MA
25001,25,221310,13,1209,3,MA
25001,25,23----,5426,319563,1192,MA
25001,25,236115,630,38184,110,MA
25001,25,236116,0,0,1,MA
25001,25,236117,70,6130,8,MA
25001,25,236118,1156,60019,301,MA
25001,25,236220,63,5265,10,MA
25001,25,237110,192,16366,15,MA
25001,25,237130,28,1439,5,MA
25001,25,237210,6,347,4,MA
25001,25,237310,146,14323,7,MA
25001,25,237990,50,6212,9,MA
25001,25,238110,58,2944,14,MA
25001,25,238120,0,0,1,MA
25001,25,238130,129,5712,33,MA
25001,25,238140,80,3685,33,MA
25001,25,238150,43,1830,6,MA
25001,25,238160,94,4191,16,MA
25001,25,238170,18,650,11,MA
25001,25,238190,8,662,6,MA
25001,25,238210,442,22789,131,MA
25001,25,238220,996,57772,165,MA
25001,25,238290,0,0,3,MA
25001,25,238310,188,9585,26,MA
25001,25,238320,184,7353,76,MA
25001,25,238330,100,3781,29,MA
25001,25,238340,30,1242,8,MA
25001,25,238350,107,6243,46,MA
25001,25,238390,46,1683,9,MA
25001,25,238910,357,25034,67,MA
25001,25,238990,169,11455,42,MA
25001,25,31----,1957,129146,189,MA
25001,25,311340,0,0,2,MA
25001,25,311352,59,1369,6,MA
25001,25,311710,0,0,1,MA
25001,25,311811,54,1067,5,MA
25001,25,311812,0,0,6,MA
25001,25,311919,0,0,1,MA
25001,25,312113,0,0,1,MA
25001,25,312120,0,0,2,MA
25001,25,312130,24,971,4,MA
25001,25,314110,0,0,1,MA
25001,25,314120,0,0,1,MA
25001,25,314910,14,481,5,MA
25001,25,314999,34,897,5,MA
25001,25,315210,9,408,3,MA
25001,25,315990,0,0,1,MA
25001,25,321114,0,0,1,MA
25001,25,321918,20,1160,7,MA
25001,25,321920,0,0,1,MA
25001,25,321999,19,625,6,MA
25001,25,322211,0,0,1,MA
25001,25,323111,43,1755,12,MA
25001,25,323113,13,345,3,MA
25001,25,323120,10,370,3,MA
25001,25,324110,0,0,1,MA
25001,25,324121,0,0,2,MA
25001,25,325314,0,0,2,MA
25001,25,325411,0,0,1,MA
25001,25,325414,0,0,1,MA
25001,25,325510,0,0,2,MA
25001,25,325611,0,0,2,MA
25001,25,325998,0,0,1,MA
25001,25,326130,0,0,1,MA
25001,25,326199,0,0,1,MA
25001,25,327110,0,0,1,MA
25001,25,327120,0,0,1,MA
25001,25,327212,0,0,2,MA
25001,25,327320,68,3974,3,MA
25001,25,327390,0,0,2,MA
25001,25,327991,0,0,1,MA
25001,25,332313,0,0,1,MA
25001,25,332321,0,0,1,MA
25001,25,332322,0,0,1,MA
