fips,fipstate,naics,emp,ap,est,ABBR
24001,24,------,24654,860159,1542,MD
24001,24,11----,0,0,1,MD
24001,24,113310,0,0,1,MD
24001,24,21----,85,4467,5,MD
24001,24,212111,0,0,2,MD
24001,24,212113,0,0,1,MD
24001,24,212312,0,0,1,MD
24001,24,213113,0,0,1,MD
24001,24,22----,148,13176,6,MD
24001,24,221112,0,0,1,MD
24001,24,221122,0,0,2,MD
24001,24,221210,0,0,3,MD
24001,24,23----,821,40320,96,MD
24001,24,236115,15,505,5,MD
24001,24,236116,0,0,1,MD
24001,24,236117,0,0,2,MD
24001,24,236118,75,2122,19,MD
24001,24,236220,165,12134,8,MD
24001,24,237310,0,0,3,MD
24001,24,238110,0,0,1,MD
24001,24,238140,0,0,2,MD
24001,24,238150,0,0,1,MD
24001,24,238160,60,2807,5,MD
24001,24,238170,0,0,1,MD
24001,24,238210,73,2678,13,MD
24001,24,238220,298,13285,18,MD
24001,24,238320,3,135,3,MD
24001,24,238330,0,0,1,MD
24001,24,238350,0,0,2,MD
24001,24,238910,37,1870,7,MD
24001,24,238990,12,482,4,MD
24001,24,31----,2369,125553,48,MD
24001,24,311224,0,0,1,MD
24001,24,311352,0,0,1,MD
24001,24,311511,0,0,1,MD
24001,24,311611,0,0,1,MD
24001,24,311811,0,0,1,MD
24001,24,311812,15,280,3,MD
24001,24,312130,0,0,1,MD
24001,24,314999,0,0,1,MD
24001,24,316998,0,0,1,MD
24001,24,321920,0,0,2,MD
24001,24,322121,0,0,1,MD
24001,24,323111,12,339,4,MD
24001,24,323113,0,0,1,MD
24001,24,324121,0,0,2,MD
24001,24,325211,0,0,1,MD
24001,24,326199,0,0,2,MD
24001,24,327120,0,0,2,MD
24001,24,327215,0,0,1,MD
24001,24,327390,0,0,2,MD
24001,24,327991,0,0,1,MD
24001,24,332114,0,0,1,MD
24001,24,332710,0,0,3,MD
24001,24,333111,0,0,1,MD
24001,24,333618,0,0,1,MD
24001,24,333999,0,0,1,MD
24001,24,336390,0,0,1,MD
24001,24,337110,0,0,3,MD
24001,24,337920,0,0,1,MD
24001,24,339113,0,0,1,MD
24001,24,339116,0,0,2,MD
24001,24,339910,0,0,1,MD
24001,24,339950,0,0,2,MD
24001,24,42----,621,26691,55,MD
24001,24,423120,25,623,3,MD
24001,24,423130,0,0,1,MD
24001,24,423330,0,0,1,MD
24001,24,423420,0,0,2,MD
24001,24,423450,0,0,2,MD
24001,24,423490,0,0,1,MD
24001,24,423510,0,0,1,MD
24001,24,423520,0,0,1,MD
24001,24,423610,21,1456,3,MD
24001,24,423710,0,0,1,MD
24001,24,423720,0,0,1,MD
24001,24,423730,0,0,2,MD
24001,24,423810,0,0,1,MD
24001,24,423830,0,0,2,MD
24001,24,423840,0,0,2,MD
24001,24,423910,0,0,1,MD
24001,24,423920,0,0,1,MD
24001,24,423930,0,0,1,MD
24001,24,423990,0,0,2,MD
24001,24,424120,0,0,2,MD
24001,24,424130,0,0,2,MD
24001,24,424210,0,0,1,MD
24001,24,424330,0,0,1,MD
24001,24,424420,0,0,1,MD
24001,24,424450,0,0,2,MD
24001,24,424470,0,0,1,MD
24001,24,424490,108,3779,5,MD
24001,24,424690,44,2379,3,MD
24001,24,424710,0,0,2,MD
24001,24,424810,0,0,1,MD
24001,24,424820,0,0,1,MD
24001,24,424910,0,0,1,MD
24001,24,424920,0,0,1,MD
24001,24,424940,0,0,1,MD
24001,24,424990,0,0,1,MD
24001,24,44----,3922,91232,266,MD
24001,24,441110,222,8935,7,MD
24001,24,441120,65,2893,6,MD
24001,24,441228,0,0,2,MD
24001,24,441310,127,2348,12,MD
24001,24,441320,50,1868,8,MD
24001,24,442110,60,1740,9,MD
24001,24,442210,18,509,3,MD
24001,24,442291,0,0,1,MD
24001,24,442299,0,0,2,MD
24001,24,443142,43,689,7,MD
24001,24,444110,0,0,2,MD
24001,24,444120,0,0,2,MD
24001,24,444130,49,933,6,MD
24001,24,444190,42,1665,4,MD
24001,24,444210,0,0,1,MD
24001,24,444220,0,0,1,MD
24001,24,445110,568,10817,13,MD
24001,24,445120,38,625,5,MD
