fips,fipstate,naics,emp,ap,est,ABBR
23001,23,------,46326,1804139,2746,ME
23001,23,11----,50,2020,14,ME
23001,23,113310,37,1766,9,ME
23001,23,115210,11,113,4,ME
23001,23,115310,0,0,1,ME
23001,23,21----,0,0,2,ME
23001,23,212311,0,0,1,ME
23001,23,212313,0,0,1,ME
23001,23,22----,128,10007,10,ME
23001,23,221111,0,0,7,ME
23001,23,221118,0,0,1,ME
23001,23,221122,0,0,2,ME
23001,23,23----,2154,109128,357,ME
23001,23,236115,53,1704,20,ME
23001,23,236117,0,0,4,ME
23001,23,236118,102,3127,42,ME
23001,23,236210,0,0,2,ME
23001,23,236220,95,4477,10,ME
23001,23,237110,168,8232,9,ME
23001,23,237120,21,3319,4,ME
23001,23,237130,0,0,2,ME
23001,23,237210,0,0,1,ME
23001,23,237310,21,3275,5,ME
23001,23,237990,5,95,3,ME
23001,23,238110,16,438,6,ME
23001,23,238120,0,0,1,ME
23001,23,238130,3,171,4,ME
23001,23,238140,57,3988,13,ME
23001,23,238160,162,8298,14,ME
23001,23,238170,0,0,4,ME
23001,23,238190,0,0,3,ME
23001,23,238210,319,15906,40,ME
23001,23,238220,382,19297,60,ME
23001,23,238290,0,0,1,ME
23001,23,238310,117,5109,10,ME
23001,23,238320,40,1334,14,ME
23001,23,238330,18,522,10,ME
23001,23,238340,3,116,4,ME
23001,23,238350,37,1382,12,ME
23001,23,238390,35,1854,5,ME
23001,23,238910,224,12300,36,ME
23001,23,238990,66,4666,18,ME
23001,23,31----,5974,262733,150,ME
23001,23,311213,0,0,1,ME
23001,23,311340,0,0,1,ME
23001,23,311611,0,0,2,ME
23001,23,311612,0,0,2,ME
23001,23,311710,0,0,2,ME
23001,23,311811,0,0,2,ME
23001,23,311812,0,0,4,ME
23001,23,311824,0,0,2,ME
23001,23,311941,0,0,1,ME
23001,23,312112,0,0,1,ME
23001,23,312120,0,0,1,ME
23001,23,312140,0,0,2,ME
23001,23,313110,0,0,1,ME
23001,23,313210,99,4061,5,ME
23001,23,313230,0,0,1,ME
23001,23,314110,0,0,1,ME
23001,23,314120,0,0,2,ME
23001,23,314910,14,562,3,ME
23001,23,316210,0,0,3,ME
23001,23,316998,0,0,1,ME
23001,23,321113,13,490,3,ME
23001,23,321114,0,0,1,ME
23001,23,321911,0,0,1,ME
23001,23,321912,0,0,2,ME
23001,23,321918,0,0,2,ME
23001,23,321920,281,6800,4,ME
23001,23,321999,0,0,2,ME
23001,23,322110,0,0,1,ME
23001,23,322211,0,0,2,ME
23001,23,322220,0,0,1,ME
23001,23,322291,0,0,1,ME
23001,23,323111,0,0,6,ME
23001,23,323113,32,860,6,ME
23001,23,323117,0,0,1,ME
23001,23,324121,0,0,2,ME
23001,23,325211,0,0,1,ME
23001,23,325314,0,0,1,ME
23001,23,325991,0,0,1,ME
23001,23,326113,0,0,1,ME
23001,23,326130,0,0,1,ME
23001,23,326160,0,0,1,ME
23001,23,326199,109,2965,3,ME
23001,23,326212,0,0,1,ME
23001,23,326299,0,0,1,ME
23001,23,327120,0,0,1,ME
23001,23,327320,0,0,2,ME
23001,23,327390,0,0,2,ME
23001,23,327991,0,0,1,ME
23001,23,327993,0,0,1,ME
23001,23,331491,0,0,1,ME
23001,23,331511,0,0,2,ME
23001,23,332119,0,0,1,ME
23001,23,332312,0,0,1,ME
23001,23,332322,155,8123,4,ME
23001,23,332323,0,0,1,ME
23001,23,332710,63,2940,10,ME
23001,23,332721,0,0,1,ME
23001,23,332999,0,0,2,ME
