fips,fipstate,naics,emp,ap,est,ABBR
26001,26,------,1197,38569,170,MI
26001,26,11----,48,2005,8,MI
26001,26,113310,48,2005,8,MI
26001,26,21----,0,0,1,MI
26001,26,211111,0,0,1,MI
26001,26,22----,0,0,1,MI
26001,26,221118,0,0,1,MI
26001,26,23----,53,1917,23,MI
26001,26,236115,11,443,5,MI
26001,26,236118,0,0,1,MI
26001,26,237110,0,0,1,MI
26001,26,237990,0,0,1,MI
26001,26,238140,0,0,2,MI
26001,26,238210,0,0,2,MI
26001,26,238220,6,204,3,MI
26001,26,238290,0,0,1,MI
26001,26,238320,0,0,1,MI
26001,26,238910,5,310,6,MI
26001,26,31----,200,9519,17,MI
26001,26,311812,0,0,1,MI
26001,26,321113,0,0,2,MI
26001,26,321999,0,0,1,MI
26001,26,332710,0,0,2,MI
26001,26,332919,0,0,1,MI
26001,26,333511,0,0,1,MI
26001,26,333514,0,0,3,MI
26001,26,333515,73,3118,5,MI
26001,26,339999,0,0,1,MI
26001,26,42----,0,0,4,MI
26001,26,423830,0,0,1,MI
26001,26,423940,0,0,2,MI
26001,26,425120,0,0,1,MI
26001,26,44----,282,6120,31,MI
26001,26,441110,0,0,1,MI
26001,26,441120,0,0,1,MI
26001,26,441222,0,292,3,MI
26001,26,443141,0,0,1,MI
26001,26,443142,0,0,1,MI
26001,26,444130,0,0,2,MI
26001,26,444190,0,0,2,MI
26001,26,444220,0,0,1,MI
26001,26,445110,0,0,3,MI
26001,26,446110,0,0,1,MI
26001,26,447110,67,1182,6,MI
26001,26,451110,0,0,3,MI
26001,26,452990,0,0,1,MI
26001,26,453220,0,0,2,MI
26001,26,453310,0,0,1,MI
26001,26,453998,0,0,1,MI
26001,26,454111,0,0,1,MI
26001,26,48----,0,0,1,MI
26001,26,484121,0,0,1,MI
26001,26,51----,0,0,1,MI
26001,26,511110,0,0,1,MI
26001,26,52----,34,956,11,MI
26001,26,522110,0,0,2,MI
26001,26,522130,0,0,3,MI
26001,26,524210,10,304,5,MI
26001,26,524298,0,0,1,MI
26001,26,53----,5,257,4,MI
26001,26,531110,0,0,1,MI
26001,26,531210,0,0,1,MI
26001,26,531390,0,0,1,MI
26001,26,532292,0,0,1,MI
26001,26,54----,52,2121,11,MI
26001,26,541110,0,0,1,MI
26001,26,541330,0,0,2,MI
26001,26,541350,0,0,1,MI
26001,26,541370,0,0,1,MI
26001,26,541512,0,0,1,MI
26001,26,541611,0,0,2,MI
26001,26,541618,0,0,1,MI
26001,26,541690,0,0,1,MI
26001,26,541940,0,0,1,MI
26001,26,56----,91,3214,10,MI
26001,26,561110,0,0,1,MI
26001,26,561421,0,0,1,MI
26001,26,561492,0,0,1,MI
26001,26,561720,7,54,3,MI
26001,26,561730,6,252,3,MI
26001,26,561790,0,0,1,MI
26001,26,62----,200,7025,9,MI
26001,26,621111,0,0,2,MI
26001,26,621210,0,0,1,MI
26001,26,621310,0,0,1,MI
26001,26,621498,0,0,1,MI
26001,26,621610,0,0,1,MI
26001,26,623110,0,0,2,MI
26001,26,624120,0,0,1,MI
26001,26,71----,55,1325,5,MI
26001,26,713910,36,1274,4,MI
26001,26,713950,0,0,1,MI
26001,26,72----,88,1300,17,MI
26001,26,722511,67,943,10,MI
26001,26,722513,21,349,6,MI
26001,26,722515,0,0,1,MI
26001,26,81----,49,581,16,MI
26001,26,811111,0,0,1,MI
26001,26,811310,0,0,1,MI
26001,26,812210,0,0,1,MI
26001,26,813110,30,200,9,MI
26001,26,813312,0,0,2,MI
26001,26,813410,0,0,1,MI
26001,26,813920,0,0,1,MI
26003,26,------,1672,68485,230,MI
26003,26,11----,38,1992,8,MI
26003,26,113310,12,419,5,MI
26003,26,114112,0,0,1,MI
26003,26,115310,0,0,2,MI
26003,26,22----,0,0,2,MI
26003,26,221111,0,0,1,MI
26003,26,221122,0,0,1,MI
26003,26,23----,89,3771,28,MI
26003,26,236115,0,0,1,MI
26003,26,236116,0,0,1,MI
26003,26,236118,35,1470,10,MI
26003,26,236220,0,0,1,MI
26003,26,237990,0,0,1,MI
26003,26,238130,0,0,1,MI
26003,26,238140,0,0,2,MI
26003,26,238210,0,0,2,MI
26003,26,238310,0,0,2,MI
26003,26,238320,0,0,1,MI
26003,26,238330,0,0,1,MI
26003,26,238350,0,0,1,MI
26003,26,238390,0,0,1,MI
26003,26,238910,15,614,3,MI
26003,26,31----,512,30061,9,MI
26003,26,311812,0,0,1,MI
26003,26,321113,0,0,2,MI
26003,26,321211,0,0,1,MI
26003,26,321212,0,0,1,MI
26003,26,321992,0,0,1,MI
26003,26,322121,0,0,1,MI
26003,26,327320,0,0,1,MI
26003,26,332710,0,0,1,MI
26003,26,42----,0,0,3,MI
26003,26,423990,0,0,1,MI
26003,26,424990,0,0,1,MI
26003,26,425120,0,0,1,MI
26003,26,44----,273,6330,40,MI
26003,26,441228,0,0,1,MI
26003,26,441310,0,0,2,MI
26003,26,444130,0,0,2,MI
26003,26,444190,0,0,1,MI
26003,26,444220,0,0,1,MI
26003,26,445110,104,2249,6,MI
