fips,fipstate,naics,emp,ap,est,ABBR
27001,27,------,3180,103442,400,MN
27001,27,11----,19,731,5,MN
27001,27,113310,19,731,5,MN
27001,27,21----,0,0,2,MN
27001,27,212321,0,0,1,MN
27001,27,212399,0,0,1,MN
27001,27,22----,0,0,1,MN
27001,27,221122,0,0,1,MN
27001,27,23----,134,6994,61,MN
27001,27,236115,0,0,2,MN
27001,27,236117,0,0,1,MN
27001,27,236118,6,148,4,MN
27001,27,236220,1,117,3,MN
27001,27,237110,0,0,3,MN
27001,27,237130,0,0,1,MN
27001,27,237210,0,0,1,MN
27001,27,237990,0,0,1,MN
27001,27,238110,0,0,1,MN
27001,27,238130,0,0,2,MN
27001,27,238140,0,342,5,MN
27001,27,238150,0,0,1,MN
27001,27,238190,0,0,1,MN
27001,27,238210,21,770,4,MN
27001,27,238220,62,2577,12,MN
27001,27,238320,0,0,2,MN
27001,27,238340,0,0,1,MN
27001,27,238350,0,0,1,MN
27001,27,238390,0,0,1,MN
27001,27,238910,14,1326,9,MN
27001,27,238990,8,352,5,MN
27001,27,31----,397,16274,27,MN
27001,27,311212,0,0,1,MN
27001,27,311421,0,0,1,MN
27001,27,321113,0,0,2,MN
27001,27,321918,0,0,1,MN
27001,27,321920,0,0,1,MN
27001,27,323111,0,0,2,MN
27001,27,326291,0,0,1,MN
27001,27,327320,0,0,1,MN
27001,27,332710,28,1466,4,MN
27001,27,332999,0,0,1,MN
27001,27,333120,0,0,1,MN
27001,27,333415,0,0,1,MN
27001,27,333924,0,0,1,MN
27001,27,336214,0,0,1,MN
27001,27,336612,0,0,1,MN
27001,27,337110,0,0,2,MN
27001,27,339920,0,0,1,MN
27001,27,339950,0,0,1,MN
27001,27,339999,9,222,3,MN
27001,27,42----,131,5031,10,MN
27001,27,423310,0,0,2,MN
27001,27,423520,0,0,1,MN
27001,27,423810,0,0,1,MN
27001,27,423910,0,0,1,MN
27001,27,424430,0,0,1,MN
27001,27,424490,0,0,1,MN
27001,27,424710,0,0,1,MN
27001,27,424910,0,0,1,MN
27001,27,424920,0,0,1,MN
27001,27,44----,610,13091,69,MN
27001,27,441110,0,0,1,MN
27001,27,441222,0,0,3,MN
27001,27,441228,3,65,3,MN
27001,27,441310,21,475,4,MN
27001,27,441320,0,0,1,MN
27001,27,444110,0,0,1,MN
27001,27,444130,0,0,2,MN
27001,27,444190,0,0,1,MN
27001,27,444210,0,0,1,MN
27001,27,445110,0,0,4,MN
27001,27,445210,0,0,1,MN
27001,27,445291,0,0,1,MN
27001,27,445310,21,174,5,MN
27001,27,446110,0,0,3,MN
27001,27,446199,0,0,1,MN
27001,27,447110,150,2535,17,MN
27001,27,447190,0,0,2,MN
27001,27,448110,0,0,1,MN
27001,27,448140,0,0,1,MN
27001,27,451110,0,0,1,MN
27001,27,451130,0,0,2,MN
27001,27,452990,42,980,3,MN
27001,27,453110,0,0,1,MN
27001,27,453210,0,0,1,MN
27001,27,453220,0,0,2,MN
27001,27,453910,0,0,1,MN
27001,27,454111,0,0,2,MN
27001,27,454310,0,0,2,MN
