fips,fipstate,naics,emp,ap,est,ABBR
29001,29,------,7929,252012,630,MO
29001,29,21----,0,0,1,MO
29001,29,211112,0,0,1,MO
29001,29,22----,0,0,2,MO
29001,29,221122,0,0,1,MO
29001,29,221210,0,0,1,MO
29001,29,23----,200,8610,54,MO
29001,29,236115,15,448,5,MO
29001,29,236116,0,0,1,MO
29001,29,236117,0,0,1,MO
29001,29,236118,28,571,7,MO
29001,29,236220,27,1543,5,MO
29001,29,237110,0,0,2,MO
29001,29,237130,0,0,1,MO
29001,29,237310,0,0,3,MO
29001,29,238110,0,0,2,MO
29001,29,238130,0,0,1,MO
29001,29,238140,0,0,2,MO
29001,29,238170,0,0,2,MO
29001,29,238210,20,944,5,MO
29001,29,238220,44,1698,9,MO
29001,29,238310,0,0,1,MO
29001,29,238320,0,0,1,MO
29001,29,238350,0,0,1,MO
29001,29,238910,2,72,3,MO
29001,29,238990,0,0,2,MO
29001,29,31----,586,40388,11,MO
29001,29,311119,0,0,1,MO
29001,29,311612,0,0,1,MO
29001,29,323111,0,0,1,MO
29001,29,327320,0,0,1,MO
29001,29,327390,0,0,1,MO
29001,29,331222,0,0,1,MO
29001,29,332618,0,0,1,MO
29001,29,332710,0,0,1,MO
29001,29,336320,0,0,1,MO
29001,29,336390,0,0,1,MO
29001,29,339112,0,0,1,MO
29001,29,42----,181,4920,18,MO
29001,29,423610,0,0,1,MO
29001,29,423720,0,0,1,MO
29001,29,423740,0,0,1,MO
29001,29,423820,0,0,1,MO
29001,29,423830,0,0,1,MO
29001,29,423930,0,0,2,MO
29001,29,424120,0,0,1,MO
29001,29,424450,0,0,1,MO
29001,29,424490,0,0,1,MO
29001,29,424520,0,0,2,MO
29001,29,424810,0,0,2,MO
29001,29,424910,0,0,1,MO
29001,29,424940,0,0,1,MO
29001,29,424990,0,0,1,MO
29001,29,425120,0,0,1,MO
29001,29,44----,1485,31974,107,MO
29001,29,441110,34,972,3,MO
29001,29,441120,11,215,3,MO
29001,29,441222,0,0,1,MO
29001,29,441228,13,282,3,MO
29001,29,441310,37,761,3,MO
29001,29,441320,40,974,4,MO
29001,29,442110,0,0,2,MO
29001,29,442210,13,412,3,MO
29001,29,443141,0,0,2,MO
29001,29,443142,14,309,3,MO
29001,29,444110,0,0,1,MO
29001,29,444120,0,0,1,MO
29001,29,444130,40,920,3,MO
29001,29,444190,35,1002,4,MO
29001,29,444220,42,947,4,MO
29001,29,445110,0,0,3,MO
29001,29,445120,0,0,2,MO
29001,29,445210,0,0,1,MO
29001,29,445310,0,0,2,MO
29001,29,446110,62,2102,4,MO
29001,29,446191,0,0,1,MO
29001,29,446199,0,0,1,MO
29001,29,447110,114,1662,11,MO
29001,29,448120,13,158,3,MO
29001,29,448140,70,681,5,MO
29001,29,448150,0,0,1,MO
29001,29,448190,11,91,3,MO
29001,29,448210,23,277,5,MO
29001,29,448310,0,0,1,MO
29001,29,451110,0,0,1,MO
29001,29,451211,28,348,5,MO
29001,29,452910,0,0,1,MO
29001,29,452990,0,0,3,MO
29001,29,453110,0,0,2,MO
