fips,fipstate,naics,emp,ap,est,ABBR
28001,28,------,10047,332498,795,MS
28001,28,11----,35,1692,6,MS
28001,28,113310,31,976,4,MS
28001,28,114210,0,0,1,MS
28001,28,115112,0,0,1,MS
28001,28,21----,222,30039,32,MS
28001,28,211111,54,23180,13,MS
28001,28,212321,0,0,1,MS
28001,28,213111,107,4372,6,MS
28001,28,213112,45,1938,12,MS
28001,28,22----,40,2397,5,MS
28001,28,221122,0,0,1,MS
28001,28,221210,0,0,1,MS
28001,28,221310,18,769,3,MS
28001,28,23----,322,14265,44,MS
28001,28,236115,14,276,5,MS
28001,28,236118,13,598,7,MS
28001,28,236220,0,0,2,MS
28001,28,237110,0,0,1,MS
28001,28,237120,0,0,2,MS
28001,28,237310,0,0,2,MS
28001,28,238110,0,0,2,MS
28001,28,238140,0,0,2,MS
28001,28,238150,0,0,2,MS
28001,28,238210,35,1077,3,MS
28001,28,238220,67,3312,10,MS
28001,28,238320,7,221,4,MS
28001,28,238350,0,0,2,MS
28001,28,31----,529,24436,20,MS
28001,28,311813,0,0,1,MS
28001,28,312113,0,0,1,MS
28001,28,313310,0,0,1,MS
28001,28,321113,145,5091,4,MS
28001,28,322291,0,0,1,MS
28001,28,323113,0,0,1,MS
28001,28,324121,0,0,1,MS
28001,28,324191,0,0,1,MS
28001,28,325199,0,0,1,MS
28001,28,325613,0,0,1,MS
28001,28,327320,0,0,2,MS
28001,28,332114,0,0,1,MS
28001,28,332710,0,0,1,MS
28001,28,333132,0,0,1,MS
28001,28,336390,0,0,1,MS
28001,28,339950,0,0,1,MS
28001,28,42----,368,15770,41,MS
28001,28,423110,0,0,1,MS
28001,28,423140,0,0,1,MS
28001,28,423320,0,0,1,MS
28001,28,423420,0,0,1,MS
28001,28,423510,0,0,1,MS
28001,28,423610,0,0,1,MS
28001,28,423730,0,0,2,MS
28001,28,423810,0,0,2,MS
28001,28,423820,0,0,1,MS
28001,28,423830,24,986,6,MS
28001,28,423840,0,0,1,MS
28001,28,423930,0,0,1,MS
28001,28,423990,22,1021,4,MS
28001,28,424120,0,0,1,MS
28001,28,424210,0,0,1,MS
28001,28,424430,0,0,1,MS
28001,28,424470,0,0,1,MS
28001,28,424490,0,0,2,MS
28001,28,424690,0,0,4,MS
28001,28,424710,0,0,1,MS
28001,28,424810,0,0,2,MS
28001,28,424940,0,0,1,MS
28001,28,424990,0,0,2,MS
28001,28,425120,0,0,2,MS
28001,28,44----,2208,52551,154,MS
28001,28,441110,203,9196,7,MS
28001,28,441120,27,571,4,MS
28001,28,441228,0,0,2,MS
28001,28,441310,46,1148,6,MS
28001,28,441320,46,1248,5,MS
28001,28,442110,29,648,5,MS
28001,28,442299,12,273,4,MS
28001,28,443141,0,0,1,MS
