fips,fipstate,naics,emp,ap,est,ABBR
30001,30,------,2532,76825,384,MT
30001,30,11----,5,185,6,MT
30001,30,113310,0,0,2,MT
30001,30,115112,0,0,2,MT
30001,30,115113,0,0,1,MT
30001,30,115310,0,0,1,MT
30001,30,21----,0,0,3,MT
30001,30,212399,0,0,1,MT
30001,30,213112,0,0,1,MT
30001,30,213114,0,0,1,MT
30001,30,22----,0,0,3,MT
30001,30,221122,0,0,3,MT
30001,30,23----,196,6992,60,MT
30001,30,236115,15,334,7,MT
30001,30,236117,0,0,2,MT
30001,30,236118,25,655,11,MT
30001,30,236220,0,0,1,MT
30001,30,237110,0,0,2,MT
30001,30,237310,0,0,1,MT
30001,30,237990,0,0,2,MT
30001,30,238110,0,0,1,MT
30001,30,238120,0,0,1,MT
30001,30,238130,0,0,1,MT
30001,30,238210,22,808,7,MT
30001,30,238220,16,348,6,MT
30001,30,238310,10,174,3,MT
30001,30,238320,0,0,1,MT
30001,30,238340,0,0,1,MT
30001,30,238350,4,121,3,MT
30001,30,238910,0,0,3,MT
30001,30,238990,18,476,7,MT
30001,30,31----,58,1629,13,MT
30001,30,311119,0,0,1,MT
30001,30,311212,0,0,1,MT
30001,30,311611,0,0,1,MT
30001,30,311612,5,175,3,MT
30001,30,312120,0,0,1,MT
30001,30,321113,0,0,1,MT
30001,30,321214,0,0,1,MT
30001,30,321992,0,0,1,MT
30001,30,323111,0,0,1,MT
30001,30,327320,0,0,1,MT
30001,30,337122,0,0,1,MT
30001,30,42----,97,2749,13,MT
30001,30,423450,0,0,1,MT
30001,30,423820,23,868,3,MT
30001,30,423930,0,0,1,MT
30001,30,424450,0,0,1,MT
30001,30,424510,0,0,1,MT
30001,30,424520,0,0,1,MT
30001,30,424590,0,0,1,MT
30001,30,424910,0,0,3,MT
30001,30,425120,0,0,1,MT
30001,30,44----,552,11352,45,MT
30001,30,441110,0,0,1,MT
30001,30,441210,0,0,1,MT
30001,30,441310,19,419,3,MT
30001,30,441320,0,0,2,MT
30001,30,443142,0,0,1,MT
30001,30,444190,0,0,3,MT
30001,30,444220,36,760,4,MT
30001,30,445110,0,0,3,MT
30001,30,445310,0,0,1,MT
30001,30,446110,0,0,1,MT
30001,30,447110,67,1265,5,MT
30001,30,447190,0,0,1,MT
30001,30,448120,0,0,1,MT
30001,30,448140,0,0,2,MT
30001,30,448190,0,0,1,MT
30001,30,448310,0,0,1,MT
30001,30,451110,8,215,3,MT
30001,30,451211,0,0,2,MT
30001,30,452990,45,492,3,MT
30001,30,453110,0,0,1,MT
30001,30,453220,0,0,1,MT
30001,30,453920,0,0,1,MT
30001,30,453991,0,0,1,MT
30001,30,454310,0,0,2,MT
30001,30,48----,12,542,6,MT
30001,30,484110,0,0,2,MT
30001,30,484121,0,0,1,MT
30001,30,484220,3,161,3,MT
30001,30,51----,46,1719,8,MT
30001,30,511110,0,0,1,MT
30001,30,511210,0,0,1,MT
30001,30,512131,0,0,1,MT
30001,30,515112,0,0,1,MT
30001,30,517110,13,1174,3,MT
30001,30,517210,0,0,1,MT
30001,30,52----,99,5240,21,MT
30001,30,522110,40,1712,4,MT
30001,30,522120,0,0,1,MT
30001,30,522130,0,0,1,MT
30001,30,522298,0,0,1,MT
30001,30,523120,0,0,3,MT
30001,30,523920,0,0,1,MT
30001,30,524210,28,1420,10,MT
30001,30,53----,128,4843,18,MT
30001,30,531110,0,0,4,MT
30001,30,531120,2,14,3,MT
30001,30,531130,0,0,2,MT
30001,30,531210,8,252,4,MT
30001,30,531311,0,0,1,MT
30001,30,532230,0,0,1,MT
30001,30,532291,0,0,1,MT
30001,30,532490,0,0,1,MT
30001,30,533110,0,0,1,MT
30001,30,54----,114,6782,29,MT
30001,30,541110,23,592,9,MT
30001,30,541211,14,423,4,MT
30001,30,541213,0,0,1,MT
30001,30,541219,0,0,2,MT
30001,30,541330,0,0,1,MT
30001,30,541350,0,0,1,MT
30001,30,541370,0,0,2,MT
30001,30,541511,0,0,2,MT
30001,30,541512,0,0,1,MT
30001,30,541519,0,0,1,MT
30001,30,541620,0,0,2,MT
30001,30,541940,20,439,3,MT
