fips,fipstate,naics,emp,ap,est,ABBR
37001,37,------,59118,2308354,3215,NC
37001,37,11----,14,653,6,NC
37001,37,113310,14,604,4,NC
37001,37,115112,0,0,1,NC
37001,37,115210,0,0,1,NC
37001,37,21----,0,0,3,NC
37001,37,212313,0,0,2,NC
37001,37,212319,0,0,1,NC
37001,37,22----,98,8233,6,NC
37001,37,221111,0,0,1,NC
37001,37,221121,0,0,1,NC
37001,37,221122,0,0,2,NC
37001,37,221210,0,0,2,NC
37001,37,23----,3007,135784,310,NC
37001,37,236115,59,2977,20,NC
37001,37,236116,0,0,1,NC
37001,37,236117,20,1185,7,NC
37001,37,236118,44,1124,28,NC
37001,37,236210,0,0,2,NC
37001,37,236220,82,4464,18,NC
37001,37,237110,27,1106,5,NC
37001,37,237130,0,0,2,NC
37001,37,237210,22,605,3,NC
37001,37,237310,631,24856,8,NC
37001,37,238110,49,1906,12,NC
37001,37,238120,0,0,3,NC
37001,37,238130,8,103,5,NC
37001,37,238140,108,2952,8,NC
37001,37,238150,42,1536,4,NC
37001,37,238160,55,1991,12,NC
37001,37,238170,49,987,6,NC
37001,37,238190,0,0,1,NC
37001,37,238210,314,11676,40,NC
37001,37,238220,578,23745,57,NC
37001,37,238290,34,1831,6,NC
37001,37,238310,32,973,6,NC
37001,37,238320,117,3738,9,NC
37001,37,238330,33,1086,10,NC
37001,37,238340,5,235,5,NC
37001,37,238350,0,0,4,NC
37001,37,238390,0,0,2,NC
37001,37,238910,89,3542,18,NC
37001,37,238990,59,2647,8,NC
37001,37,31----,9922,445284,192,NC
37001,37,311211,0,0,1,NC
37001,37,311340,0,0,1,NC
37001,37,311412,0,0,1,NC
37001,37,311511,0,0,1,NC
37001,37,311513,0,0,2,NC
37001,37,311611,0,0,1,NC
37001,37,311612,0,0,1,NC
37001,37,311811,0,0,1,NC
37001,37,312120,0,0,1,NC
37001,37,312130,0,0,1,NC
37001,37,312230,0,0,1,NC
37001,37,313110,211,5420,3,NC
37001,37,313210,288,9835,4,NC
37001,37,313220,0,0,3,NC
37001,37,313230,0,0,1,NC
37001,37,313240,467,16091,7,NC
37001,37,313310,438,18762,5,NC
37001,37,313320,0,0,1,NC
37001,37,314120,0,0,2,NC
37001,37,314910,0,0,1,NC
37001,37,314999,82,3167,5,NC
37001,37,315110,1004,26485,16,NC
37001,37,315240,0,0,1,NC
37001,37,315280,0,0,1,NC
37001,37,315990,0,0,1,NC
37001,37,321113,0,0,3,NC
37001,37,321214,0,0,1,NC
37001,37,321912,0,0,2,NC
37001,37,322212,0,0,1,NC
37001,37,322219,0,0,2,NC
37001,37,322220,0,0,1,NC
37001,37,323111,236,12206,9,NC
37001,37,323113,23,771,4,NC
37001,37,323120,0,0,1,NC
37001,37,324121,0,0,1,NC
37001,37,325199,0,0,1,NC
37001,37,325211,0,0,1,NC
37001,37,325412,0,0,1,NC
37001,37,325413,0,0,2,NC
37001,37,325611,0,0,1,NC
37001,37,325613,0,0,2,NC
37001,37,325620,0,0,1,NC
37001,37,325992,0,0,1,NC
37001,37,325998,0,0,1,NC
37001,37,326150,0,0,1,NC
37001,37,326160,0,0,1,NC
37001,37,326199,802,45628,6,NC
37001,37,326220,0,0,1,NC
37001,37,326299,0,0,1,NC
37001,37,327120,0,0,1,NC
37001,37,327320,44,2139,5,NC
37001,37,331318,0,0,1,NC
37001,37,332312,0,0,2,NC
37001,37,332322,0,0,2,NC
37001,37,332323,34,1123,4,NC
37001,37,332410,0,0,2,NC
37001,37,332420,0,0,1,NC
37001,37,332710,67,2419,10,NC
37001,37,332721,105,3825,3,NC
37001,37,332812,146,6923,5,NC
37001,37,332813,0,0,1,NC
37001,37,332911,0,0,1,NC
37001,37,333112,0,0,1,NC
37001,37,333249,0,0,2,NC
37001,37,333514,0,0,1,NC
37001,37,333515,0,0,1,NC
37001,37,333517,0,0,1,NC
37001,37,333999,0,0,1,NC
37001,37,334418,0,0,1,NC
37001,37,335122,0,0,1,NC
37001,37,335314,0,0,1,NC
37001,37,336112,0,0,1,NC
37001,37,336214,0,0,2,NC
37001,37,336310,0,0,2,NC
37001,37,336350,0,0,1,NC
37001,37,336390,0,0,3,NC
37001,37,336412,0,0,1,NC
37001,37,337110,8,200,4,NC
37001,37,337211,0,0,2,NC
37001,37,337214,0,0,1,NC
37001,37,337910,0,0,1,NC
37001,37,339112,0,0,1,NC
37001,37,339113,62,1769,4,NC
37001,37,339115,0,0,1,NC
37001,37,339116,8,266,4,NC
37001,37,339920,0,0,1,NC
37001,37,339930,0,0,1,NC
37001,37,339950,34,1127,4,NC
37001,37,339995,0,0,1,NC
37001,37,42----,2125,114729,154,NC
37001,37,423120,52,2680,6,NC
