fips,fipstate,naics,emp,ap,est,ABBR
38001,38,------,803,28259,99,ND
38001,38,22----,0,0,1,ND
38001,38,221210,0,0,1,ND
38001,38,23----,34,672,11,ND
38001,38,236118,0,0,1,ND
38001,38,237110,0,0,1,ND
38001,38,238110,0,0,1,ND
38001,38,238160,0,0,1,ND
38001,38,238210,0,0,1,ND
38001,38,238220,3,133,3,ND
38001,38,238320,0,0,1,ND
38001,38,238910,0,0,1,ND
38001,38,238990,0,0,1,ND
38001,38,31----,0,0,1,ND
38001,38,327320,0,0,1,ND
38001,38,42----,73,3164,8,ND
38001,38,423120,0,0,1,ND
38001,38,423820,0,0,2,ND
38001,38,423930,0,0,1,ND
38001,38,424510,0,0,1,ND
38001,38,424520,0,0,1,ND
38001,38,424910,0,0,2,ND
38001,38,44----,164,5429,15,ND
38001,38,441110,0,0,1,ND
38001,38,444130,0,0,1,ND
38001,38,444220,0,0,1,ND
38001,38,445110,0,0,1,ND
38001,38,445210,0,0,2,ND
38001,38,446110,0,0,1,ND
38001,38,447110,0,0,2,ND
38001,38,448310,0,0,1,ND
38001,38,451130,0,0,1,ND
38001,38,452990,0,0,2,ND
38001,38,453110,0,0,1,ND
38001,38,454390,0,0,1,ND
38001,38,48----,20,463,7,ND
38001,38,481219,0,0,1,ND
38001,38,484220,0,0,1,ND
38001,38,484230,0,0,1,ND
38001,38,485310,0,0,1,ND
38001,38,485410,0,0,2,ND
38001,38,488190,0,0,1,ND
38001,38,51----,19,165,3,ND
38001,38,511110,0,0,1,ND
38001,38,512131,0,0,1,ND
38001,38,515112,0,0,1,ND
38001,38,52----,38,1676,8,ND
38001,38,522110,0,0,2,ND
38001,38,522120,0,0,1,ND
38001,38,522130,0,0,1,ND
38001,38,524210,11,536,4,ND
38001,38,53----,0,0,2,ND
38001,38,531120,0,0,1,ND
38001,38,532291,0,0,1,ND
38001,38,54----,23,815,4,ND
38001,38,541191,0,0,1,ND
38001,38,541219,0,0,1,ND
38001,38,541940,0,0,2,ND
38001,38,56----,5,130,3,ND
38001,38,561410,0,0,1,ND
38001,38,561990,0,0,1,ND
38001,38,562111,0,0,1,ND
