fips,fipstate,naics,emp,ap,est,ABBR
31001,31,------,13612,486671,971,NE
31001,31,11----,49,2853,5,NE
31001,31,115112,11,1233,3,NE
31001,31,115114,0,0,1,NE
31001,31,115116,0,0,1,NE
31001,31,21----,0,0,2,NE
31001,31,212321,0,0,2,NE
31001,31,22----,0,0,2,NE
31001,31,221112,0,0,1,NE
31001,31,221210,0,0,1,NE
31001,31,23----,742,39643,105,NE
31001,31,236115,21,705,9,NE
31001,31,236117,13,466,3,NE
31001,31,236118,49,1244,19,NE
31001,31,236220,42,1794,3,NE
31001,31,237110,0,0,1,NE
31001,31,237130,0,0,1,NE
31001,31,237310,189,18595,3,NE
31001,31,238110,43,1739,7,NE
31001,31,238120,0,0,1,NE
31001,31,238140,0,0,2,NE
31001,31,238150,0,0,1,NE
31001,31,238160,0,0,1,NE
31001,31,238170,3,159,4,NE
31001,31,238210,101,4614,13,NE
31001,31,238220,135,5412,19,NE
31001,31,238290,0,0,2,NE
31001,31,238310,0,0,1,NE
31001,31,238320,8,121,4,NE
31001,31,238330,0,0,1,NE
31001,31,238340,0,0,1,NE
31001,31,238350,0,0,4,NE
31001,31,238910,0,0,3,NE
31001,31,238990,0,0,2,NE
31001,31,31----,2460,110269,60,NE
31001,31,311225,0,0,1,NE
31001,31,311611,0,0,2,NE
31001,31,311612,0,0,1,NE
31001,31,312120,0,0,1,NE
31001,31,314910,0,0,1,NE
31001,31,314999,0,0,1,NE
31001,31,321912,0,0,1,NE
31001,31,321920,48,1601,3,NE
31001,31,322212,0,0,1,NE
31001,31,323111,0,0,2,NE
31001,31,323113,0,0,1,NE
31001,31,325193,0,0,1,NE
31001,31,325314,0,0,1,NE
31001,31,325412,0,0,1,NE
31001,31,325510,0,0,1,NE
31001,31,325611,0,0,1,NE
31001,31,326122,0,0,3,NE
31001,31,326191,0,0,1,NE
31001,31,326199,120,3988,3,NE
31001,31,326291,0,0,1,NE
31001,31,327320,0,0,1,NE
31001,31,331511,0,0,1,NE
31001,31,331523,0,0,1,NE
31001,31,331524,0,0,1,NE
31001,31,332312,0,0,1,NE
31001,31,332313,0,0,1,NE
31001,31,332420,0,0,1,NE
31001,31,332710,11,610,3,NE
31001,31,332811,0,0,1,NE
31001,31,332812,0,0,1,NE
31001,31,332992,0,0,1,NE
31001,31,332996,0,0,1,NE
31001,31,333111,0,0,4,NE
31001,31,333244,0,0,1,NE
31001,31,333249,0,0,2,NE
31001,31,333415,0,0,2,NE
31001,31,333911,0,0,1,NE
31001,31,334513,0,0,1,NE
31001,31,336211,0,0,1,NE
31001,31,336212,0,0,1,NE
31001,31,336214,0,0,1,NE
31001,31,336350,0,0,1,NE
31001,31,337110,0,0,1,NE
31001,31,339116,0,0,1,NE
31001,31,339910,0,0,1,NE
31001,31,42----,798,38030,64,NE
31001,31,423120,0,0,3,NE
31001,31,423140,0,0,1,NE
31001,31,423220,0,0,1,NE
31001,31,423310,0,0,2,NE
31001,31,423320,0,0,1,NE
31001,31,423510,0,0,1,NE
31001,31,423610,0,0,2,NE
31001,31,423710,0,0,1,NE
