fips,fipstate,naics,emp,ap,est,ABBR
33001,33,------,21310,898601,1805,NH
33001,33,11----,12,428,5,NH
33001,33,113310,11,313,4,NH
33001,33,115210,0,0,1,NH
33001,33,21----,22,1609,6,NH
33001,33,212319,0,0,1,NH
33001,33,212321,0,0,4,NH
33001,33,213112,0,0,1,NH
33001,33,22----,124,12089,8,NH
33001,33,221111,0,0,3,NH
33001,33,221122,0,0,3,NH
33001,33,221210,0,0,1,NH
33001,33,221310,0,0,1,NH
33001,33,23----,1180,80005,206,NH
33001,33,236115,89,5069,24,NH
33001,33,236117,9,277,3,NH
33001,33,236118,71,2395,23,NH
33001,33,236210,0,0,1,NH
33001,33,236220,101,12740,7,NH
33001,33,237110,32,2409,6,NH
33001,33,237130,0,0,3,NH
33001,33,237210,5,106,3,NH
33001,33,237310,55,4726,7,NH
33001,33,237990,29,1667,5,NH
33001,33,238110,13,912,4,NH
33001,33,238130,0,0,2,NH
33001,33,238140,0,0,6,NH
33001,33,238150,0,0,2,NH
33001,33,238160,0,0,3,NH
33001,33,238170,0,0,1,NH
33001,33,238210,145,8632,26,NH
33001,33,238220,96,4802,25,NH
33001,33,238310,0,0,5,NH
33001,33,238320,112,4974,12,NH
33001,33,238330,0,0,2,NH
33001,33,238340,0,0,2,NH
33001,33,238350,21,1090,7,NH
33001,33,238910,68,4235,15,NH
33001,33,238990,39,4888,12,NH
33001,33,31----,2704,174312,80,NH
33001,33,311352,0,0,1,NH
33001,33,311520,0,0,1,NH
33001,33,311611,0,0,1,NH
33001,33,311811,0,0,2,NH
33001,33,312113,0,0,1,NH
33001,33,312130,0,0,2,NH
33001,33,314110,0,0,1,NH
33001,33,314910,0,0,1,NH
33001,33,314999,0,0,2,NH
33001,33,321911,0,0,1,NH
33001,33,321920,0,0,1,NH
33001,33,321992,0,0,1,NH
33001,33,321999,0,0,1,NH
33001,33,322121,0,0,1,NH
33001,33,322211,0,0,1,NH
33001,33,323111,10,441,3,NH
33001,33,323113,0,0,2,NH
33001,33,324121,0,0,1,NH
