fips,fipstate,naics,emp,ap,est,ABBR
34001,34,------,105922,4071862,6302,NJ
34001,34,11----,131,2241,5,NJ
34001,34,114112,0,0,1,NJ
34001,34,115115,0,0,2,NJ
34001,34,115116,0,0,1,NJ
34001,34,115210,0,0,1,NJ
34001,34,21----,10,227,3,NJ
34001,34,212321,0,0,2,NJ
34001,34,213111,0,0,1,NJ
34001,34,22----,870,97178,16,NJ
34001,34,221112,0,0,1,NJ
34001,34,221122,0,0,6,NJ
34001,34,221210,0,0,5,NJ
34001,34,221310,0,0,2,NJ
34001,34,221320,0,0,1,NJ
34001,34,221330,0,0,1,NJ
34001,34,23----,5238,326759,681,NJ
34001,34,236115,177,7214,66,NJ
34001,34,236117,19,566,8,NJ
34001,34,236118,319,13134,89,NJ
34001,34,236210,0,0,3,NJ
34001,34,236220,351,21297,30,NJ
34001,34,237110,48,3366,9,NJ
34001,34,237120,0,0,1,NJ
34001,34,237130,0,0,3,NJ
34001,34,237310,472,46995,19,NJ
34001,34,237990,60,4891,8,NJ
34001,34,238110,99,5988,23,NJ
34001,34,238120,0,0,3,NJ
34001,34,238130,29,539,7,NJ
34001,34,238140,156,6851,28,NJ
34001,34,238150,17,996,4,NJ
34001,34,238160,323,18067,11,NJ
34001,34,238170,65,2282,16,NJ
34001,34,238190,124,5578,6,NJ
34001,34,238210,713,61772,58,NJ
34001,34,238220,720,37190,119,NJ
34001,34,238290,52,4594,4,NJ
34001,34,238310,127,6468,15,NJ
34001,34,238320,213,13754,35,NJ
34001,34,238330,27,1337,11,NJ
34001,34,238340,93,5236,9,NJ
34001,34,238350,116,4431,38,NJ
34001,34,238390,5,190,3,NJ
34001,34,238910,208,13586,26,NJ
34001,34,238990,260,12131,29,NJ
34001,34,31----,1800,87460,99,NJ
34001,34,311340,0,0,2,NJ
34001,34,311352,0,0,1,NJ
34001,34,311421,0,0,1,NJ
34001,34,311520,0,0,1,NJ
34001,34,311811,45,729,5,NJ
34001,34,311812,0,0,2,NJ
34001,34,311911,0,0,2,NJ
34001,34,311920,0,0,1,NJ
34001,34,312120,0,0,2,NJ
34001,34,312130,0,0,1,NJ
34001,34,313210,0,0,1,NJ
34001,34,313310,0,0,1,NJ
34001,34,314910,15,467,4,NJ
34001,34,314994,0,0,1,NJ
34001,34,314999,0,0,1,NJ
34001,34,315210,0,0,1,NJ
34001,34,321113,0,0,1,NJ
34001,34,321911,0,0,1,NJ
34001,34,321912,0,0,2,NJ
34001,34,321999,0,0,1,NJ
34001,34,323111,83,4066,7,NJ
34001,34,323113,0,0,1,NJ
34001,34,323120,0,0,2,NJ
34001,34,324121,0,0,1,NJ
34001,34,325412,0,0,1,NJ
34001,34,325611,0,0,1,NJ
34001,34,325620,0,0,1,NJ
34001,34,325991,0,0,1,NJ
34001,34,326150,0,0,1,NJ
34001,34,326199,317,18668,4,NJ
34001,34,326299,0,0,1,NJ
34001,34,327110,0,0,1,NJ
34001,34,327212,0,0,2,NJ
34001,34,327215,0,0,1,NJ
34001,34,327320,0,0,3,NJ
34001,34,327332,0,0,1,NJ
34001,34,327390,0,0,2,NJ
34001,34,332312,0,0,2,NJ
