fips,fipstate,naics,emp,ap,est,ABBR
35001,35,------,268851,11300359,15795,NM
35001,35,11----,15,661,7,NM
35001,35,113210,0,0,1,NM
35001,35,115116,0,0,1,NM
35001,35,115210,10,159,4,NM
35001,35,115310,0,0,1,NM
35001,35,21----,224,14871,20,NM
35001,35,211111,48,2031,11,NM
35001,35,212221,0,0,1,NM
35001,35,212234,0,0,1,NM
35001,35,212321,0,0,2,NM
35001,35,213112,36,2618,4,NM
35001,35,213113,0,0,1,NM
35001,35,22----,0,0,15,NM
35001,35,221112,0,0,2,NM
35001,35,221114,0,0,1,NM
35001,35,221122,0,0,3,NM
35001,35,221210,0,0,3,NM
35001,35,221310,25,1148,6,NM
35001,35,23----,17242,823249,1382,NM
35001,35,236115,135,3706,58,NM
35001,35,236116,26,1276,5,NM
35001,35,236117,232,16578,29,NM
35001,35,236118,901,38857,151,NM
35001,35,236210,273,14165,9,NM
35001,35,236220,2069,117847,142,NM
35001,35,237110,682,39703,25,NM
35001,35,237120,72,2675,4,NM
35001,35,237130,480,27902,23,NM
35001,35,237210,14,901,10,NM
35001,35,237310,983,47304,25,NM
35001,35,237990,0,0,3,NM
35001,35,238110,544,27225,31,NM
35001,35,238120,122,4922,8,NM
35001,35,238130,109,2795,23,NM
35001,35,238140,579,16288,30,NM
35001,35,238150,226,10418,12,NM
35001,35,238160,870,33021,52,NM
35001,35,238170,38,1596,5,NM
35001,35,238190,50,2120,7,NM
35001,35,238210,2472,118147,175,NM
35001,35,238220,2544,130614,220,NM
35001,35,238290,124,9226,13,NM
35001,35,238310,991,38392,43,NM
35001,35,238320,453,17904,68,NM
35001,35,238330,230,10040,33,NM
35001,35,238340,137,3697,22,NM
35001,35,238350,224,9133,35,NM
35001,35,238390,119,4571,11,NM
35001,35,238910,701,34989,38,NM
35001,35,238990,714,33051,72,NM
35001,35,31----,12471,608099,561,NM
35001,35,311119,0,0,1,NM
35001,35,311230,0,0,1,NM
35001,35,311351,0,0,2,NM
35001,35,311352,38,408,3,NM
35001,35,311411,0,0,1,NM
35001,35,311421,0,0,3,NM
35001,35,311422,0,0,2,NM
35001,35,311511,0,0,2,NM
35001,35,311611,0,0,1,NM
35001,35,311612,30,544,4,NM
35001,35,311811,66,1277,7,NM
35001,35,311812,223,7607,6,NM
35001,35,311821,0,0,1,NM
35001,35,311830,0,0,3,NM
35001,35,311919,0,0,1,NM
35001,35,311920,0,0,1,NM
35001,35,311941,0,0,2,NM
35001,35,311991,0,0,2,NM
35001,35,312111,0,0,1,NM
35001,35,312113,0,0,1,NM
35001,35,312120,269,7698,16,NM
35001,35,312130,9,613,4,NM
