fips,fipstate,naics,emp,ap,est,ABBR
32001,32,------,5518,200740,479,NV
32001,32,11----,0,0,1,NV
32001,32,115210,0,0,1,NV
32001,32,21----,107,7546,4,NV
32001,32,212111,0,0,1,NV
32001,32,212221,0,0,1,NV
32001,32,212393,0,0,1,NV
32001,32,213112,0,0,1,NV
32001,32,22----,88,6412,7,NV
32001,32,221116,69,4358,4,NV
32001,32,221118,0,0,1,NV
32001,32,221122,0,0,1,NV
32001,32,221310,0,0,1,NV
32001,32,23----,433,19485,56,NV
32001,32,236115,31,1056,6,NV
32001,32,236117,26,664,5,NV
32001,32,236118,19,499,5,NV
32001,32,236210,0,0,1,NV
32001,32,236220,25,1006,5,NV
32001,32,237110,0,0,2,NV
32001,32,237310,0,0,3,NV
32001,32,238110,0,0,2,NV
32001,32,238130,0,0,2,NV
32001,32,238140,18,296,3,NV
32001,32,238190,0,0,1,NV
32001,32,238210,15,683,3,NV
32001,32,238220,36,1706,6,NV
32001,32,238310,0,0,3,NV
32001,32,238320,0,0,2,NV
32001,32,238330,0,0,2,NV
32001,32,238340,0,0,1,NV
32001,32,238350,0,0,1,NV
32001,32,238910,0,0,2,NV
32001,32,238990,0,0,1,NV
32001,32,31----,416,22654,16,NV
32001,32,311514,0,0,1,NV
32001,32,311611,0,0,1,NV
32001,32,316992,0,0,1,NV
32001,32,323113,0,0,1,NV
32001,32,327310,0,0,1,NV
32001,32,327320,0,0,1,NV
32001,32,327992,0,0,1,NV
32001,32,331492,0,0,1,NV
32001,32,332312,0,0,1,NV
32001,32,332323,0,0,1,NV
32001,32,334511,0,0,1,NV
32001,32,336214,0,0,1,NV
32001,32,336411,0,0,1,NV
32001,32,337212,0,0,1,NV
32001,32,339920,0,0,1,NV
32001,32,339950,0,0,1,NV
32001,32,42----,127,5321,25,NV
32001,32,423610,14,778,3,NV
32001,32,423690,0,0,5,NV
32001,32,423810,0,0,1,NV
32001,32,423820,0,0,1,NV
32001,32,423830,0,0,2,NV
32001,32,423910,0,0,2,NV
32001,32,423930,0,0,1,NV
32001,32,424210,0,0,1,NV
32001,32,424450,0,0,1,NV
32001,32,424510,0,0,1,NV
32001,32,424690,0,0,1,NV
32001,32,424710,0,0,1,NV
32001,32,424810,0,0,1,NV
32001,32,424910,5,199,3,NV
32001,32,425120,0,0,1,NV
32001,32,44----,895,25304,64,NV
32001,32,441110,0,0,1,NV
32001,32,441120,18,547,3,NV
32001,32,441310,34,965,4,NV
32001,32,441320,20,966,3,NV
32001,32,442110,0,0,1,NV
32001,32,442299,0,0,1,NV
32001,32,443142,23,371,4,NV
32001,32,444130,0,0,2,NV
32001,32,444190,24,888,3,NV
32001,32,444220,19,565,4,NV
32001,32,445110,0,0,2,NV
32001,32,445120,0,0,2,NV
32001,32,445210,0,0,1,NV
32001,32,445310,0,0,1,NV
32001,32,446110,31,1361,3,NV
32001,32,446191,0,0,1,NV
32001,32,447110,52,878,8,NV
32001,32,448140,0,0,1,NV
32001,32,448150,0,0,1,NV
32001,32,448210,0,0,1,NV
32001,32,451110,0,0,2,NV
32001,32,451211,0,0,2,NV
32001,32,452910,0,0,1,NV
32001,32,452990,26,368,4,NV
32001,32,453110,0,0,1,NV
32001,32,453220,0,0,2,NV
32001,32,453310,0,0,2,NV
32001,32,453998,0,0,1,NV
32001,32,454111,0,0,1,NV
32001,32,454310,0,0,1,NV
32001,32,48----,416,24508,18,NV
32001,32,484110,19,757,3,NV
32001,32,484121,25,717,4,NV
32001,32,484220,0,0,2,NV
32001,32,485991,0,0,1,NV
32001,32,488119,0,0,1,NV
32001,32,488190,0,0,2,NV
32001,32,488410,0,0,2,NV
32001,32,492110,0,0,3,NV
32001,32,51----,37,1414,5,NV
32001,32,511110,0,0,1,NV
32001,32,512131,0,0,1,NV
32001,32,515112,0,0,1,NV
32001,32,517110,0,0,2,NV
32001,32,52----,145,6009,32,NV
32001,32,522110,40,1469,4,NV
32001,32,522120,0,0,1,NV
32001,32,522130,21,965,3,NV
32001,32,522291,10,270,4,NV
32001,32,522292,11,1143,3,NV
32001,32,522298,0,0,2,NV
32001,32,522390,7,144,4,NV
32001,32,523120,0,0,2,NV
32001,32,524210,35,1257,9,NV
32001,32,53----,116,2927,29,NV
32001,32,531110,42,626,11,NV
