fips,fipstate,naics,emp,ap,est,ABBR
36001,36,------,181194,8675847,9531,NY
36001,36,11----,0,0,3,NY
36001,36,115210,0,0,2,NY
36001,36,115310,0,0,1,NY
36001,36,21----,0,0,4,NY
36001,36,212312,0,0,1,NY
36001,36,212321,0,0,1,NY
36001,36,212399,0,0,1,NY
36001,36,213112,0,0,1,NY
36001,36,22----,0,0,10,NY
36001,36,221111,0,0,2,NY
36001,36,221115,0,0,1,NY
36001,36,221121,0,0,1,NY
36001,36,221122,0,0,6,NY
36001,36,23----,7462,516862,773,NY
36001,36,236115,119,4000,39,NY
36001,36,236116,0,0,2,NY
36001,36,236117,117,6054,20,NY
36001,36,236118,390,19114,130,NY
36001,36,236210,7,358,3,NY
36001,36,236220,1237,96429,52,NY
36001,36,237110,22,1413,6,NY
36001,36,237120,0,0,1,NY
36001,36,237130,242,13740,8,NY
36001,36,237210,0,0,3,NY
36001,36,237310,466,46814,17,NY
36001,36,237990,86,3290,3,NY
36001,36,238110,30,1510,7,NY
36001,36,238120,0,0,2,NY
36001,36,238130,34,1129,11,NY
36001,36,238140,126,5846,25,NY
36001,36,238150,32,1506,6,NY
36001,36,238160,190,13888,15,NY
36001,36,238170,36,1571,5,NY
36001,36,238190,5,232,3,NY
36001,36,238210,1062,77129,76,NY
36001,36,238220,1700,121502,112,NY
36001,36,238290,223,19604,13,NY
36001,36,238310,207,9642,17,NY
36001,36,238320,82,2835,32,NY
36001,36,238330,49,2583,22,NY
36001,36,238340,79,3613,17,NY
36001,36,238350,84,3303,37,NY
36001,36,238390,25,1183,3,NY
36001,36,238910,207,16705,31,NY
36001,36,238990,342,25670,55,NY
36001,36,31----,8334,548508,230,NY
36001,36,311119,102,2834,3,NY
36001,36,311211,0,0,1,NY
36001,36,311352,0,0,3,NY
36001,36,311612,61,3672,4,NY
36001,36,311615,0,0,1,NY
36001,36,311811,104,2151,8,NY
36001,36,311812,0,0,6,NY
36001,36,311911,0,0,2,NY
36001,36,311999,0,0,1,NY
36001,36,312111,0,0,1,NY
36001,36,312120,0,0,2,NY
36001,36,312130,0,0,1,NY
36001,36,312140,0,0,1,NY
36001,36,313230,0,0,1,NY
36001,36,314999,0,0,1,NY
36001,36,315220,0,0,2,NY
36001,36,315240,0,0,1,NY
36001,36,315990,17,699,3,NY
36001,36,316210,0,0,1,NY
36001,36,321113,9,307,3,NY
36001,36,321911,0,0,1,NY
36001,36,321918,0,0,1,NY
36001,36,321920,68,2649,5,NY
36001,36,321992,0,0,1,NY
36001,36,321999,0,0,2,NY
36001,36,322121,0,0,1,NY
36001,36,322299,0,0,1,NY
36001,36,323111,332,16247,24,NY
36001,36,323113,22,725,5,NY
36001,36,323120,0,0,1,NY
36001,36,324121,0,0,3,NY
36001,36,325120,151,11460,3,NY
36001,36,325180,0,0,1,NY
36001,36,325412,0,0,4,NY
36001,36,325520,0,0,2,NY
36001,36,325612,0,0,1,NY
36001,36,325991,915,94164,3,NY
36001,36,325998,0,0,2,NY
36001,36,326112,0,0,1,NY
36001,36,326140,0,0,1,NY
36001,36,326191,0,0,1,NY
36001,36,326199,360,17546,5,NY
36001,36,326291,0,0,1,NY
36001,36,327110,0,0,1,NY
36001,36,327120,0,0,1,NY
36001,36,327212,0,0,1,NY
36001,36,327215,0,0,1,NY
36001,36,327310,0,0,1,NY
36001,36,327320,0,0,2,NY
36001,36,327331,0,0,1,NY
36001,36,327390,0,0,4,NY
36001,36,327910,0,0,1,NY
36001,36,327991,0,0,2,NY
36001,36,327993,0,0,1,NY
36001,36,331420,0,0,1,NY
36001,36,332312,0,0,2,NY
36001,36,332322,41,2664,5,NY
36001,36,332323,0,0,1,NY
36001,36,332420,0,0,2,NY
36001,36,332710,169,9350,12,NY
36001,36,332721,0,0,1,NY
36001,36,332812,0,0,2,NY
36001,36,332813,0,0,1,NY
36001,36,332996,0,0,1,NY
36001,36,332999,0,0,1,NY
36001,36,333241,0,0,1,NY
36001,36,333318,0,0,1,NY
36001,36,333413,0,0,1,NY
36001,36,333511,0,0,1,NY
36001,36,333611,0,0,2,NY
36001,36,333912,0,0,2,NY
36001,36,333996,0,0,1,NY
36001,36,333999,0,0,1,NY
36001,36,334413,0,0,2,NY
36001,36,334510,0,0,1,NY
36001,36,334512,0,0,1,NY
36001,36,334513,0,0,1,NY
36001,36,334515,0,0,1,NY
36001,36,334519,0,0,1,NY
36001,36,335121,0,0,1,NY
36001,36,335311,0,0,1,NY
36001,36,335314,0,0,1,NY
36001,36,335999,0,0,2,NY
36001,36,336211,0,0,1,NY
36001,36,336320,0,0,2,NY
36001,36,336413,0,0,1,NY
36001,36,336611,0,0,1,NY
36001,36,337110,0,0,1,NY
36001,36,337121,0,0,1,NY
36001,36,337122,0,0,1,NY
36001,36,337212,0,0,2,NY
36001,36,337214,0,0,1,NY
36001,36,337215,0,0,1,NY
36001,36,337910,0,0,1,NY
36001,36,337920,0,0,1,NY
36001,36,339113,0,0,4,NY
36001,36,339114,0,0,1,NY
36001,36,339115,0,0,1,NY
36001,36,339116,54,1720,7,NY
36001,36,339910,0,0,2,NY
36001,36,339920,49,4401,3,NY
36001,36,339940,0,0,2,NY
36001,36,339950,38,1502,9,NY
36001,36,339999,0,0,4,NY
36001,36,42----,7714,467922,489,NY
36001,36,423110,270,14280,13,NY
36001,36,423120,404,16768,16,NY
36001,36,423130,70,3745,6,NY
36001,36,423140,0,0,1,NY
36001,36,423210,31,1185,5,NY
36001,36,423220,149,14277,7,NY
36001,36,423310,149,8444,11,NY
36001,36,423320,50,2433,5,NY
36001,36,423330,92,6162,9,NY
36001,36,423390,64,4045,6,NY
36001,36,423420,466,30392,19,NY
36001,36,423430,128,12028,10,NY
36001,36,423440,60,3034,5,NY
36001,36,423450,101,9262,12,NY
36001,36,423460,0,0,2,NY
36001,36,423490,0,0,1,NY
36001,36,423510,169,8608,12,NY
36001,36,423520,0,0,1,NY
36001,36,423610,250,17387,20,NY
36001,36,423620,74,1568,4,NY
36001,36,423690,324,50260,20,NY
36001,36,423710,71,3721,5,NY
36001,36,423720,99,5502,8,NY
36001,36,423730,173,14386,13,NY
36001,36,423740,10,676,3,NY
36001,36,423810,118,9717,7,NY
36001,36,423820,37,2090,3,NY
36001,36,423830,582,42311,31,NY
36001,36,423840,87,4851,9,NY
36001,36,423850,80,5430,8,NY
36001,36,423860,0,0,2,NY
36001,36,423910,113,6797,4,NY
36001,36,423920,0,0,2,NY
36001,36,423930,152,6768,14,NY
36001,36,423940,0,0,2,NY
36001,36,423990,111,3925,14,NY
36001,36,424110,26,1567,5,NY
36001,36,424120,0,0,5,NY
36001,36,424130,18,822,3,NY
36001,36,424210,123,6878,9,NY
36001,36,424310,0,0,1,NY
36001,36,424320,0,0,2,NY
36001,36,424330,22,1399,5,NY
36001,36,424340,0,0,3,NY
36001,36,424410,220,10694,5,NY
36001,36,424420,26,925,3,NY
36001,36,424430,34,2657,3,NY
36001,36,424450,0,0,2,NY
36001,36,424470,0,0,2,NY
36001,36,424480,123,4197,6,NY
36001,36,424490,1160,41528,13,NY
36001,36,424510,0,0,1,NY
36001,36,424520,0,0,1,NY
36001,36,424590,0,0,1,NY
36001,36,424610,12,826,3,NY
36001,36,424690,118,11011,14,NY
36001,36,424710,89,8008,5,NY
36001,36,424720,0,0,1,NY
36001,36,424810,0,0,1,NY
36001,36,424820,0,0,3,NY
36001,36,424910,27,1792,3,NY
36001,36,424920,0,0,3,NY
36001,36,424930,0,0,4,NY
36001,36,424940,0,0,2,NY
36001,36,424950,0,0,2,NY
36001,36,424990,30,1506,15,NY
36001,36,425120,431,26914,53,NY
36001,36,44----,23209,668734,1325,NY
36001,36,441110,2583,142494,36,NY
36001,36,441120,85,3307,22,NY
36001,36,441210,0,0,2,NY
36001,36,441222,13,360,3,NY
36001,36,441228,47,2194,5,NY
36001,36,441310,300,9168,32,NY
36001,36,441320,181,8173,15,NY
36001,36,442110,474,21583,34,NY
36001,36,442210,109,4605,21,NY
36001,36,442299,393,6208,18,NY
36001,36,443141,82,2617,9,NY
36001,36,443142,631,25688,36,NY
36001,36,444110,0,0,8,NY
36001,36,444120,32,1893,9,NY
36001,36,444130,163,3751,20,NY
36001,36,444190,708,38359,43,NY
36001,36,444210,17,648,3,NY
36001,36,444220,99,3683,12,NY
36001,36,445110,4431,93764,101,NY
36001,36,445120,272,5422,74,NY
36001,36,445210,73,1233,8,NY
36001,36,445220,0,0,1,NY
36001,36,445230,0,0,2,NY
36001,36,445291,0,0,5,NY
36001,36,445292,14,128,5,NY
36001,36,445299,49,478,8,NY
36001,36,445310,321,6293,55,NY
36001,36,446110,838,25374,54,NY
36001,36,446120,198,3391,22,NY
36001,36,446130,231,8145,31,NY
36001,36,446191,39,688,10,NY
36001,36,446199,47,1874,11,NY
36001,36,447110,700,14268,80,NY
36001,36,447190,117,4402,14,NY
36001,36,448110,105,2145,10,NY
36001,36,448120,590,7584,51,NY
36001,36,448130,118,1994,9,NY
36001,36,448140,1014,14242,38,NY
36001,36,448150,82,1493,12,NY
36001,36,448190,230,3831,17,NY
36001,36,448210,330,5443,36,NY
36001,36,448310,252,8281,31,NY
36001,36,451110,544,9213,32,NY
36001,36,451120,267,3500,13,NY
36001,36,451130,0,0,3,NY
36001,36,451140,83,2959,7,NY
36001,36,451211,180,2576,10,NY
36001,36,451212,14,233,8,NY
36001,36,452111,780,17187,5,NY
36001,36,452112,853,18633,5,NY
36001,36,452910,0,0,5,NY
36001,36,452990,262,4072,26,NY
36001,36,453110,95,1789,16,NY
36001,36,453210,106,2127,6,NY
36001,36,453220,346,4246,33,NY
36001,36,453310,95,2387,16,NY
36001,36,453910,193,3753,11,NY
36001,36,453920,21,811,5,NY
36001,36,453930,0,0,1,NY
36001,36,453991,59,1022,15,NY
36001,36,453998,172,7471,25,NY
36001,36,454111,257,13907,27,NY
36001,36,454113,152,10103,10,NY
36001,36,454210,0,0,1,NY
36001,36,454310,132,6793,14,NY
36001,36,454390,78,3448,18,NY
36001,36,48----,4651,186762,199,NY
36001,36,481111,338,15240,8,NY
36001,36,481212,0,0,1,NY
36001,36,484110,346,13951,23,NY
36001,36,484121,127,4581,13,NY
36001,36,484122,331,18110,12,NY
36001,36,484210,162,5376,12,NY
36001,36,484220,133,4986,12,NY
36001,36,484230,135,8500,11,NY
36001,36,485210,0,0,3,NY
36001,36,485310,66,1510,5,NY
36001,36,485320,0,0,5,NY
36001,36,485410,0,0,1,NY
36001,36,485510,0,0,2,NY
36001,36,485991,213,5573,10,NY
36001,36,485999,0,0,1,NY
36001,36,486210,0,0,1,NY
36001,36,486910,0,0,1,NY
36001,36,487210,0,0,1,NY
36001,36,488119,56,1130,3,NY
36001,36,488190,0,0,4,NY
36001,36,488210,0,0,2,NY
36001,36,488320,0,0,1,NY
36001,36,488330,0,0,1,NY
36001,36,488410,79,3217,12,NY
36001,36,488490,0,0,1,NY
36001,36,488510,143,7671,16,NY
36001,36,488999,0,0,1,NY
36001,36,492110,1269,54535,15,NY
36001,36,492210,106,4542,4,NY
36001,36,493110,297,12680,12,NY
36001,36,493190,33,1858,5,NY
36001,36,51----,5834,413570,225,NY
36001,36,511110,444,31095,10,NY
36001,36,511120,15,706,7,NY
36001,36,511130,18,908,6,NY
36001,36,511140,0,0,1,NY
36001,36,511199,0,0,1,NY
36001,36,511210,609,70121,20,NY
36001,36,512110,98,1186,10,NY
36001,36,512131,0,0,3,NY
36001,36,512191,0,0,1,NY
36001,36,512220,0,0,1,NY
36001,36,512240,0,0,2,NY
36001,36,515111,0,0,2,NY
36001,36,515112,439,18929,10,NY
36001,36,515120,275,14201,5,NY
36001,36,517110,2211,172354,70,NY
36001,36,517210,215,13985,29,NY
36001,36,517410,0,0,1,NY
36001,36,517911,0,0,5,NY
36001,36,517919,0,0,4,NY
36001,36,518210,953,67507,22,NY
36001,36,519110,0,0,2,NY
36001,36,519120,83,2425,5,NY
36001,36,519130,11,620,7,NY
36001,36,519190,0,0,1,NY
36001,36,52----,12535,1006004,643,NY
36001,36,522110,1513,118918,94,NY
36001,36,522120,302,20674,41,NY
36001,36,522130,1064,66111,43,NY
36001,36,522220,65,9064,10,NY
36001,36,522291,14,1309,4,NY
36001,36,522292,281,30214,8,NY
36001,36,522298,0,0,3,NY
36001,36,522310,25,1521,6,NY
36001,36,522320,0,0,4,NY
36001,36,522390,77,6012,5,NY
36001,36,523110,35,7360,7,NY
36001,36,523120,504,74342,55,NY
36001,36,523130,0,0,1,NY
36001,36,523910,0,0,3,NY
36001,36,523920,181,18911,33,NY
36001,36,523930,923,109613,41,NY
36001,36,523991,0,0,3,NY
36001,36,523999,0,0,1,NY
36001,36,524113,355,36589,23,NY
36001,36,524114,4018,279891,23,NY
36001,36,524126,1534,102886,40,NY
36001,36,524127,56,4742,9,NY
36001,36,524210,1057,84940,158,NY
36001,36,524291,108,7051,7,NY
36001,36,524292,286,17294,16,NY
36001,36,524298,21,1606,5,NY
36001,36,53----,3050,125919,432,NY
36001,36,531110,523,16777,86,NY
36001,36,531120,544,15380,74,NY
36001,36,531130,45,1058,18,NY
36001,36,531190,17,643,6,NY
36001,36,531210,261,17228,68,NY
36001,36,531311,392,17999,47,NY
36001,36,531312,366,14568,38,NY
36001,36,531320,18,1135,9,NY
36001,36,531390,40,3234,15,NY
36001,36,532111,161,5141,14,NY
36001,36,532120,308,12073,15,NY
36001,36,532210,0,0,5,NY
36001,36,532220,25,526,5,NY
36001,36,532291,61,2626,6,NY
36001,36,532299,0,0,3,NY
36001,36,532310,0,0,1,NY
36001,36,532412,101,6429,5,NY
36001,36,532490,117,7158,14,NY
36001,36,533110,32,2485,3,NY
36001,36,54----,17601,1246758,1219,NY
36001,36,541110,2591,214274,292,NY
36001,36,541191,29,1248,10,NY
36001,36,541199,126,7160,20,NY
36001,36,541211,891,63481,68,NY
36001,36,541213,285,2305,40,NY
36001,36,541214,207,14017,11,NY
36001,36,541219,192,7633,26,NY
36001,36,541310,407,39351,29,NY
36001,36,541320,9,525,3,NY
36001,36,541330,1655,153777,82,NY
36001,36,541340,2,105,3,NY
36001,36,541350,0,0,1,NY
36001,36,541370,0,0,6,NY
36001,36,541380,283,22778,13,NY
36001,36,541410,23,434,8,NY
36001,36,541420,0,0,1,NY
36001,36,541430,28,1142,8,NY
36001,36,541511,1150,123156,118,NY
36001,36,541512,854,52113,122,NY
36001,36,541513,422,58172,11,NY
36001,36,541519,119,8620,17,NY
36001,36,541611,2267,124697,62,NY
36001,36,541612,125,12147,19,NY
36001,36,541613,144,13572,30,NY
36001,36,541614,284,2647,7,NY
36001,36,541618,4,322,4,NY
36001,36,541620,64,3733,13,NY
36001,36,541690,206,16674,22,NY
36001,36,541711,23,1271,9,NY
36001,36,541712,3529,224673,28,NY
36001,36,541720,123,9470,11,NY
36001,36,541810,83,6233,10,NY
36001,36,541820,157,16393,33,NY
36001,36,541830,0,0,2,NY
36001,36,541840,0,0,3,NY
36001,36,541850,0,0,5,NY
36001,36,541860,65,2882,4,NY
36001,36,541870,0,0,1,NY
36001,36,541890,357,5373,11,NY
36001,36,541910,136,3488,6,NY
36001,36,541921,97,2221,14,NY
36001,36,541922,0,0,2,NY
36001,36,541930,0,0,3,NY
36001,36,541940,505,19141,24,NY
36001,36,541990,6,748,7,NY
36001,36,55----,3199,197924,69,NY
36001,36,551112,245,16582,9,NY
36001,36,551114,2954,181342,60,NY
36001,36,56----,10554,314209,500,NY
36001,36,561110,734,32586,43,NY
36001,36,561210,111,5944,11,NY
36001,36,561311,118,5330,7,NY
36001,36,561312,0,0,4,NY
36001,36,561320,2414,72653,45,NY
36001,36,561330,0,0,2,NY
36001,36,561410,45,1411,11,NY
36001,36,561421,0,0,1,NY
36001,36,561422,0,0,1,NY
36001,36,561431,0,0,2,NY
36001,36,561439,83,2961,9,NY
36001,36,561440,132,4869,4,NY
36001,36,561450,0,0,1,NY
36001,36,561492,0,0,1,NY
36001,36,561499,69,2316,6,NY
36001,36,561510,43,1674,13,NY
36001,36,561520,35,2075,4,NY
36001,36,561591,0,0,1,NY
36001,36,561599,0,0,2,NY
36001,36,561611,58,1265,8,NY
36001,36,561612,1134,30382,13,NY
36001,36,561613,129,4633,4,NY
36001,36,561621,76,5331,9,NY
36001,36,561622,24,1222,4,NY
36001,36,561710,68,4578,7,NY
36001,36,561720,3576,66488,72,NY
36001,36,561730,329,15292,130,NY
36001,36,561740,52,2399,13,NY
36001,36,561790,227,5601,15,NY
36001,36,561920,0,0,2,NY
36001,36,561990,110,3667,12,NY
36001,36,562111,225,13574,13,NY
36001,36,562112,0,0,2,NY
36001,36,562211,0,0,1,NY
36001,36,562910,118,9679,17,NY
36001,36,562991,11,466,5,NY
36001,36,562998,38,1373,5,NY
36001,36,61----,10465,498617,148,NY
36001,36,611110,1614,53827,31,NY
36001,36,611210,807,24318,5,NY
36001,36,611310,6977,398574,7,NY
36001,36,611420,34,1587,6,NY
36001,36,611430,76,5564,11,NY
36001,36,611511,64,1096,4,NY
36001,36,611513,38,951,3,NY
36001,36,611519,129,4028,8,NY
36001,36,611610,129,2135,21,NY
36001,36,611620,419,2979,24,NY
36001,36,611630,33,169,3,NY
36001,36,611691,56,473,7,NY
36001,36,611692,0,0,2,NY
36001,36,611699,0,0,4,NY
36001,36,611710,52,2093,12,NY
36001,36,62----,36785,1688031,993,NY
36001,36,621111,4612,384610,220,NY
36001,36,621112,28,1866,13,NY
36001,36,621210,1020,49314,136,NY
36001,36,621310,77,2889,22,NY
36001,36,621320,55,2054,12,NY
