fips,fipstate,naics,emp,ap,est,ABBR
39001,39,------,4354,146850,393,OH
39001,39,21----,0,0,1,OH
39001,39,212312,0,0,1,OH
39001,39,22----,0,0,2,OH
39001,39,221112,0,0,1,OH
39001,39,221122,0,0,1,OH
39001,39,23----,180,7325,39,OH
39001,39,236115,8,479,4,OH
39001,39,236118,0,0,3,OH
39001,39,236220,15,546,4,OH
39001,39,237110,31,1210,3,OH
39001,39,237990,0,0,1,OH
39001,39,238110,0,0,1,OH
39001,39,238130,0,0,1,OH
39001,39,238160,0,0,1,OH
39001,39,238190,0,0,1,OH
39001,39,238210,5,205,3,OH
39001,39,238220,21,645,3,OH
39001,39,238310,0,0,3,OH
39001,39,238340,0,0,1,OH
39001,39,238350,0,0,2,OH
39001,39,238390,0,0,1,OH
39001,39,238910,0,0,3,OH
39001,39,238990,4,139,4,OH
39001,39,31----,683,44733,27,OH
39001,39,321113,70,1688,8,OH
39001,39,321920,53,1522,4,OH
39001,39,321999,18,412,3,OH
39001,39,324121,0,0,1,OH
39001,39,326121,0,0,1,OH
39001,39,326199,0,0,1,OH
39001,39,332618,0,0,1,OH
39001,39,332710,0,0,2,OH
39001,39,332721,0,0,1,OH
39001,39,333413,0,0,1,OH
39001,39,333991,0,0,1,OH
39001,39,334418,0,0,1,OH
39001,39,336412,0,0,1,OH
39001,39,339999,0,0,1,OH
39001,39,42----,162,6452,9,OH
39001,39,423110,0,0,1,OH
39001,39,423310,0,0,1,OH
39001,39,423320,0,0,1,OH
39001,39,423710,0,0,1,OH
39001,39,423820,0,0,1,OH
39001,39,423830,0,0,1,OH
39001,39,424490,0,0,1,OH
39001,39,424510,0,0,1,OH
39001,39,424990,0,0,1,OH
39001,39,44----,906,21822,86,OH
39001,39,441110,0,0,2,OH
39001,39,441120,0,0,2,OH
39001,39,441310,48,984,4,OH
39001,39,441320,0,0,2,OH
39001,39,442110,11,189,4,OH
39001,39,442210,0,0,1,OH
39001,39,443142,0,0,1,OH
39001,39,444130,7,117,3,OH
39001,39,444190,47,1720,4,OH
39001,39,444210,0,0,1,OH
39001,39,444220,61,1060,6,OH
39001,39,445110,71,1458,3,OH
39001,39,445120,7,77,3,OH
39001,39,445210,0,0,1,OH
39001,39,446110,43,1818,6,OH
39001,39,446191,0,0,1,OH
39001,39,446199,0,0,1,OH
39001,39,447110,162,2504,17,OH
39001,39,451110,4,91,4,OH
39001,39,452910,0,0,1,OH
39001,39,452990,71,1261,11,OH
39001,39,453110,5,67,3,OH
39001,39,453998,0,0,1,OH
39001,39,454310,0,0,2,OH
39001,39,454390,0,0,2,OH
39001,39,48----,88,3202,18,OH
39001,39,484110,5,227,4,OH
39001,39,484121,0,0,3,OH
39001,39,484122,0,0,1,OH
39001,39,484210,0,0,1,OH
39001,39,484220,19,820,4,OH
39001,39,484230,0,0,2,OH
39001,39,485991,0,0,1,OH
39001,39,488410,0,0,1,OH
39001,39,493110,0,0,1,OH
39001,39,51----,35,1330,9,OH
39001,39,511110,0,0,2,OH
39001,39,511210,0,0,1,OH
39001,39,515112,0,0,1,OH
39001,39,517110,10,879,4,OH
39001,39,517410,0,0,1,OH
39001,39,52----,104,3540,21,OH
39001,39,522110,62,2269,10,OH
39001,39,522120,0,0,2,OH
39001,39,522390,0,0,1,OH
39001,39,524126,0,0,1,OH
39001,39,524210,27,699,7,OH
39001,39,53----,44,1869,13,OH
39001,39,531120,0,0,1,OH
39001,39,531210,0,0,2,OH
39001,39,531311,28,960,7,OH
39001,39,531320,0,0,1,OH
39001,39,532210,0,0,1,OH
39001,39,532291,0,0,1,OH
39001,39,54----,88,2343,24,OH
39001,39,541110,28,602,9,OH
39001,39,541191,0,0,1,OH
39001,39,541211,0,0,1,OH
39001,39,541213,0,0,2,OH
39001,39,541219,0,0,2,OH
39001,39,541330,0,0,1,OH
39001,39,541350,0,0,1,OH
39001,39,541370,0,0,2,OH
39001,39,541430,0,0,1,OH
39001,39,541512,0,0,1,OH
39001,39,541611,0,0,1,OH
39001,39,541990,0,0,2,OH
39001,39,55----,0,0,2,OH
39001,39,551114,0,0,2,OH
39001,39,56----,12,282,4,OH
39001,39,561110,0,0,1,OH
39001,39,561730,0,0,1,OH
39001,39,561910,0,0,1,OH
39001,39,562991,0,0,1,OH
39001,39,61----,22,425,4,OH
39001,39,611110,0,0,1,OH
39001,39,611692,0,0,1,OH
39001,39,611699,0,0,1,OH
39001,39,611710,0,0,1,OH
39001,39,62----,1114,31579,50,OH
39001,39,621111,40,3063,7,OH
39001,39,621210,34,1586,4,OH
39001,39,621310,0,0,2,OH
39001,39,621340,0,0,3,OH
39001,39,621420,0,0,2,OH
39001,39,621492,0,0,1,OH
39001,39,621498,0,0,1,OH
39001,39,621511,0,0,1,OH
39001,39,621610,0,0,4,OH
39001,39,621910,0,0,1,OH
39001,39,622110,0,0,1,OH
39001,39,623110,227,8081,3,OH
39001,39,623312,0,0,2,OH
39001,39,624120,285,4889,8,OH
39001,39,624190,0,0,3,OH
39001,39,624221,0,0,2,OH
39001,39,624229,0,0,1,OH
39001,39,624310,0,0,3,OH
39001,39,624410,0,0,1,OH
39001,39,71----,16,328,5,OH
39001,39,712190,0,0,1,OH
39001,39,713910,0,0,2,OH
39001,39,713950,0,0,1,OH
39001,39,713990,0,0,1,OH
39001,39,72----,536,6443,37,OH
39001,39,721110,36,526,3,OH
39001,39,721211,0,0,1,OH
39001,39,722511,175,2451,9,OH
39001,39,722513,317,3299,20,OH
39001,39,722515,8,95,4,OH
39001,39,81----,176,3707,42,OH
39001,39,811111,0,0,2,OH
39001,39,811121,0,0,1,OH
39001,39,811122,0,0,1,OH
39001,39,811212,0,0,1,OH
39001,39,811219,0,0,1,OH
39001,39,811310,0,0,2,OH
39001,39,812112,0,0,3,OH
39001,39,812210,13,454,4,OH
39001,39,812320,0,0,1,OH
39001,39,812910,0,0,1,OH
39001,39,813110,51,939,21,OH
39001,39,813312,0,0,1,OH
39001,39,813410,0,0,1,OH
39001,39,813910,0,0,2,OH
39003,39,------,46975,1916633,2412,OH
39003,39,11----,9,102,3,OH
39003,39,115210,9,102,3,OH
39003,39,21----,27,1555,4,OH
39003,39,212312,0,0,3,OH
39003,39,213112,0,0,1,OH
39003,39,22----,201,11529,7,OH
39003,39,221122,0,0,3,OH
39003,39,221210,0,0,3,OH
39003,39,221320,0,0,1,OH
39003,39,23----,1794,93627,185,OH
39003,39,236115,32,1005,11,OH
39003,39,236118,79,2802,23,OH
39003,39,236210,0,0,2,OH
39003,39,236220,84,4288,8,OH
39003,39,237110,0,0,5,OH
39003,39,237120,93,5260,4,OH
39003,39,237210,0,0,1,OH
39003,39,237310,6,1515,3,OH
39003,39,237990,0,0,1,OH
39003,39,238110,40,2204,12,OH
39003,39,238120,0,0,1,OH
39003,39,238130,7,436,3,OH
39003,39,238140,57,4249,8,OH
39003,39,238150,0,0,1,OH
39003,39,238160,0,0,3,OH
39003,39,238170,0,0,2,OH
39003,39,238210,70,4432,13,OH
39003,39,238220,428,20463,27,OH
39003,39,238290,26,1535,4,OH
39003,39,238310,46,1659,7,OH
39003,39,238320,69,2903,7,OH
39003,39,238330,44,2425,6,OH
39003,39,238350,36,1420,4,OH
39003,39,238390,2,246,3,OH
39003,39,238910,170,11118,16,OH
39003,39,238990,48,2893,10,OH
39003,39,31----,7882,489638,119,OH
39003,39,311119,0,0,1,OH
39003,39,311511,0,0,1,OH
39003,39,311611,0,0,1,OH
39003,39,311612,0,0,1,OH
39003,39,311811,0,0,1,OH
39003,39,311812,0,0,1,OH
39003,39,311991,0,0,1,OH
39003,39,312111,0,0,1,OH
39003,39,312130,0,0,1,OH
39003,39,314120,0,0,1,OH
39003,39,314999,0,0,1,OH
39003,39,321113,0,0,1,OH
39003,39,321918,0,0,1,OH
39003,39,321920,73,2162,3,OH
39003,39,322211,0,0,2,OH
39003,39,322220,0,0,1,OH
39003,39,322299,0,0,2,OH
39003,39,323111,105,2111,7,OH
39003,39,323113,0,0,1,OH
39003,39,323120,0,0,1,OH
39003,39,324110,0,0,1,OH
39003,39,324121,0,0,1,OH
39003,39,325180,0,0,1,OH
39003,39,325193,0,0,1,OH
39003,39,325199,0,0,1,OH
39003,39,325211,0,0,1,OH
39003,39,325311,0,0,1,OH
39003,39,325412,0,0,1,OH
39003,39,325611,0,0,1,OH
39003,39,325910,0,0,1,OH
39003,39,325998,0,0,1,OH
39003,39,326150,0,0,1,OH
39003,39,326160,0,0,1,OH
39003,39,326191,0,0,1,OH
39003,39,326199,0,0,1,OH
39003,39,326212,0,0,1,OH
