fips,fipstate,naics,emp,ap,est,ABBR
40001,40,------,3102,93278,226,OK
40001,40,11----,0,0,1,OK
40001,40,115112,0,0,1,OK
40001,40,21----,0,0,1,OK
40001,40,212321,0,0,1,OK
40001,40,22----,0,0,2,OK
40001,40,221122,0,0,2,OK
40001,40,23----,65,1826,13,OK
40001,40,236118,0,0,1,OK
40001,40,236210,0,0,1,OK
40001,40,236220,23,736,5,OK
40001,40,238140,0,0,1,OK
40001,40,238220,18,649,5,OK
40001,40,31----,1020,38065,18,OK
40001,40,311119,70,2815,4,OK
40001,40,311813,0,0,1,OK
40001,40,321113,0,0,1,OK
40001,40,321912,0,0,1,OK
40001,40,323111,0,0,1,OK
40001,40,324121,0,0,1,OK
40001,40,325211,0,0,1,OK
40001,40,332312,0,0,1,OK
40001,40,332322,0,0,2,OK
40001,40,332323,0,0,1,OK
40001,40,332710,0,0,1,OK
40001,40,332994,0,0,1,OK
40001,40,333999,0,0,1,OK
40001,40,335312,0,0,1,OK
40001,40,42----,80,2052,10,OK
40001,40,423390,0,0,1,OK
40001,40,423820,0,0,3,OK
40001,40,424430,0,0,1,OK
40001,40,424470,0,0,1,OK
40001,40,424520,0,0,1,OK
40001,40,424710,0,0,1,OK
40001,40,424910,0,0,2,OK
40001,40,44----,550,11527,48,OK
40001,40,441110,0,0,1,OK
40001,40,441120,20,394,3,OK
40001,40,441310,17,323,3,OK
40001,40,441320,0,0,2,OK
40001,40,442110,0,0,1,OK
40001,40,443142,0,0,1,OK
40001,40,444130,8,173,3,OK
40001,40,444190,0,0,1,OK
40001,40,444220,17,414,5,OK
40001,40,445110,87,1228,3,OK
40001,40,445310,0,0,1,OK
40001,40,446110,0,0,2,OK
40001,40,447110,102,1587,10,OK
40001,40,448210,0,0,1,OK
40001,40,452910,0,0,1,OK
40001,40,452990,0,0,3,OK
40001,40,453991,22,382,3,OK
40001,40,454310,0,0,2,OK
40001,40,454390,0,0,2,OK
40001,40,48----,59,2608,5,OK
40001,40,484110,0,0,2,OK
40001,40,484121,0,0,1,OK
40001,40,488510,0,0,1,OK
40001,40,493120,0,0,1,OK
40001,40,51----,10,503,3,OK
40001,40,517110,0,0,2,OK
40001,40,517210,0,0,1,OK
40001,40,52----,131,4528,22,OK
40001,40,522110,81,2964,6,OK
40001,40,522130,0,0,1,OK
40001,40,522291,31,995,10,OK
40001,40,522298,0,0,1,OK
40001,40,524210,12,357,4,OK
40001,40,53----,11,287,7,OK
40001,40,531120,0,0,1,OK
40001,40,531210,0,0,1,OK
40001,40,531311,0,0,1,OK
40001,40,532120,0,0,1,OK
40001,40,532230,0,0,2,OK
40001,40,532490,0,0,1,OK
40001,40,54----,75,2175,20,OK
40001,40,541110,13,585,6,OK
40001,40,541191,0,0,2,OK
40001,40,541211,9,320,3,OK
40001,40,541213,0,0,2,OK
40001,40,541219,0,0,1,OK
40001,40,541330,0,0,1,OK
40001,40,541611,0,0,1,OK
40001,40,541712,0,0,1,OK
40001,40,541940,15,324,3,OK
40001,40,55----,0,0,1,OK
40001,40,551112,0,0,1,OK
40001,40,56----,0,0,4,OK
40001,40,561320,0,0,1,OK
40001,40,561410,0,0,1,OK
40001,40,561740,0,0,1,OK
40001,40,561990,0,0,1,OK
40001,40,62----,515,18783,20,OK
40001,40,621111,16,449,3,OK
40001,40,621210,0,0,2,OK
40001,40,621310,0,0,1,OK
40001,40,621320,0,0,1,OK
40001,40,621330,0,0,1,OK
40001,40,621420,15,522,3,OK
40001,40,621492,0,0,1,OK
40001,40,621610,0,0,3,OK
40001,40,621910,0,0,1,OK
40001,40,622110,0,0,1,OK
40001,40,623110,0,0,1,OK
40001,40,623210,0,0,1,OK
40001,40,623220,0,0,1,OK
40001,40,71----,0,0,2,OK
40001,40,711219,0,0,2,OK
40001,40,72----,313,3687,24,OK
40001,40,721110,0,0,3,OK
40001,40,722310,0,0,2,OK
40001,40,722410,0,0,1,OK
40001,40,722511,52,768,6,OK
40001,40,722513,222,2488,12,OK
40001,40,81----,58,1024,25,OK
40001,40,811111,7,148,3,OK
40001,40,811121,0,0,1,OK
40001,40,811191,0,0,1,OK
40001,40,811310,0,0,1,OK
40001,40,812310,0,0,1,OK
40001,40,813110,40,717,18,OK
40003,40,------,1215,52883,146,OK
40003,40,11----,0,0,2,OK
40003,40,115112,0,0,1,OK
40003,40,115113,0,0,1,OK
40003,40,21----,296,23601,12,OK
40003,40,211111,0,0,2,OK
40003,40,213111,0,0,1,OK
40003,40,213112,91,8978,7,OK
40003,40,213113,0,0,1,OK
40003,40,213115,0,0,1,OK
40003,40,22----,0,0,1,OK
40003,40,221122,0,0,1,OK
40003,40,23----,80,5231,14,OK
40003,40,236115,0,0,1,OK
40003,40,236118,0,0,1,OK
40003,40,238190,0,0,1,OK
40003,40,238210,17,431,4,OK
40003,40,238220,0,0,2,OK
40003,40,238310,0,0,1,OK
40003,40,238340,0,0,1,OK
40003,40,238910,0,0,2,OK
40003,40,238990,0,0,1,OK
40003,40,31----,24,744,5,OK
40003,40,312112,0,0,1,OK
40003,40,321214,0,0,1,OK
