fips,fipstate,naics,emp,ap,est,ABBR
41001,41,------,4208,141142,526,OR
41001,41,11----,11,456,11,OR
41001,41,113210,0,0,1,OR
41001,41,113310,7,236,5,OR
41001,41,115112,0,0,2,OR
41001,41,115210,0,0,1,OR
41001,41,115310,0,0,2,OR
41001,41,21----,0,0,5,OR
41001,41,212221,0,0,1,OR
41001,41,212311,0,0,1,OR
41001,41,212312,0,0,1,OR
41001,41,212319,0,0,1,OR
41001,41,213115,0,0,1,OR
41001,41,22----,131,11733,5,OR
41001,41,221111,0,0,2,OR
41001,41,221122,0,0,1,OR
41001,41,221210,0,0,1,OR
41001,41,221310,0,0,1,OR
41001,41,23----,213,6760,66,OR
41001,41,236115,23,913,12,OR
41001,41,236117,0,0,1,OR
41001,41,236118,11,221,5,OR
41001,41,236210,0,0,1,OR
41001,41,236220,0,0,2,OR
41001,41,237110,0,0,2,OR
41001,41,237210,0,0,1,OR
41001,41,237310,0,0,1,OR
41001,41,238110,0,0,2,OR
41001,41,238120,0,0,1,OR
41001,41,238130,0,0,1,OR
41001,41,238160,5,168,3,OR
41001,41,238210,24,875,9,OR
41001,41,238220,15,373,6,OR
41001,41,238310,19,447,3,OR
41001,41,238320,16,388,4,OR
41001,41,238330,0,0,2,OR
41001,41,238350,10,237,3,OR
41001,41,238910,20,612,5,OR
41001,41,238990,0,0,2,OR
41001,41,31----,513,22792,24,OR
41001,41,311612,0,0,1,OR
41001,41,311811,0,0,1,OR
41001,41,312140,0,0,1,OR
41001,41,314999,0,0,1,OR
41001,41,315210,0,0,1,OR
41001,41,321113,0,0,1,OR
41001,41,321911,0,0,1,OR
41001,41,321912,0,0,1,OR
41001,41,321999,0,0,1,OR
41001,41,323111,0,0,1,OR
41001,41,326122,0,0,1,OR
41001,41,327310,0,0,1,OR
41001,41,327320,0,0,1,OR
41001,41,331529,0,0,1,OR
41001,41,332323,0,0,1,OR
41001,41,332710,0,0,2,OR
41001,41,332812,0,0,1,OR
