fips,fipstate,naics,emp,ap,est,ABBR
42001,42,------,30027,1035374,1956,PA
42001,42,11----,69,3843,10,PA
42001,42,113110,0,0,1,PA
42001,42,113310,0,0,1,PA
42001,42,115112,0,0,1,PA
42001,42,115210,13,325,6,PA
42001,42,115310,0,0,1,PA
42001,42,21----,0,0,4,PA
42001,42,212312,0,0,3,PA
42001,42,213112,0,0,1,PA
42001,42,22----,101,9910,4,PA
42001,42,221112,0,0,1,PA
42001,42,221122,0,0,3,PA
42001,42,23----,1537,85029,219,PA
42001,42,236115,74,2784,17,PA
42001,42,236116,0,0,1,PA
42001,42,236117,0,0,3,PA
42001,42,236118,110,3815,35,PA
42001,42,236220,390,26877,10,PA
42001,42,237110,0,0,3,PA
42001,42,237130,0,0,3,PA
42001,42,237990,0,0,1,PA
42001,42,238110,13,504,6,PA
42001,42,238130,22,890,6,PA
42001,42,238140,25,682,6,PA
42001,42,238150,0,0,1,PA
42001,42,238160,27,813,6,PA
42001,42,238170,0,0,2,PA
42001,42,238190,14,695,3,PA
42001,42,238210,133,5902,19,PA
42001,42,238220,149,6181,28,PA
42001,42,238310,34,802,7,PA
42001,42,238320,12,433,6,PA
42001,42,238330,0,0,1,PA
42001,42,238340,0,0,1,PA
42001,42,238350,16,967,12,PA
42001,42,238390,0,0,2,PA
42001,42,238910,102,4384,19,PA
42001,42,238990,41,2029,21,PA
42001,42,31----,6227,273670,116,PA
42001,42,311119,0,0,1,PA
42001,42,311224,0,0,1,PA
42001,42,311352,0,0,2,PA
42001,42,311421,0,0,5,PA
42001,42,311613,0,0,1,PA
42001,42,311615,0,0,2,PA
42001,42,311812,0,0,1,PA
42001,42,311919,0,0,1,PA
42001,42,311991,0,0,1,PA
42001,42,312120,0,0,2,PA
42001,42,312130,0,0,3,PA
42001,42,312230,0,0,1,PA
42001,42,313210,0,0,1,PA
42001,42,314120,0,0,1,PA
42001,42,314999,0,0,2,PA
42001,42,316110,0,0,2,PA
42001,42,321113,0,0,2,PA
42001,42,321920,55,2558,4,PA
42001,42,321992,0,0,1,PA
42001,42,321999,0,0,2,PA
42001,42,322211,0,0,4,PA
42001,42,322219,0,0,1,PA
42001,42,322220,0,0,2,PA
42001,42,323111,0,0,4,PA
42001,42,323117,0,0,1,PA
42001,42,324121,0,0,1,PA
42001,42,325211,0,0,1,PA
42001,42,325312,0,0,1,PA
42001,42,325510,0,0,1,PA
42001,42,326113,0,0,1,PA
42001,42,326160,0,0,1,PA
42001,42,326199,0,0,4,PA
42001,42,327110,0,0,1,PA
42001,42,327120,0,0,1,PA
42001,42,327215,0,0,1,PA
42001,42,327320,0,0,2,PA
42001,42,327331,0,0,1,PA
42001,42,327992,0,0,1,PA
42001,42,327993,0,0,1,PA
42001,42,331524,0,0,2,PA
42001,42,332111,0,0,1,PA
42001,42,332119,0,0,1,PA
42001,42,332216,0,0,1,PA
42001,42,332312,0,0,1,PA
42001,42,332322,0,0,1,PA
42001,42,332710,120,5137,14,PA
42001,42,332812,0,0,2,PA
42001,42,332999,0,0,1,PA
42001,42,333243,0,0,1,PA
42001,42,333511,0,0,1,PA
42001,42,333515,0,0,1,PA
42001,42,333993,0,0,1,PA
42001,42,333999,0,0,1,PA
42001,42,334416,0,0,1,PA
42001,42,334519,0,0,1,PA
42001,42,335129,0,0,2,PA
42001,42,335931,0,0,1,PA
42001,42,336310,0,0,1,PA
42001,42,336390,0,0,1,PA
42001,42,336999,0,0,1,PA
42001,42,337110,0,0,3,PA
42001,42,337122,0,0,1,PA
42001,42,337124,0,0,1,PA
42001,42,337127,0,0,1,PA
42001,42,337212,0,0,3,PA
42001,42,337214,0,0,1,PA
42001,42,339113,0,0,1,PA
42001,42,339114,0,0,1,PA
42001,42,339950,0,0,1,PA
42001,42,42----,999,50855,77,PA
42001,42,423110,18,569,3,PA
42001,42,423120,0,0,2,PA
42001,42,423140,14,450,3,PA
42001,42,423220,0,0,1,PA
42001,42,423310,189,8739,5,PA
42001,42,423320,0,0,3,PA
42001,42,423390,0,0,1,PA
42001,42,423420,0,0,1,PA
42001,42,423610,0,0,1,PA
42001,42,423690,0,0,2,PA
42001,42,423710,0,0,2,PA
42001,42,423730,17,1436,4,PA
42001,42,423820,0,0,3,PA
42001,42,423830,0,0,1,PA
42001,42,423920,0,0,2,PA
42001,42,423930,0,0,1,PA
42001,42,423990,0,0,2,PA
42001,42,424110,0,0,2,PA
42001,42,424130,0,0,2,PA
42001,42,424450,0,0,1,PA
42001,42,424470,0,0,1,PA
42001,42,424480,0,0,2,PA
42001,42,424490,0,0,5,PA
42001,42,424510,14,865,3,PA
42001,42,424590,0,0,1,PA
42001,42,424610,0,0,1,PA
42001,42,424710,0,0,1,PA
42001,42,424910,167,9473,8,PA
42001,42,424950,0,0,1,PA
42001,42,424990,0,0,1,PA
42001,42,425110,0,0,1,PA
42001,42,425120,49,2519,10,PA
42001,42,44----,3450,84907,336,PA
42001,42,441110,274,12327,8,PA
42001,42,441120,79,2466,17,PA
42001,42,441210,0,0,1,PA
42001,42,441222,0,0,1,PA
42001,42,441228,80,4224,6,PA
42001,42,441310,62,2063,10,PA
42001,42,441320,45,1801,5,PA
42001,42,442110,19,429,4,PA
42001,42,442210,22,694,6,PA
42001,42,442291,0,0,1,PA
42001,42,442299,12,144,4,PA
42001,42,443141,0,0,2,PA
42001,42,443142,0,0,3,PA
42001,42,444120,9,202,3,PA
42001,42,444130,51,1056,4,PA
42001,42,444190,66,2794,7,PA
42001,42,444210,0,0,2,PA
42001,42,444220,39,1393,11,PA
42001,42,445110,689,11994,11,PA
42001,42,445120,17,404,7,PA
42001,42,445210,83,1929,6,PA
42001,42,445230,25,470,3,PA
42001,42,445291,0,0,1,PA
42001,42,445292,17,235,4,PA
42001,42,445310,46,1224,7,PA
42001,42,446110,132,5153,13,PA
42001,42,446120,0,0,2,PA
42001,42,446130,0,0,2,PA
42001,42,446191,0,0,3,PA
