fips,fipstate,naics,emp,ap,est,ABBR
44001,44,------,14525,486564,1254,RI
44001,44,11----,0,0,1,RI
44001,44,114111,0,0,1,RI
44001,44,22----,0,0,2,RI
44001,44,221122,0,0,1,RI
44001,44,221320,0,0,1,RI
44001,44,23----,651,36234,179,RI
44001,44,236115,50,2167,16,RI
44001,44,236117,6,284,3,RI
44001,44,236118,148,6850,52,RI
44001,44,236220,14,1098,3,RI
44001,44,237110,0,0,2,RI
44001,44,237990,0,0,1,RI
44001,44,238110,0,0,2,RI
44001,44,238120,0,0,1,RI
44001,44,238130,0,0,2,RI
44001,44,238140,26,1533,11,RI
44001,44,238150,0,0,2,RI
44001,44,238160,0,0,2,RI
44001,44,238170,0,0,2,RI
44001,44,238210,101,5680,22,RI
44001,44,238220,91,5335,14,RI
44001,44,238290,0,0,2,RI
44001,44,238310,0,0,1,RI
44001,44,238320,42,1691,15,RI
44001,44,238330,5,80,4,RI
44001,44,238350,16,560,7,RI
44001,44,238390,0,0,1,RI
44001,44,238910,32,1400,8,RI
44001,44,238990,12,409,6,RI
44001,44,31----,2147,98191,81,RI
44001,44,311412,0,0,1,RI
44001,44,311421,0,0,1,RI
44001,44,311710,0,0,1,RI
44001,44,311811,0,0,2,RI
44001,44,311991,0,0,1,RI
44001,44,312111,0,0,1,RI
44001,44,313110,0,0,1,RI
44001,44,314110,0,0,1,RI
44001,44,314120,0,0,1,RI
44001,44,314910,28,1289,6,RI
44001,44,322219,0,0,1,RI
44001,44,323111,0,0,2,RI
44001,44,323120,0,0,1,RI
44001,44,325211,0,0,1,RI
44001,44,325520,0,0,1,RI
44001,44,326199,212,13453,5,RI
44001,44,327991,0,0,1,RI
44001,44,331491,0,0,1,RI
44001,44,332111,0,0,1,RI
44001,44,332114,0,0,1,RI
44001,44,332119,0,0,1,RI
44001,44,332510,0,0,1,RI
44001,44,332710,25,936,4,RI
44001,44,332812,0,0,1,RI
44001,44,332999,0,0,1,RI
44001,44,333249,0,0,1,RI
44001,44,333415,0,0,1,RI
44001,44,333511,509,23130,3,RI
44001,44,333514,0,0,1,RI
44001,44,333611,0,0,1,RI
44001,44,333994,0,0,1,RI
44001,44,333999,0,0,1,RI
44001,44,334510,0,0,1,RI
44001,44,334514,0,0,1,RI
44001,44,334519,0,0,1,RI
44001,44,335999,0,0,1,RI
44001,44,336611,0,0,2,RI
44001,44,336612,262,11026,15,RI
44001,44,337110,0,0,1,RI
44001,44,337121,0,0,1,RI
44001,44,337122,0,0,1,RI
44001,44,337212,0,0,1,RI
44001,44,337215,0,0,1,RI
44001,44,339116,0,0,1,RI
44001,44,339920,0,0,2,RI
44001,44,339950,0,0,1,RI
44001,44,339991,0,0,1,RI
44001,44,339999,0,0,2,RI
44001,44,42----,345,27486,64,RI
44001,44,423140,0,0,1,RI
44001,44,423220,0,0,1,RI
44001,44,423310,0,0,1,RI
44001,44,423420,0,0,1,RI
44001,44,423430,0,0,1,RI
44001,44,423440,0,0,1,RI
44001,44,423450,0,0,2,RI
44001,44,423510,47,3896,3,RI
44001,44,423610,0,0,3,RI
44001,44,423710,0,0,2,RI
44001,44,423720,0,0,1,RI
44001,44,423820,0,0,1,RI
44001,44,423830,2,281,3,RI
44001,44,423840,0,0,2,RI
44001,44,423850,0,0,1,RI
44001,44,423860,0,0,1,RI
44001,44,423910,14,786,4,RI
44001,44,423920,0,0,1,RI
44001,44,423930,0,0,2,RI
44001,44,423940,0,0,1,RI
44001,44,423990,0,0,1,RI
44001,44,424130,0,0,1,RI
44001,44,424210,0,0,1,RI
44001,44,424330,0,0,1,RI
