fips,fipstate,naics,emp,ap,est,ABBR
45001,45,------,4772,151005,334,SC
45001,45,11----,0,0,2,SC
45001,45,113310,0,0,2,SC
45001,45,22----,0,0,2,SC
45001,45,221122,0,0,2,SC
45001,45,23----,170,6473,41,SC
45001,45,236115,0,0,3,SC
45001,45,236117,0,0,1,SC
45001,45,236118,5,96,4,SC
45001,45,236220,9,285,5,SC
45001,45,237110,0,0,1,SC
45001,45,237130,0,0,1,SC
45001,45,237310,0,0,1,SC
45001,45,238110,0,0,2,SC
45001,45,238120,0,0,1,SC
45001,45,238130,0,0,2,SC
45001,45,238140,0,0,2,SC
45001,45,238160,8,225,3,SC
45001,45,238210,14,368,3,SC
45001,45,238220,3,120,3,SC
45001,45,238290,0,0,1,SC
45001,45,238310,0,0,1,SC
45001,45,238350,3,93,3,SC
45001,45,238910,16,614,4,SC
45001,45,31----,2064,80697,31,SC
45001,45,311811,0,0,1,SC
45001,45,313110,0,0,1,SC
45001,45,313210,0,0,1,SC
45001,45,313310,0,0,1,SC
45001,45,314910,0,0,1,SC
45001,45,321214,0,0,1,SC
45001,45,321992,0,0,1,SC
45001,45,321999,0,0,1,SC
45001,45,326121,0,0,1,SC
45001,45,326191,0,0,1,SC
45001,45,326199,0,0,1,SC
45001,45,327390,0,0,1,SC
45001,45,327991,0,0,1,SC
45001,45,331529,0,0,1,SC
45001,45,332311,0,0,1,SC
45001,45,332710,76,3023,3,SC
45001,45,332721,0,0,1,SC
45001,45,332999,0,0,1,SC
45001,45,333414,0,0,1,SC
45001,45,333415,0,0,1,SC
45001,45,333993,0,0,1,SC
45001,45,335929,0,0,1,SC
45001,45,336212,0,0,1,SC
45001,45,337110,52,1928,4,SC
45001,45,337211,0,0,1,SC
45001,45,337212,0,0,1,SC
45001,45,42----,70,2791,5,SC
45001,45,423310,0,0,1,SC
45001,45,423610,0,0,1,SC
45001,45,424330,0,0,1,SC
45001,45,424430,0,0,1,SC
45001,45,424710,0,0,1,SC
45001,45,44----,464,7864,54,SC
45001,45,441110,0,0,1,SC
45001,45,441120,9,301,4,SC
45001,45,441228,0,0,1,SC
45001,45,441310,37,683,4,SC
45001,45,441320,0,0,2,SC
45001,45,442110,0,0,1,SC
45001,45,443142,0,0,2,SC
45001,45,444130,7,141,3,SC
45001,45,444190,0,0,1,SC
45001,45,444220,0,0,1,SC
45001,45,445110,192,2379,5,SC
45001,45,445310,7,83,3,SC
45001,45,446110,0,0,3,SC
45001,45,447110,93,1605,12,SC
45001,45,448310,0,0,1,SC
45001,45,452990,43,682,6,SC
45001,45,453110,0,0,1,SC
45001,45,453220,0,0,1,SC
45001,45,453910,0,0,1,SC
45001,45,454310,0,0,1,SC
45001,45,48----,17,444,8,SC
45001,45,484110,6,144,3,SC
45001,45,484210,0,0,1,SC
45001,45,484220,0,0,1,SC
45001,45,484230,0,0,1,SC
45001,45,488510,0,0,1,SC
45001,45,493110,0,0,1,SC
45001,45,51----,78,5419,6,SC
45001,45,511110,0,0,1,SC
45001,45,515112,0,0,1,SC
45001,45,517110,0,0,3,SC
45001,45,517919,0,0,1,SC
45001,45,52----,140,4955,29,SC
45001,45,522110,56,2027,8,SC
45001,45,522120,0,0,1,SC
45001,45,522130,0,0,2,SC
45001,45,522291,18,560,8,SC
45001,45,522298,0,0,2,SC
45001,45,522390,0,0,1,SC
45001,45,523120,0,0,1,SC
45001,45,524210,20,554,6,SC
45001,45,53----,0,0,2,SC
45001,45,531210,0,0,1,SC
45001,45,532490,0,0,1,SC
45001,45,54----,44,1246,15,SC
45001,45,541110,14,582,5,SC
45001,45,541213,0,0,2,SC
45001,45,541219,5,117,3,SC
45001,45,541611,0,0,1,SC
45001,45,541614,0,0,1,SC
45001,45,541618,0,0,1,SC
45001,45,541940,0,0,2,SC
45001,45,55----,8,737,3,SC
45001,45,551114,8,737,3,SC
45001,45,56----,118,2926,15,SC
45001,45,561320,0,0,2,SC
45001,45,561710,0,0,1,SC
45001,45,561720,0,0,1,SC
45001,45,561730,67,1042,8,SC
45001,45,561740,0,0,1,SC
45001,45,562910,0,0,1,SC
45001,45,562991,0,0,1,SC
45001,45,61----,405,6947,5,SC
45001,45,611110,0,0,3,SC
45001,45,611310,0,0,1,SC
45001,45,611430,0,0,1,SC
45001,45,62----,543,17582,27,SC
45001,45,621111,58,2491,6,SC
45001,45,621210,0,0,3,SC
45001,45,621310,0,0,2,SC
45001,45,621320,0,0,1,SC
45001,45,621492,0,0,1,SC
45001,45,621610,0,0,1,SC
45001,45,622110,0,0,1,SC
45001,45,623110,0,0,1,SC
45001,45,623311,0,0,1,SC
45001,45,623312,0,0,2,SC
45001,45,624110,0,0,1,SC
45001,45,624120,0,0,1,SC
45001,45,624190,0,0,2,SC
45001,45,624210,0,0,1,SC
45001,45,624410,24,506,3,SC
45001,45,71----,0,0,2,SC
45001,45,711110,0,0,1,SC
45001,45,713990,0,0,1,SC
45001,45,72----,343,5122,31,SC
45001,45,721110,0,0,2,SC
45001,45,721191,0,0,1,SC
45001,45,721310,0,0,1,SC
45001,45,722310,0,0,2,SC
45001,45,722410,0,0,1,SC
45001,45,722511,126,1359,11,SC
45001,45,722513,119,1393,11,SC
45001,45,722514,0,0,1,SC
45001,45,722515,0,0,1,SC
45001,45,81----,246,4641,56,SC
45001,45,811111,15,456,5,SC
45001,45,811121,0,0,2,SC
45001,45,811192,0,0,1,SC
45001,45,811213,0,0,1,SC
45001,45,811310,0,0,2,SC
45001,45,811411,0,0,2,SC
45001,45,812112,0,0,1,SC
45001,45,812210,28,576,5,SC
45001,45,812220,0,0,1,SC
45001,45,812320,0,0,1,SC
45001,45,812990,0,0,1,SC
45001,45,813110,160,2421,30,SC
45001,45,813410,0,0,1,SC
45001,45,813910,0,0,1,SC
45001,45,813930,0,0,1,SC
45001,45,813990,0,0,1,SC
45003,45,------,50307,2114718,2732,SC
45003,45,11----,104,4667,24,SC
45003,45,113110,0,0,1,SC
45003,45,113310,40,2138,6,SC
45003,45,115116,0,0,1,SC
45003,45,115210,54,2016,14,SC
45003,45,115310,0,0,2,SC
45003,45,21----,87,4851,4,SC
45003,45,212324,0,0,3,SC
45003,45,212325,0,0,1,SC
45003,45,22----,510,33502,18,SC
45003,45,221112,0,0,1,SC
45003,45,221121,0,0,1,SC
45003,45,221122,0,0,14,SC
45003,45,221310,0,0,2,SC
45003,45,23----,2860,158127,237,SC
45003,45,236115,75,3826,21,SC
45003,45,236116,0,0,2,SC
45003,45,236117,3,125,3,SC
45003,45,236118,38,1676,14,SC
45003,45,236210,0,0,1,SC
45003,45,236220,226,14497,13,SC
45003,45,237110,29,1136,6,SC
45003,45,237130,0,0,5,SC
45003,45,237210,55,2496,10,SC
45003,45,237310,88,4230,5,SC
45003,45,237990,0,0,2,SC
45003,45,238110,0,0,3,SC
45003,45,238120,0,0,1,SC
45003,45,238130,0,0,1,SC
45003,45,238140,5,121,3,SC
45003,45,238160,22,234,5,SC
45003,45,238170,79,3282,8,SC
45003,45,238190,0,0,1,SC
45003,45,238210,227,7743,27,SC
45003,45,238220,378,15623,47,SC
45003,45,238290,0,0,2,SC
45003,45,238310,0,0,3,SC
45003,45,238320,38,895,9,SC
45003,45,238330,14,345,6,SC
45003,45,238350,38,1000,8,SC
45003,45,238910,121,5692,16,SC
45003,45,238990,90,2848,15,SC
45003,45,31----,7851,448268,85,SC
45003,45,311119,0,0,1,SC
45003,45,311225,0,0,1,SC
