fips,fipstate,naics,emp,ap,est,ABBR
46003,46,------,626,20296,79,SD
46003,46,11----,0,0,2,SD
46003,46,115112,0,0,1,SD
46003,46,115114,0,0,1,SD
46003,46,22----,0,0,1,SD
46003,46,221118,0,0,1,SD
46003,46,23----,21,754,11,SD
46003,46,236115,0,0,1,SD
46003,46,236118,0,0,2,SD
46003,46,236220,0,0,1,SD
46003,46,237990,0,0,1,SD
46003,46,238130,0,0,1,SD
46003,46,238150,0,0,1,SD
46003,46,238220,0,0,2,SD
46003,46,238350,0,0,1,SD
46003,46,238910,0,0,1,SD
46003,46,31----,0,0,3,SD
46003,46,311119,0,0,1,SD
46003,46,311999,0,0,1,SD
46003,46,332710,0,0,1,SD
46003,46,42----,50,1664,6,SD
46003,46,423220,0,0,1,SD
46003,46,424510,0,0,1,SD
46003,46,424910,43,1396,4,SD
46003,46,44----,92,1944,8,SD
46003,46,444110,0,0,1,SD
46003,46,444190,0,0,2,SD
46003,46,445110,0,0,1,SD
46003,46,447110,38,891,3,SD
46003,46,447190,0,0,1,SD
46003,46,48----,14,488,8,SD
46003,46,484110,0,0,1,SD
46003,46,484121,5,178,3,SD
46003,46,484220,0,0,2,SD
46003,46,484230,0,0,2,SD
46003,46,51----,0,0,1,SD
46003,46,511130,0,0,1,SD
46003,46,52----,41,2309,7,SD
46003,46,522110,34,2085,4,SD
46003,46,524210,7,224,3,SD
46003,46,53----,0,0,1,SD
46003,46,531110,0,0,1,SD
46003,46,54----,76,2530,6,SD
46003,46,541110,0,0,2,SD
46003,46,541611,0,0,2,SD
46003,46,541712,0,0,1,SD
46003,46,541940,0,0,1,SD
46003,46,55----,0,0,1,SD
46003,46,551111,0,0,1,SD
46003,46,56----,0,0,1,SD
46003,46,562111,0,0,1,SD
46003,46,62----,182,5956,7,SD
46003,46,621111,0,0,1,SD
46003,46,621498,0,0,1,SD
46003,46,623110,0,0,1,SD
46003,46,623220,0,0,1,SD
46003,46,624190,0,0,3,SD
46003,46,71----,0,0,1,SD
46003,46,713910,0,0,1,SD
46003,46,72----,29,297,7,SD
46003,46,721110,0,0,2,SD
46003,46,721214,0,0,1,SD
46003,46,722410,0,0,1,SD
46003,46,722511,0,0,2,SD
46003,46,722513,0,0,1,SD
46003,46,81----,34,862,8,SD
46003,46,811111,0,0,1,SD
46003,46,811121,0,0,1,SD
46003,46,811310,0,0,1,SD
46003,46,813110,8,91,4,SD
46003,46,813211,0,0,1,SD
46005,46,------,7089,242607,587,SD
46005,46,11----,3,217,3,SD
46005,46,114111,0,0,1,SD
46005,46,115112,0,0,1,SD
46005,46,115210,0,0,1,SD
46005,46,22----,155,11936,3,SD
46005,46,221121,0,0,1,SD
46005,46,221122,0,0,2,SD
46005,46,23----,214,13738,63,SD
46005,46,236115,10,305,8,SD
46005,46,236118,7,130,8,SD
46005,46,236220,15,525,3,SD
46005,46,237110,0,0,2,SD
46005,46,237130,18,1378,3,SD
46005,46,237310,0,0,4,SD
46005,46,238110,14,801,4,SD
46005,46,238130,0,0,1,SD
46005,46,238140,0,0,1,SD
46005,46,238150,0,0,1,SD
46005,46,238160,8,278,4,SD
46005,46,238170,0,0,1,SD
46005,46,238210,24,1716,5,SD
46005,46,238220,32,1742,7,SD
46005,46,238310,0,0,1,SD
46005,46,238320,0,0,1,SD
46005,46,238330,0,0,1,SD
46005,46,238350,0,0,1,SD
46005,46,238910,0,0,2,SD
46005,46,238990,19,721,5,SD
46005,46,31----,1592,53666,32,SD
46005,46,311119,0,0,2,SD
46005,46,311412,0,0,1,SD
46005,46,311611,0,0,3,SD
46005,46,311615,0,0,1,SD
46005,46,311911,0,0,1,SD
46005,46,313310,0,0,1,SD
46005,46,323111,0,0,1,SD
46005,46,325193,0,0,1,SD
46005,46,327320,0,0,1,SD
46005,46,332312,0,0,1,SD
46005,46,332313,0,0,1,SD
46005,46,332321,0,0,1,SD
46005,46,332322,0,0,1,SD
46005,46,332710,0,0,2,SD
46005,46,332812,0,0,1,SD
46005,46,333120,22,664,3,SD
46005,46,333514,0,0,1,SD
46005,46,333911,0,0,1,SD
46005,46,333924,0,0,1,SD
46005,46,333999,0,0,2,SD
46005,46,334413,0,0,1,SD
46005,46,334513,0,0,1,SD
46005,46,335314,0,0,1,SD
46005,46,336211,0,0,1,SD
46005,46,336214,0,0,1,SD
46005,46,42----,489,28373,33,SD
46005,46,423120,0,0,1,SD
46005,46,423140,0,0,1,SD
46005,46,423720,0,0,1,SD
46005,46,423810,0,0,1,SD
46005,46,423820,109,5377,4,SD
46005,46,423930,0,0,1,SD
46005,46,424120,0,0,1,SD
46005,46,424410,0,0,1,SD
46005,46,424450,0,0,2,SD
46005,46,424490,0,0,1,SD
46005,46,424510,0,0,3,SD
46005,46,424810,0,0,1,SD
46005,46,424910,122,8645,10,SD
46005,46,424990,0,0,1,SD
46005,46,425120,9,401,4,SD
46005,46,44----,1127,26804,81,SD
46005,46,441110,106,3940,4,SD
46005,46,441120,3,84,3,SD
46005,46,441210,0,0,1,SD
46005,46,441310,50,1334,6,SD
46005,46,441320,0,0,1,SD
46005,46,442110,20,421,3,SD
46005,46,442210,0,0,2,SD
46005,46,442299,0,0,1,SD
46005,46,443141,12,224,3,SD
46005,46,443142,13,485,3,SD
46005,46,444120,0,0,1,SD
46005,46,444130,29,528,4,SD
46005,46,444190,39,1431,6,SD
46005,46,444220,0,0,1,SD
46005,46,445110,139,2966,5,SD
46005,46,446110,0,0,3,SD
46005,46,446120,0,0,1,SD
46005,46,447110,119,2467,12,SD
46005,46,447190,61,1489,5,SD
46005,46,448120,0,0,2,SD
46005,46,448140,0,0,2,SD
46005,46,448210,0,0,1,SD
46005,46,448310,0,0,1,SD
46005,46,452112,0,0,1,SD
46005,46,452910,0,0,1,SD
46005,46,452990,0,0,1,SD
46005,46,453110,0,0,2,SD
46005,46,453310,0,0,1,SD
46005,46,453991,0,0,2,SD
46005,46,454310,0,0,1,SD
46005,46,454390,0,0,1,SD
46005,46,48----,266,13707,35,SD
46005,46,481111,0,0,1,SD
46005,46,484110,8,241,3,SD
46005,46,484121,67,3369,8,SD
46005,46,484220,16,860,9,SD
46005,46,484230,7,261,3,SD
46005,46,485320,0,0,1,SD
46005,46,485410,0,0,1,SD
46005,46,485991,0,0,1,SD
46005,46,485999,0,0,1,SD
46005,46,486910,0,0,1,SD
46005,46,488190,0,0,1,SD
46005,46,488210,0,0,1,SD
46005,46,488510,0,0,1,SD
46005,46,492110,0,0,1,SD
