fips,fipstate,naics,emp,ap,est,ABBR
47001,47,------,39443,2345381,1554,TN
47001,47,11----,0,0,1,TN
47001,47,113310,0,0,1,TN
47001,47,21----,73,7773,8,TN
47001,47,211111,0,0,1,TN
47001,47,211112,0,0,1,TN
47001,47,212111,0,0,2,TN
47001,47,212112,0,0,1,TN
47001,47,212312,0,0,1,TN
47001,47,213112,0,0,1,TN
47001,47,213113,0,0,1,TN
47001,47,22----,0,0,1,TN
47001,47,221115,0,0,1,TN
47001,47,23----,1009,53738,90,TN
47001,47,236115,17,959,6,TN
47001,47,236117,0,0,1,TN
47001,47,236118,23,715,10,TN
47001,47,236220,97,6550,9,TN
47001,47,237310,75,2393,4,TN
47001,47,237990,0,0,1,TN
47001,47,238110,33,1458,5,TN
47001,47,238120,0,0,1,TN
47001,47,238130,5,233,3,TN
47001,47,238140,0,0,1,TN
47001,47,238150,0,0,1,TN
47001,47,238160,0,0,2,TN
47001,47,238170,0,0,2,TN
47001,47,238190,0,0,1,TN
47001,47,238210,224,14407,7,TN
47001,47,238220,141,6092,13,TN
47001,47,238290,0,0,1,TN
47001,47,238310,0,0,1,TN
47001,47,238320,26,730,4,TN
47001,47,238330,0,0,2,TN
47001,47,238340,0,0,1,TN
47001,47,238350,0,0,2,TN
47001,47,238910,0,0,8,TN
47001,47,238990,11,280,4,TN
47001,47,31----,10905,753623,87,TN
47001,47,311111,0,0,1,TN
47001,47,313230,0,0,1,TN
47001,47,313320,0,0,1,TN
47001,47,315210,0,0,1,TN
47001,47,315220,0,0,1,TN
47001,47,321113,0,0,1,TN
47001,47,321918,0,0,1,TN
47001,47,321920,39,1199,4,TN
47001,47,321991,0,0,1,TN
47001,47,322212,0,0,1,TN
47001,47,323111,49,1898,4,TN
47001,47,323117,0,0,1,TN
47001,47,324121,0,0,1,TN
47001,47,325211,0,0,2,TN
47001,47,325412,0,0,1,TN
47001,47,325510,0,0,1,TN
47001,47,325991,0,0,1,TN
47001,47,326199,0,0,1,TN
47001,47,327390,0,0,2,TN
47001,47,331110,0,0,1,TN
47001,47,331523,0,0,1,TN
47001,47,332313,0,0,1,TN
47001,47,332323,0,0,1,TN
47001,47,332439,0,0,1,TN
47001,47,332618,0,0,1,TN
47001,47,332710,175,10811,10,TN
47001,47,332721,131,6262,4,TN
47001,47,332812,0,0,1,TN
47001,47,332813,0,0,1,TN
47001,47,332991,0,0,1,TN
47001,47,332993,0,0,1,TN
47001,47,332996,0,0,1,TN
47001,47,332999,40,1853,4,TN
47001,47,333242,0,0,1,TN
47001,47,333511,0,0,1,TN
47001,47,333514,0,0,1,TN
47001,47,333923,0,0,1,TN
47001,47,333993,0,0,1,TN
47001,47,333994,0,0,1,TN
47001,47,333999,0,0,1,TN
47001,47,334413,0,0,1,TN
47001,47,334510,0,0,1,TN
47001,47,334511,0,0,1,TN
47001,47,334513,0,0,1,TN
47001,47,334516,0,0,3,TN
47001,47,334519,234,18494,4,TN
47001,47,334613,0,0,1,TN
47001,47,335991,0,0,1,TN
47001,47,336214,0,0,1,TN
47001,47,336350,0,0,1,TN
47001,47,336390,0,0,2,TN
47001,47,336991,0,0,1,TN
47001,47,337122,0,0,1,TN
47001,47,337212,0,0,1,TN
47001,47,339950,0,0,1,TN
47001,47,339995,0,0,1,TN
47001,47,339999,0,0,2,TN
47001,47,42----,424,20096,52,TN
47001,47,423120,6,310,3,TN
47001,47,423220,0,0,1,TN
47001,47,423390,0,0,1,TN
47001,47,423430,0,0,2,TN
47001,47,423450,0,0,2,TN
47001,47,423490,0,0,1,TN
47001,47,423610,25,1032,3,TN
47001,47,423690,0,0,5,TN
47001,47,423710,0,0,2,TN
47001,47,423730,0,0,1,TN
47001,47,423740,0,0,1,TN
47001,47,423810,0,0,1,TN
47001,47,423830,0,0,2,TN
47001,47,423930,43,1284,3,TN
47001,47,423940,0,0,1,TN
47001,47,423990,0,0,2,TN
47001,47,424120,0,0,1,TN
47001,47,424210,0,0,2,TN
47001,47,424330,0,0,1,TN
47001,47,424420,0,0,1,TN
47001,47,424450,0,0,1,TN
47001,47,424610,0,0,1,TN
47001,47,424690,0,0,3,TN
47001,47,424710,0,0,2,TN
47001,47,424720,0,0,1,TN
47001,47,424940,0,0,1,TN
47001,47,424990,0,0,2,TN
47001,47,425120,12,560,5,TN
47001,47,44----,3411,84923,245,TN
47001,47,441110,267,14649,5,TN
47001,47,441120,14,349,4,TN
47001,47,441210,0,0,1,TN
47001,47,441222,0,0,1,TN
47001,47,441228,0,0,1,TN
47001,47,441310,92,1971,9,TN
47001,47,441320,47,1562,7,TN
