fips,fipstate,naics,emp,ap,est,ABBR
48001,48,------,11120,409040,919,TX
48001,48,11----,0,0,2,TX
48001,48,113110,0,0,1,TX
48001,48,115112,0,0,1,TX
48001,48,21----,397,19013,34,TX
48001,48,211111,25,1091,7,TX
48001,48,211112,0,0,1,TX
48001,48,213111,62,2872,3,TX
48001,48,213112,294,13230,23,TX
48001,48,22----,88,6340,17,TX
48001,48,221121,0,0,1,TX
48001,48,221122,0,0,1,TX
48001,48,221210,0,0,2,TX
48001,48,221310,39,1238,13,TX
48001,48,23----,494,21346,65,TX
48001,48,236115,19,742,9,TX
48001,48,236117,0,0,1,TX
48001,48,236220,0,0,2,TX
48001,48,237110,11,422,3,TX
48001,48,237120,24,1521,3,TX
48001,48,237130,0,0,1,TX
48001,48,237310,0,0,2,TX
48001,48,237990,0,0,1,TX
48001,48,238110,0,0,2,TX
48001,48,238160,0,0,1,TX
48001,48,238170,0,0,1,TX
48001,48,238190,0,0,1,TX
48001,48,238210,36,1427,4,TX
48001,48,238220,59,2550,14,TX
48001,48,238290,68,3068,3,TX
48001,48,238320,0,0,1,TX
48001,48,238330,0,0,2,TX
48001,48,238350,0,0,1,TX
48001,48,238910,60,2024,9,TX
48001,48,238990,0,0,4,TX
48001,48,31----,304,19369,21,TX
48001,48,311812,0,0,1,TX
48001,48,312130,0,0,1,TX
48001,48,315240,0,0,1,TX
48001,48,315990,0,0,1,TX
48001,48,321113,0,0,1,TX
48001,48,321999,0,0,1,TX
48001,48,322212,0,0,1,TX
48001,48,322230,0,0,1,TX
48001,48,323111,0,0,1,TX
48001,48,324121,0,0,1,TX
48001,48,324191,0,0,1,TX
48001,48,325510,0,0,1,TX
48001,48,327320,0,0,1,TX
48001,48,327331,0,0,1,TX
48001,48,327991,0,0,1,TX
48001,48,332312,0,0,1,TX
48001,48,332313,0,0,1,TX
48001,48,332710,0,0,1,TX
48001,48,332912,0,0,1,TX
48001,48,333131,0,0,1,TX
48001,48,333132,0,0,1,TX
48001,48,42----,445,20697,32,TX
48001,48,423120,0,0,1,TX
48001,48,423210,0,0,1,TX
48001,48,423320,0,0,1,TX
48001,48,423420,0,0,1,TX
48001,48,423510,0,0,1,TX
48001,48,423610,0,0,1,TX
48001,48,423710,111,8015,5,TX
48001,48,423820,0,0,2,TX
48001,48,423830,24,2067,5,TX
48001,48,423860,0,0,2,TX
48001,48,423930,0,0,1,TX
48001,48,424320,0,0,1,TX
48001,48,424450,0,0,1,TX
48001,48,424520,0,0,1,TX
48001,48,424610,0,0,1,TX
48001,48,424710,0,0,1,TX
48001,48,424720,0,0,1,TX
48001,48,424810,0,0,2,TX
48001,48,424910,0,0,1,TX
48001,48,424990,0,0,1,TX
48001,48,425120,0,0,1,TX
48001,48,44----,2069,51185,167,TX
48001,48,441110,195,7805,6,TX
48001,48,441120,43,1296,8,TX
48001,48,441210,0,0,1,TX
48001,48,441228,0,0,1,TX
48001,48,441310,63,1622,9,TX
48001,48,441320,29,1110,6,TX
48001,48,442110,26,673,4,TX
48001,48,442210,9,336,3,TX
48001,48,443141,0,0,1,TX
