fips,fipstate,naics,emp,ap,est,ABBR
49001,49,------,1801,50517,170,UT
49001,49,11----,0,0,1,UT
49001,49,115116,0,0,1,UT
49001,49,21----,0,0,3,UT
49001,49,212234,0,0,2,UT
49001,49,212313,0,0,1,UT
49001,49,22----,0,0,3,UT
49001,49,221116,0,0,1,UT
49001,49,221122,0,0,2,UT
49001,49,23----,100,2893,19,UT
49001,49,236115,28,950,4,UT
49001,49,236117,0,0,1,UT
49001,49,236220,0,0,2,UT
49001,49,238130,0,0,1,UT
49001,49,238210,15,563,4,UT
49001,49,238220,4,172,3,UT
49001,49,238910,0,0,3,UT
49001,49,238990,0,0,1,UT
49001,49,31----,109,4240,6,UT
49001,49,311119,0,0,1,UT
49001,49,311514,0,0,1,UT
49001,49,311611,0,0,1,UT
49001,49,326122,0,0,1,UT
49001,49,332710,0,0,1,UT
49001,49,337110,0,0,1,UT
49001,49,42----,0,0,1,UT
49001,49,423830,0,0,1,UT
49001,49,44----,455,8706,38,UT
49001,49,441110,0,0,1,UT
49001,49,441120,0,0,2,UT
49001,49,441310,4,259,3,UT
49001,49,441320,0,0,1,UT
49001,49,442210,0,0,1,UT
49001,49,444130,0,0,2,UT
49001,49,444190,0,0,1,UT
49001,49,445110,73,887,4,UT
49001,49,445310,0,0,1,UT
49001,49,446110,16,913,3,UT
49001,49,447110,117,2398,9,UT
49001,49,447190,0,0,4,UT
49001,49,451110,0,0,2,UT
49001,49,452112,0,0,1,UT
49001,49,452990,0,0,1,UT
49001,49,454390,0,0,2,UT
49001,49,48----,151,8646,11,UT
49001,49,484121,22,625,5,UT
49001,49,484220,77,3216,3,UT
49001,49,484230,0,0,2,UT
49001,49,492110,0,0,1,UT
49001,49,52----,39,1428,8,UT
49001,49,522110,0,0,3,UT
49001,49,524127,0,0,2,UT
49001,49,524210,8,429,3,UT
49001,49,53----,0,0,2,UT
49001,49,531210,0,0,1,UT
49001,49,532490,0,0,1,UT
49001,49,54----,15,413,7,UT
49001,49,541110,0,0,1,UT
49001,49,541211,0,0,1,UT
49001,49,541219,0,0,1,UT
49001,49,541512,0,0,1,UT
49001,49,541611,0,0,1,UT
49001,49,541860,0,0,1,UT
49001,49,541940,0,0,1,UT
49001,49,56----,27,1067,8,UT
49001,49,561612,0,0,1,UT
49001,49,561621,0,0,1,UT
49001,49,561730,0,0,4,UT
49001,49,561790,0,0,1,UT
49001,49,562111,0,0,1,UT
49001,49,62----,285,8605,20,UT
49001,49,621111,44,2086,9,UT
49001,49,621112,0,0,2,UT
49001,49,621210,0,0,2,UT
49001,49,621310,0,0,1,UT
49001,49,621320,0,0,1,UT
49001,49,621330,0,0,1,UT
49001,49,621340,0,0,1,UT
49001,49,622110,0,0,2,UT
