fips,fipstate,naics,emp,ap,est,ABBR
51001,51,------,8679,247464,733,VA
51001,51,11----,12,496,3,VA
51001,51,114111,0,0,1,VA
51001,51,114112,0,0,1,VA
51001,51,115310,0,0,1,VA
51001,51,22----,0,0,4,VA
51001,51,221112,0,0,1,VA
51001,51,221122,0,0,2,VA
51001,51,221310,0,0,1,VA
51001,51,23----,276,8795,73,VA
51001,51,236115,48,1430,17,VA
51001,51,236118,43,761,15,VA
51001,51,236220,0,0,3,VA
51001,51,237130,0,0,2,VA
51001,51,237990,4,173,3,VA
51001,51,238130,9,471,3,VA
51001,51,238190,0,0,1,VA
51001,51,238210,17,599,9,VA
51001,51,238220,45,1582,9,VA
51001,51,238290,0,0,1,VA
51001,51,238310,0,0,1,VA
51001,51,238330,0,0,1,VA
51001,51,238340,0,0,1,VA
51001,51,238910,49,1679,5,VA
51001,51,238990,0,0,2,VA
51001,51,31----,3047,84346,22,VA
51001,51,311611,0,0,1,VA
51001,51,311613,0,0,1,VA
51001,51,311615,0,0,2,VA
51001,51,311710,0,0,2,VA
51001,51,311811,0,0,1,VA
51001,51,312120,0,0,1,VA
51001,51,321214,0,0,1,VA
51001,51,323113,0,0,1,VA
51001,51,325199,0,0,1,VA
51001,51,326299,0,0,1,VA
51001,51,327320,0,0,2,VA
51001,51,327390,0,0,1,VA
51001,51,331491,0,0,1,VA
51001,51,332312,0,0,1,VA
51001,51,333249,0,0,1,VA
51001,51,336412,0,0,1,VA
51001,51,336413,0,0,1,VA
51001,51,339992,0,0,1,VA
51001,51,339999,0,0,1,VA
51001,51,42----,146,7138,24,VA
51001,51,423120,0,0,2,VA
51001,51,423690,0,0,1,VA
51001,51,423730,0,0,1,VA
51001,51,423820,0,0,2,VA
51001,51,423910,0,0,1,VA
51001,51,423990,0,0,1,VA
51001,51,424210,0,0,1,VA
51001,51,424420,0,0,1,VA
51001,51,424460,5,311,3,VA
51001,51,424480,0,0,1,VA
51001,51,424510,0,0,4,VA
51001,51,424710,0,0,1,VA
51001,51,424810,0,0,1,VA
51001,51,424910,0,0,3,VA
51001,51,424990,0,0,1,VA
51001,51,44----,1388,29826,159,VA
51001,51,441110,0,0,1,VA
51001,51,441120,0,0,2,VA
51001,51,441222,0,0,2,VA
51001,51,441310,56,952,6,VA
51001,51,441320,0,0,2,VA
51001,51,442110,0,0,2,VA
51001,51,442210,0,0,2,VA
51001,51,442299,0,0,1,VA
51001,51,443142,39,592,4,VA
51001,51,444110,0,0,2,VA
51001,51,444130,16,271,3,VA
51001,51,444190,27,926,7,VA
51001,51,444210,0,0,1,VA
51001,51,444220,6,123,3,VA
51001,51,445110,197,3873,9,VA
51001,51,445120,11,114,5,VA
51001,51,445220,0,0,1,VA
51001,51,445292,0,0,1,VA
51001,51,445299,0,0,1,VA
51001,51,445310,0,0,4,VA
51001,51,446110,49,1758,6,VA
51001,51,447110,267,4154,27,VA
51001,51,447190,5,102,3,VA
51001,51,448120,35,452,6,VA
51001,51,448140,0,0,2,VA
51001,51,448190,0,0,4,VA
51001,51,448210,0,0,1,VA
51001,51,448310,0,0,2,VA
51001,51,451110,5,252,4,VA
51001,51,451211,16,294,5,VA
51001,51,452910,0,0,1,VA
51001,51,452990,96,1491,9,VA
51001,51,453110,0,0,1,VA
51001,51,453220,9,146,3,VA
51001,51,453310,14,152,3,VA
51001,51,453910,0,0,1,VA
51001,51,453920,0,0,1,VA
51001,51,453991,25,474,4,VA
51001,51,453998,6,114,4,VA
51001,51,454111,0,0,1,VA
51001,51,454210,0,0,1,VA
51001,51,454310,66,2510,9,VA
51001,51,454390,0,0,2,VA
51001,51,48----,128,4140,16,VA
51001,51,481211,0,0,1,VA
51001,51,484110,0,0,2,VA
51001,51,484121,9,113,3,VA
51001,51,484210,0,0,1,VA
51001,51,484220,15,282,3,VA
51001,51,484230,0,0,2,VA
51001,51,485310,0,0,1,VA
51001,51,485991,0,0,1,VA
51001,51,487210,0,0,1,VA
51001,51,488991,0,0,1,VA
51001,51,51----,86,3514,15,VA
51001,51,511110,10,533,3,VA
51001,51,512131,0,0,1,VA
51001,51,515112,29,554,4,VA
51001,51,517110,0,0,6,VA
51001,51,517919,0,0,1,VA
51001,51,52----,166,8331,33,VA
51001,51,522110,75,3938,12,VA
51001,51,522130,0,0,3,VA
51001,51,522291,7,295,3,VA
51001,51,522292,0,0,1,VA
51001,51,522390,0,0,2,VA
51001,51,523120,0,0,3,VA
51001,51,523930,0,0,2,VA
51001,51,524210,49,2627,6,VA
51001,51,524291,0,0,1,VA
51001,51,53----,107,2704,39,VA
51001,51,531110,18,580,9,VA
51001,51,531120,12,320,3,VA
51001,51,531130,0,0,2,VA
51001,51,531190,0,0,1,VA
51001,51,531210,31,918,13,VA
51001,51,531311,22,214,4,VA
51001,51,531320,3,229,3,VA
51001,51,532111,0,0,1,VA
51001,51,532230,0,0,1,VA
51001,51,532291,0,0,1,VA
51001,51,532292,0,0,1,VA
51001,51,54----,313,16600,54,VA
51001,51,541110,15,497,8,VA
51001,51,541191,0,0,1,VA
51001,51,541211,0,0,2,VA
51001,51,541213,0,0,2,VA
51001,51,541219,9,325,3,VA
51001,51,541330,0,0,4,VA
51001,51,541370,0,0,1,VA
51001,51,541380,0,0,1,VA
51001,51,541430,0,0,1,VA
51001,51,541511,0,0,1,VA
51001,51,541512,150,8595,11,VA
51001,51,541513,0,0,2,VA
51001,51,541519,0,0,1,VA
51001,51,541611,0,0,2,VA
51001,51,541613,0,0,2,VA
51001,51,541620,0,0,2,VA
51001,51,541712,37,2583,5,VA
51001,51,541850,0,0,1,VA
51001,51,541940,47,1382,4,VA
51001,51,55----,0,0,3,VA
51001,51,551114,0,0,3,VA
51001,51,56----,325,9645,27,VA
51001,51,561110,0,0,1,VA
51001,51,561210,0,0,2,VA
51001,51,561320,0,0,1,VA
51001,51,561520,0,0,2,VA
51001,51,561591,0,0,1,VA
51001,51,561710,0,0,3,VA
51001,51,561720,0,0,5,VA
51001,51,561730,45,1529,11,VA
51001,51,561790,0,0,1,VA
51001,51,61----,0,0,3,VA
51001,51,611691,0,0,1,VA
51001,51,611699,0,0,1,VA
51001,51,611710,0,0,1,VA
51001,51,62----,1178,35907,54,VA
51001,51,621111,0,0,1,VA
51001,51,621112,0,0,1,VA
51001,51,621210,50,1930,10,VA
51001,51,621310,5,130,3,VA
51001,51,621320,0,0,1,VA
51001,51,621340,35,1309,4,VA
51001,51,621391,0,0,1,VA
51001,51,621410,0,0,1,VA
51001,51,621420,0,0,1,VA
51001,51,621498,0,0,3,VA
51001,51,621610,263,5959,4,VA
51001,51,621910,0,0,2,VA
51001,51,623110,0,0,2,VA
51001,51,623311,0,0,1,VA
51001,51,623312,0,0,1,VA
51001,51,624110,0,0,1,VA
51001,51,624120,28,533,5,VA
51001,51,624190,0,0,3,VA
51001,51,624210,0,0,1,VA
51001,51,624221,0,0,1,VA
51001,51,624310,0,0,1,VA
51001,51,624410,43,1088,6,VA
51001,51,71----,77,1840,17,VA
51001,51,711110,0,0,1,VA
51001,51,711310,0,0,1,VA
51001,51,711510,0,0,1,VA
51001,51,712110,0,0,2,VA
51001,51,712120,0,0,1,VA
51001,51,713910,0,0,2,VA
51001,51,713930,0,0,2,VA
51001,51,713940,0,0,2,VA
51001,51,713990,2,166,5,VA
51001,51,72----,905,16411,99,VA
51001,51,721110,190,4574,18,VA
51001,51,721191,8,253,5,VA
51001,51,721199,0,0,2,VA
51001,51,721211,34,1255,5,VA
51001,51,722310,0,0,2,VA
51001,51,722330,0,0,3,VA
51001,51,722511,383,6272,37,VA
51001,51,722513,215,2572,18,VA
51001,51,722514,0,0,1,VA
51001,51,722515,21,573,8,VA
51001,51,81----,373,8533,87,VA
51001,51,811111,63,2244,15,VA
51001,51,811112,0,0,1,VA
51001,51,811121,19,533,3,VA
51001,51,811219,0,0,1,VA
51001,51,811310,0,0,1,VA
51001,51,811412,0,0,2,VA
51001,51,811420,1,25,3,VA
51001,51,811490,0,0,1,VA
51001,51,812112,9,135,7,VA
51001,51,812113,0,0,1,VA
51001,51,812210,11,397,3,VA
51001,51,812220,0,0,1,VA
51001,51,812310,0,0,1,VA
51001,51,812320,0,0,1,VA
51001,51,813110,75,1224,27,VA
51001,51,813211,5,76,3,VA
51001,51,813219,0,0,1,VA
51001,51,813312,8,242,3,VA
51001,51,813410,80,672,4,VA
51001,51,813910,8,294,3,VA
51001,51,813920,0,0,1,VA
51001,51,813930,0,0,1,VA
51001,51,813990,46,1469,3,VA
51001,51,99----,0,0,1,VA
51003,51,------,39777,1935903,2715,VA
51003,51,11----,104,3395,22,VA
51003,51,113310,5,168,3,VA
51003,51,115112,0,0,2,VA
51003,51,115115,0,0,2,VA
51003,51,115116,27,793,4,VA
51003,51,115210,26,956,10,VA
51003,51,115310,0,0,1,VA
51003,51,21----,45,3394,5,VA
51003,51,211111,0,0,1,VA
51003,51,212312,0,0,1,VA
51003,51,212313,0,0,2,VA
51003,51,213112,0,0,1,VA
51003,51,22----,0,0,2,VA
51003,51,221122,0,0,1,VA
51003,51,221310,0,0,1,VA
51003,51,23----,2114,101812,280,VA
51003,51,236115,121,5071,35,VA
51003,51,236116,0,0,2,VA
51003,51,236117,136,12797,9,VA
51003,51,236118,209,7680,61,VA
51003,51,236220,74,3955,5,VA
51003,51,237110,44,1691,6,VA
51003,51,237130,0,0,1,VA
51003,51,237210,0,0,1,VA
51003,51,237310,0,0,4,VA
51003,51,237990,0,0,2,VA
51003,51,238110,79,3725,4,VA
51003,51,238130,0,0,1,VA
51003,51,238140,67,2535,10,VA
51003,51,238160,59,3350,7,VA
51003,51,238170,0,0,1,VA
51003,51,238190,0,0,1,VA
51003,51,238210,98,4181,20,VA
51003,51,238220,255,11549,22,VA
51003,51,238310,91,3810,11,VA
51003,51,238320,128,4203,26,VA
51003,51,238330,0,0,2,VA
51003,51,238340,10,448,5,VA
51003,51,238350,51,1806,10,VA
51003,51,238390,17,489,3,VA
51003,51,238910,235,9738,17,VA
51003,51,238990,96,4105,14,VA
51003,51,31----,3013,219368,82,VA
51003,51,311421,0,0,1,VA
51003,51,311811,0,0,2,VA
51003,51,311812,0,0,1,VA
51003,51,312111,0,0,1,VA
51003,51,312120,0,0,2,VA
51003,51,312130,249,7367,19,VA
51003,51,315990,0,0,1,VA
51003,51,316998,0,0,1,VA
51003,51,321113,0,0,2,VA
51003,51,321114,0,0,1,VA
51003,51,321214,0,0,1,VA
51003,51,321918,0,0,1,VA
51003,51,321999,0,0,1,VA
51003,51,322121,0,0,1,VA
51003,51,323111,0,0,2,VA
51003,51,323113,0,0,1,VA
51003,51,323117,0,0,1,VA
51003,51,325314,0,0,1,VA
51003,51,325412,0,0,3,VA
51003,51,326199,0,0,1,VA
51003,51,327320,0,0,1,VA
51003,51,332215,0,0,1,VA
51003,51,332721,0,0,1,VA
51003,51,332722,0,0,1,VA
51003,51,332913,0,0,1,VA
51003,51,332999,0,0,1,VA
51003,51,333249,0,0,1,VA
51003,51,333318,0,0,1,VA
51003,51,333415,0,0,1,VA
51003,51,333611,0,0,1,VA
51003,51,334220,0,0,1,VA
51003,51,334418,0,0,1,VA
51003,51,334419,0,0,2,VA
51003,51,334510,0,0,1,VA
51003,51,334511,0,0,2,VA
51003,51,334515,0,0,2,VA
51003,51,334516,0,0,1,VA
51003,51,334519,0,0,1,VA
51003,51,335314,0,0,1,VA
51003,51,335999,0,0,1,VA
51003,51,337110,22,776,5,VA
51003,51,337910,0,0,1,VA
51003,51,337920,0,0,1,VA
51003,51,339113,0,0,1,VA
51003,51,339114,0,0,1,VA
51003,51,339116,0,0,2,VA
51003,51,339950,0,0,2,VA
51003,51,339992,0,0,1,VA
51003,51,339999,0,0,1,VA
51003,51,42----,956,49746,87,VA
51003,51,423110,0,0,1,VA
51003,51,423120,0,0,2,VA
51003,51,423220,0,0,2,VA
51003,51,423310,0,0,4,VA
51003,51,423320,0,0,2,VA
51003,51,423330,0,0,2,VA
51003,51,423390,0,0,2,VA
51003,51,423420,0,0,5,VA
51003,51,423450,0,0,2,VA
51003,51,423460,0,0,1,VA
51003,51,423520,0,0,1,VA
51003,51,423610,0,0,1,VA
51003,51,423620,0,0,1,VA
51003,51,423690,52,3317,6,VA
51003,51,423720,0,0,3,VA
51003,51,423830,0,0,3,VA
51003,51,423840,0,0,1,VA
51003,51,423850,0,0,1,VA
51003,51,423910,0,0,2,VA
51003,51,423940,0,0,2,VA
51003,51,423990,10,248,3,VA
51003,51,424210,0,0,3,VA
51003,51,424320,0,0,2,VA
51003,51,424330,0,0,2,VA
51003,51,424410,0,0,3,VA
51003,51,424450,0,0,1,VA
51003,51,424480,0,0,2,VA
51003,51,424490,0,0,1,VA
51003,51,424590,0,0,1,VA
51003,51,424610,0,0,1,VA
51003,51,424690,0,0,2,VA
51003,51,424810,0,0,1,VA
51003,51,424820,0,0,4,VA
51003,51,424910,3,205,3,VA
51003,51,424950,0,0,1,VA
51003,51,424990,0,0,1,VA
51003,51,425120,19,1581,12,VA
51003,51,44----,6274,190758,341,VA
51003,51,441110,795,40355,9,VA
51003,51,441120,64,3482,5,VA
51003,51,441228,0,0,1,VA
51003,51,441310,0,0,4,VA
51003,51,441320,0,0,3,VA
51003,51,442110,76,2963,12,VA
51003,51,442210,0,0,2,VA
51003,51,442299,60,1119,9,VA
51003,51,443141,0,0,2,VA
51003,51,443142,90,2787,14,VA
51003,51,444110,0,0,3,VA
51003,51,444120,14,720,4,VA
51003,51,444130,0,0,1,VA
51003,51,444190,193,7934,13,VA
51003,51,444210,0,0,2,VA
51003,51,444220,110,3414,8,VA
51003,51,445110,971,25813,19,VA
51003,51,445120,83,1333,20,VA
51003,51,445210,0,0,2,VA
51003,51,445291,0,0,1,VA
51003,51,445292,0,0,1,VA
51003,51,445299,0,0,2,VA
51003,51,445310,62,1161,7,VA
51003,51,446110,81,2658,6,VA
51003,51,446120,44,933,4,VA
51003,51,446130,33,593,4,VA
51003,51,446191,0,0,2,VA
51003,51,446199,0,0,3,VA
51003,51,447110,278,5651,32,VA
51003,51,447190,15,508,4,VA
51003,51,448110,0,0,3,VA
51003,51,448120,91,830,7,VA
51003,51,448130,0,0,3,VA
51003,51,448140,201,2454,9,VA
51003,51,448150,0,0,2,VA
51003,51,448190,32,688,3,VA
51003,51,448210,94,2613,12,VA
51003,51,448310,44,1063,5,VA
51003,51,451110,179,3431,12,VA
51003,51,451120,54,981,4,VA
51003,51,451130,33,480,5,VA
51003,51,451140,10,266,3,VA
51003,51,451211,0,0,2,VA
51003,51,451212,0,0,1,VA
51003,51,452111,334,6679,3,VA
51003,51,452112,0,0,2,VA
51003,51,452910,0,0,3,VA
51003,51,452990,107,1200,5,VA
51003,51,453110,11,261,3,VA
51003,51,453210,0,0,1,VA
51003,51,453220,27,375,7,VA
51003,51,453310,81,1250,13,VA
51003,51,453910,75,1589,6,VA
51003,51,453930,0,0,2,VA
51003,51,453991,0,0,2,VA
51003,51,453998,37,1059,5,VA
51003,51,454111,0,0,7,VA
51003,51,454113,11,555,3,VA
51003,51,454310,0,0,2,VA
51003,51,454390,27,786,7,VA
51003,51,48----,531,20657,39,VA
