fips,fipstate,naics,emp,ap,est,ABBR
50001,50,------,14006,555958,1164,VT
50001,50,11----,27,858,16,VT
50001,50,113310,14,423,7,VT
50001,50,115112,0,0,4,VT
50001,50,115116,0,0,1,VT
50001,50,115210,0,0,1,VT
50001,50,115310,6,127,3,VT
50001,50,21----,23,1484,6,VT
50001,50,212312,0,0,1,VT
50001,50,212319,0,0,1,VT
50001,50,212321,3,262,4,VT
50001,50,22----,0,0,3,VT
50001,50,221122,0,0,2,VT
50001,50,221310,0,0,1,VT
50001,50,23----,755,37767,176,VT
50001,50,236115,113,6315,19,VT
50001,50,236117,0,0,1,VT
50001,50,236118,96,3416,36,VT
50001,50,236210,0,0,1,VT
50001,50,236220,89,5215,6,VT
50001,50,237130,0,0,1,VT
50001,50,237990,0,0,1,VT
50001,50,238110,8,389,6,VT
50001,50,238120,0,0,1,VT
50001,50,238130,0,0,2,VT
50001,50,238140,6,311,5,VT
50001,50,238160,0,0,1,VT
50001,50,238170,5,271,3,VT
50001,50,238190,0,0,2,VT
50001,50,238210,76,3459,18,VT
50001,50,238220,78,3713,15,VT
50001,50,238290,0,0,2,VT
50001,50,238310,0,0,2,VT
50001,50,238320,30,921,11,VT
50001,50,238350,34,1501,7,VT
50001,50,238910,88,4897,29,VT
50001,50,238990,36,2310,7,VT
50001,50,31----,1680,93524,61,VT
50001,50,311119,0,0,3,VT
50001,50,311213,0,0,1,VT
50001,50,311224,0,0,1,VT
50001,50,311351,0,0,1,VT
50001,50,311352,0,0,2,VT
50001,50,311513,0,0,2,VT
50001,50,311514,0,0,1,VT
50001,50,311611,0,0,1,VT
50001,50,311811,0,0,1,VT
50001,50,311812,0,0,2,VT
50001,50,311821,0,0,1,VT
50001,50,311920,0,0,1,VT
50001,50,311999,0,0,1,VT
50001,50,312111,0,0,1,VT
50001,50,312120,0,0,2,VT
50001,50,312130,0,0,2,VT
50001,50,312140,0,0,2,VT
50001,50,313320,0,0,1,VT
50001,50,314999,0,0,1,VT
50001,50,315990,0,0,1,VT
50001,50,321113,0,0,1,VT
50001,50,321918,0,0,1,VT
50001,50,321992,0,0,2,VT
50001,50,321999,0,0,2,VT
50001,50,323111,0,0,2,VT
50001,50,325611,0,0,1,VT
50001,50,325620,0,0,1,VT
50001,50,326199,0,0,1,VT
50001,50,332710,0,0,2,VT
50001,50,332721,0,0,2,VT
50001,50,332999,0,0,1,VT
50001,50,333249,0,0,1,VT
50001,50,333511,0,0,2,VT
50001,50,334418,0,0,1,VT
50001,50,334510,0,0,2,VT
50001,50,334519,0,0,1,VT
50001,50,335999,0,0,1,VT
50001,50,336612,0,0,1,VT
50001,50,337110,0,0,2,VT
50001,50,337121,0,0,1,VT
50001,50,337127,0,0,1,VT
50001,50,339910,0,0,1,VT
50001,50,339930,0,0,2,VT
50001,50,339999,0,0,1,VT
50001,50,42----,335,17286,39,VT
50001,50,423110,0,0,1,VT
50001,50,423120,0,0,1,VT
50001,50,423310,0,0,2,VT
50001,50,423610,0,0,1,VT
50001,50,423690,0,0,1,VT
50001,50,423820,89,4367,5,VT
50001,50,423920,0,0,2,VT
50001,50,423930,0,0,1,VT
50001,50,423940,0,0,1,VT
50001,50,423990,0,0,2,VT
50001,50,424330,0,0,2,VT
50001,50,424420,0,0,1,VT
50001,50,424450,0,0,1,VT
50001,50,424490,0,0,2,VT
50001,50,424590,0,0,1,VT
50001,50,424820,0,0,2,VT
50001,50,424910,76,5694,6,VT
50001,50,424930,0,0,2,VT
50001,50,424990,0,0,1,VT
50001,50,425120,12,359,4,VT
50001,50,44----,2030,61183,175,VT
50001,50,441110,137,6480,4,VT
50001,50,441120,0,0,1,VT
50001,50,441222,10,461,3,VT
50001,50,441228,14,461,4,VT
50001,50,441310,36,1025,5,VT
50001,50,441320,40,1859,5,VT
50001,50,442110,13,368,3,VT
50001,50,442210,0,0,1,VT
50001,50,442299,6,96,3,VT
50001,50,443141,0,0,2,VT
50001,50,444110,0,0,3,VT
50001,50,444120,0,0,1,VT
50001,50,444130,0,0,3,VT
50001,50,444190,59,3039,3,VT
50001,50,444210,0,0,1,VT
50001,50,444220,67,2675,9,VT
50001,50,445110,712,12053,13,VT
50001,50,445120,18,181,4,VT
50001,50,445210,0,0,1,VT
50001,50,445220,0,0,1,VT
50001,50,445292,0,0,1,VT
50001,50,445299,0,0,1,VT
50001,50,445310,28,744,6,VT
50001,50,446110,107,4455,5,VT
50001,50,446130,0,0,2,VT
50001,50,447110,197,3280,20,VT
50001,50,447190,0,0,1,VT
50001,50,448110,0,0,1,VT
50001,50,448120,8,188,4,VT
