fips,fipstate,naics,emp,ap,est,ABBR
53001,53,------,4516,183730,367,WA
53001,53,11----,140,7293,12,WA
53001,53,115112,24,1472,5,WA
53001,53,115113,0,0,1,WA
53001,53,115114,0,0,1,WA
53001,53,115115,60,3613,5,WA
53001,53,22----,0,0,3,WA
53001,53,221122,0,0,3,WA
53001,53,23----,96,3819,29,WA
53001,53,236115,0,0,1,WA
53001,53,236117,0,0,1,WA
53001,53,236118,4,59,5,WA
53001,53,237110,0,0,2,WA
53001,53,237310,0,0,1,WA
53001,53,237990,0,0,1,WA
53001,53,238130,0,0,2,WA
53001,53,238210,0,0,1,WA
53001,53,238220,0,0,2,WA
53001,53,238320,0,0,2,WA
53001,53,238350,0,0,1,WA
53001,53,238910,37,1602,6,WA
53001,53,238990,6,308,4,WA
53001,53,31----,1056,46757,13,WA
53001,53,311119,0,0,1,WA
53001,53,311224,0,0,1,WA
53001,53,311411,0,0,2,WA
53001,53,311421,0,0,1,WA
53001,53,311611,0,0,1,WA
53001,53,311830,0,0,1,WA
53001,53,311999,0,0,1,WA
53001,53,321920,0,0,1,WA
53001,53,326199,0,0,1,WA
53001,53,332710,0,0,1,WA
53001,53,333111,0,0,2,WA
53001,53,42----,498,29848,34,WA
53001,53,423740,0,0,1,WA
53001,53,423820,147,9396,8,WA
53001,53,423830,0,0,1,WA
53001,53,423990,0,0,1,WA
53001,53,424450,0,0,2,WA
53001,53,424480,0,0,2,WA
53001,53,424510,73,6193,4,WA
53001,53,424690,0,0,1,WA
53001,53,424710,0,0,1,WA
53001,53,424910,167,9542,11,WA
53001,53,424940,0,0,1,WA
53001,53,425120,0,0,1,WA
53001,53,44----,710,17805,51,WA
53001,53,441120,0,0,2,WA
53001,53,441310,29,701,5,WA
53001,53,441320,30,1490,3,WA
53001,53,442110,0,0,1,WA
53001,53,442210,0,0,1,WA
53001,53,443142,0,0,2,WA
53001,53,444130,24,782,3,WA
53001,53,444190,0,0,2,WA
53001,53,444220,0,0,2,WA
53001,53,445110,128,2629,6,WA
53001,53,445230,0,0,1,WA
53001,53,446110,0,0,1,WA
53001,53,447110,161,2684,13,WA
53001,53,447190,0,0,3,WA
53001,53,451130,0,0,1,WA
53001,53,452910,0,0,1,WA
53001,53,452990,0,0,1,WA
53001,53,453110,0,0,1,WA
53001,53,453920,0,0,1,WA
53001,53,454390,0,0,1,WA
53001,53,48----,448,18410,49,WA
53001,53,484110,86,4070,9,WA
53001,53,484121,74,3695,11,WA
53001,53,484210,0,0,1,WA
53001,53,484220,193,5671,20,WA
53001,53,484230,6,335,4,WA
53001,53,486910,0,0,1,WA
53001,53,488410,0,0,1,WA
53001,53,488510,0,0,1,WA
53001,53,493120,0,0,1,WA
53001,53,51----,0,0,4,WA
53001,53,512131,0,0,1,WA
53001,53,517110,0,0,3,WA
53001,53,52----,84,3928,19,WA
53001,53,522110,43,1424,7,WA
53001,53,522298,0,0,1,WA
53001,53,524127,0,0,1,WA
53001,53,524210,35,2027,10,WA
53001,53,53----,28,636,12,WA
53001,53,531110,0,0,2,WA
53001,53,531120,0,0,1,WA
53001,53,531130,0,0,1,WA
53001,53,531190,10,248,3,WA
53001,53,531210,7,133,5,WA
53001,53,54----,53,2022,11,WA
53001,53,541110,7,256,3,WA
53001,53,541211,0,0,2,WA
53001,53,541213,0,0,2,WA
53001,53,541380,30,993,3,WA
53001,53,541613,0,0,1,WA
53001,53,56----,29,685,9,WA
53001,53,561439,0,0,1,WA
53001,53,561720,9,96,3,WA
53001,53,561730,0,0,1,WA
53001,53,561990,0,0,2,WA
53001,53,562111,0,0,1,WA
53001,53,562998,0,0,1,WA
53001,53,61----,0,0,2,WA
53001,53,611110,0,0,1,WA
53001,53,611519,0,0,1,WA
53001,53,62----,803,39724,31,WA
53001,53,621111,0,0,1,WA
53001,53,621210,29,1074,3,WA
53001,53,621310,9,295,3,WA
53001,53,621340,0,0,1,WA
53001,53,621492,0,0,1,WA
53001,53,621498,0,0,2,WA
53001,53,621511,0,0,2,WA
53001,53,622110,0,0,2,WA
53001,53,623110,117,2533,4,WA
53001,53,623312,60,1426,6,WA
53001,53,624210,0,0,1,WA
53001,53,624410,0,0,5,WA
53001,53,71----,22,340,3,WA
53001,53,713910,0,0,1,WA
53001,53,713940,0,0,1,WA
53001,53,713990,0,0,1,WA
53001,53,72----,368,5610,35,WA
53001,53,721110,49,762,7,WA
53001,53,721211,0,0,1,WA
53001,53,722310,0,0,1,WA
53001,53,722511,80,1249,10,WA
53001,53,722513,203,3003,9,WA
53001,53,722514,0,0,1,WA
53001,53,722515,35,535,6,WA
53001,53,81----,130,3382,48,WA
53001,53,811111,18,728,6,WA
53001,53,811121,0,0,2,WA
53001,53,811122,0,0,1,WA
53001,53,811191,0,0,1,WA
53001,53,811192,0,0,2,WA
53001,53,811310,6,146,3,WA
53001,53,812111,0,0,1,WA
53001,53,812112,0,0,2,WA
53001,53,812210,7,328,3,WA
53001,53,812220,0,0,1,WA
53001,53,812910,0,0,1,WA
53001,53,813110,46,940,17,WA
53001,53,813410,7,74,3,WA
53001,53,813910,10,351,4,WA
53001,53,813930,0,0,1,WA
53001,53,99----,0,0,2,WA
53003,53,------,4740,170077,441,WA
53003,53,11----,0,0,1,WA
53003,53,115112,0,0,1,WA
53003,53,22----,0,0,1,WA
53003,53,221122,0,0,1,WA
53003,53,23----,365,25097,64,WA
53003,53,236115,11,192,8,WA
53003,53,236117,0,0,1,WA
53003,53,236118,10,299,8,WA
53003,53,236220,16,726,3,WA
53003,53,237310,61,8076,5,WA
53003,53,238110,8,374,4,WA
53003,53,238130,0,0,2,WA
53003,53,238160,0,0,1,WA
53003,53,238170,0,0,1,WA
53003,53,238210,155,11041,10,WA
53003,53,238220,0,0,3,WA
53003,53,238310,0,0,1,WA
53003,53,238320,17,413,7,WA
53003,53,238330,21,692,3,WA
53003,53,238350,0,0,2,WA
53003,53,238910,0,0,3,WA
53003,53,238990,0,0,2,WA
53003,53,31----,362,11781,26,WA
53003,53,311611,0,0,1,WA
53003,53,311812,0,0,1,WA
53003,53,312120,0,0,1,WA
53003,53,312130,0,0,1,WA
53003,53,321113,0,0,1,WA
53003,53,323111,0,0,1,WA
53003,53,325611,0,0,1,WA
53003,53,327110,0,0,1,WA
53003,53,327331,0,0,1,WA
53003,53,332322,0,0,1,WA
53003,53,332710,0,0,1,WA
53003,53,332999,0,0,2,WA
53003,53,336612,206,6268,5,WA
53003,53,336999,0,0,1,WA
53003,53,337110,26,732,4,WA
53003,53,339115,0,0,1,WA
53003,53,339920,0,0,1,WA
53003,53,339999,0,0,1,WA
53003,53,42----,120,6927,18,WA
53003,53,423130,0,0,1,WA
53003,53,423320,0,0,1,WA
53003,53,423420,0,0,1,WA
53003,53,423610,0,0,2,WA
53003,53,423690,0,0,1,WA
53003,53,423730,0,0,1,WA
53003,53,423860,0,0,1,WA
