fips,fipstate,naics,emp,ap,est,ABBR
55001,55,------,3201,98259,328,WI
55001,55,11----,10,235,9,WI
55001,55,113110,0,0,1,WI
55001,55,113310,5,150,6,WI
55001,55,115210,0,0,1,WI
55001,55,115310,0,0,1,WI
55001,55,22----,0,0,1,WI
55001,55,221122,0,0,1,WI
55001,55,23----,115,5576,40,WI
55001,55,236115,12,529,5,WI
55001,55,236118,0,0,2,WI
55001,55,236220,0,0,1,WI
55001,55,237110,0,0,2,WI
55001,55,237310,0,0,1,WI
55001,55,238110,20,1300,4,WI
55001,55,238130,6,73,3,WI
55001,55,238140,0,0,1,WI
55001,55,238190,0,0,1,WI
55001,55,238210,0,0,1,WI
55001,55,238220,18,628,6,WI
55001,55,238310,0,0,1,WI
55001,55,238320,0,0,1,WI
55001,55,238340,0,0,1,WI
55001,55,238910,33,1400,8,WI
55001,55,238990,0,0,2,WI
55001,55,31----,393,21445,13,WI
55001,55,311514,0,0,1,WI
55001,55,312130,0,0,1,WI
55001,55,316998,0,0,1,WI
55001,55,321992,0,0,2,WI
55001,55,322211,0,0,1,WI
55001,55,326199,0,0,1,WI
55001,55,332993,0,0,1,WI
55001,55,332994,0,0,1,WI
55001,55,335314,0,0,1,WI
55001,55,336320,0,0,1,WI
55001,55,336991,0,0,1,WI
55001,55,339950,0,0,1,WI
55001,55,42----,22,547,7,WI
55001,55,423310,0,0,1,WI
55001,55,423710,0,0,1,WI
55001,55,423910,0,0,1,WI
55001,55,423930,0,0,1,WI
55001,55,423990,0,0,1,WI
55001,55,424910,0,0,1,WI
55001,55,425120,0,0,1,WI
55001,55,44----,489,15346,42,WI
55001,55,441110,0,0,1,WI
55001,55,441120,0,0,1,WI
55001,55,441210,0,0,1,WI
55001,55,441222,0,0,2,WI
55001,55,441228,0,0,2,WI
55001,55,441310,0,0,1,WI
55001,55,442210,0,0,1,WI
55001,55,443142,0,0,2,WI
55001,55,444130,0,0,1,WI
55001,55,444190,19,671,4,WI
55001,55,444220,0,0,1,WI
55001,55,445110,0,0,1,WI
55001,55,445310,0,0,1,WI
55001,55,446110,0,0,1,WI
55001,55,447110,110,2404,8,WI
55001,55,448120,0,0,1,WI
55001,55,452990,39,819,4,WI
55001,55,453220,0,0,1,WI
55001,55,453310,0,0,1,WI
