fips,fipstate,naics,emp,ap,est,ABBR
54001,54,------,3092,89132,213,WV
54001,54,11----,3,99,3,WV
54001,54,113310,3,99,3,WV
54001,54,21----,0,0,3,WV
54001,54,211111,0,0,2,WV
54001,54,212112,0,0,1,WV
54001,54,23----,77,2347,22,WV
54001,54,236115,12,269,5,WV
54001,54,236116,0,0,1,WV
54001,54,236118,4,116,5,WV
54001,54,236220,0,0,2,WV
54001,54,238140,0,0,1,WV
54001,54,238210,0,0,1,WV
54001,54,238220,0,0,2,WV
54001,54,238310,0,0,1,WV
54001,54,238350,0,0,1,WV
54001,54,238910,36,1423,3,WV
54001,54,31----,106,3151,8,WV
54001,54,311611,0,0,1,WV
54001,54,311612,0,0,1,WV
54001,54,321113,0,0,2,WV
54001,54,321114,0,0,1,WV
54001,54,321912,0,0,1,WV
54001,54,321999,0,0,1,WV
54001,54,326199,0,0,1,WV
54001,54,42----,30,1231,5,WV
54001,54,423120,0,0,1,WV
54001,54,423310,0,0,1,WV
54001,54,424450,0,0,2,WV
54001,54,424490,0,0,1,WV
54001,54,44----,336,7576,34,WV
54001,54,441110,0,0,2,WV
54001,54,441120,0,0,1,WV
54001,54,441310,0,0,3,WV
54001,54,441320,0,0,1,WV
54001,54,442210,0,0,1,WV
54001,54,444110,0,0,1,WV
54001,54,444190,0,0,1,WV
54001,54,445110,0,0,3,WV
54001,54,445299,0,0,1,WV
54001,54,446110,0,0,2,WV
54001,54,447110,71,1434,7,WV
54001,54,452990,0,0,4,WV
54001,54,453110,0,0,2,WV
54001,54,453210,0,0,1,WV
54001,54,453220,0,0,1,WV
54001,54,453991,0,0,1,WV
54001,54,453998,0,0,1,WV
54001,54,454310,0,0,1,WV
54001,54,48----,43,1310,10,WV
54001,54,484220,41,1084,9,WV
54001,54,486210,0,0,1,WV
54001,54,51----,0,0,3,WV
54001,54,511110,0,0,1,WV
54001,54,517110,0,0,2,WV
54001,54,52----,72,2711,8,WV
54001,54,522110,65,2468,4,WV
54001,54,523920,0,0,1,WV
54001,54,524210,0,0,3,WV
54001,54,53----,14,408,7,WV
54001,54,531110,0,0,2,WV
54001,54,531130,0,0,1,WV
54001,54,531311,0,0,1,WV
54001,54,531312,0,0,1,WV
54001,54,531320,0,0,2,WV
54001,54,54----,75,2339,14,WV
54001,54,541110,0,0,2,WV
54001,54,541211,10,157,4,WV
54001,54,541219,0,0,2,WV
54001,54,541330,0,0,2,WV
54001,54,541380,0,0,1,WV
54001,54,541611,0,0,2,WV
54001,54,541940,0,0,1,WV
54001,54,55----,58,1837,3,WV
54001,54,551111,0,0,1,WV
54001,54,551114,0,0,2,WV
54001,54,56----,59,5929,8,WV
54001,54,561210,0,0,1,WV
54001,54,561311,0,0,1,WV
54001,54,561710,0,0,1,WV
54001,54,561720,0,0,1,WV
