fips,fipstate,naics,emp,ap,est,ABBR
56001,56,------,9743,326707,1041,WY
56001,56,11----,41,1061,6,WY
56001,56,113310,0,0,1,WY
56001,56,114112,0,0,1,WY
56001,56,115112,0,0,1,WY
56001,56,115210,0,0,2,WY
56001,56,115310,0,0,1,WY
56001,56,21----,6,434,4,WY
56001,56,211111,0,0,2,WY
56001,56,213111,0,0,2,WY
56001,56,22----,41,2576,8,WY
56001,56,221115,0,0,1,WY
56001,56,221122,0,0,5,WY
56001,56,221210,0,0,1,WY
56001,56,221310,0,0,1,WY
56001,56,23----,718,32293,116,WY
56001,56,236115,48,1677,14,WY
56001,56,236117,11,284,4,WY
56001,56,236118,38,1369,17,WY
56001,56,236210,0,0,1,WY
56001,56,236220,118,6432,9,WY
56001,56,237110,0,0,1,WY
56001,56,237130,0,0,1,WY
56001,56,238110,28,1018,4,WY
56001,56,238130,0,0,2,WY
56001,56,238140,33,1314,4,WY
56001,56,238160,60,4533,5,WY
56001,56,238190,0,0,1,WY
56001,56,238210,55,2461,5,WY
56001,56,238220,119,4364,18,WY
56001,56,238290,0,0,2,WY
56001,56,238310,12,311,6,WY
56001,56,238320,0,0,3,WY
56001,56,238330,10,391,3,WY
56001,56,238350,29,1248,4,WY
56001,56,238910,70,3197,11,WY
56001,56,238990,0,0,1,WY
56001,56,31----,395,21830,38,WY
56001,56,311611,0,0,1,WY
56001,56,311812,0,0,3,WY
56001,56,321113,0,0,1,WY
56001,56,321214,0,0,1,WY
56001,56,321912,0,0,1,WY
56001,56,323111,0,0,1,WY
56001,56,323113,0,0,2,WY
56001,56,325411,0,0,1,WY
56001,56,325413,0,0,1,WY
56001,56,325612,0,0,1,WY
56001,56,327310,0,0,1,WY
56001,56,327320,0,0,1,WY
56001,56,331222,0,0,1,WY
56001,56,332322,0,0,1,WY
56001,56,332721,0,0,1,WY
56001,56,332996,0,0,1,WY
56001,56,332999,0,0,1,WY
56001,56,333132,0,0,1,WY
56001,56,333314,0,0,1,WY
56001,56,333414,0,0,1,WY
56001,56,334111,0,0,1,WY
56001,56,334413,0,0,1,WY
56001,56,334516,0,0,2,WY
56001,56,334519,0,0,1,WY
56001,56,336310,0,0,1,WY
56001,56,337110,10,290,4,WY
56001,56,337121,0,0,1,WY
56001,56,337122,0,0,1,WY
56001,56,339113,0,0,1,WY
56001,56,339930,0,0,1,WY
56001,56,339950,0,0,1,WY
56001,56,42----,127,5281,24,WY
56001,56,423110,0,0,1,WY
56001,56,423140,0,0,1,WY
56001,56,423310,0,0,1,WY
56001,56,423390,0,0,1,WY
56001,56,423420,0,0,2,WY
56001,56,423610,0,0,2,WY
56001,56,423720,0,0,1,WY
56001,56,423730,0,0,2,WY
56001,56,423840,0,0,1,WY
56001,56,423930,0,0,2,WY
56001,56,423990,0,0,2,WY
56001,56,424120,0,0,1,WY
56001,56,424450,0,0,1,WY
56001,56,424480,0,0,1,WY
56001,56,424490,0,0,1,WY
56001,56,424690,0,0,1,WY
56001,56,424710,0,0,1,WY
56001,56,424810,0,0,1,WY
56001,56,424910,0,0,1,WY
56001,56,44----,1844,43032,138,WY
56001,56,441110,260,7860,3,WY
56001,56,441120,0,0,1,WY
56001,56,441228,46,1346,4,WY
56001,56,441310,31,870,4,WY
56001,56,441320,21,651,3,WY
56001,56,442110,0,0,2,WY
56001,56,442210,0,0,3,WY
56001,56,442299,0,0,1,WY
56001,56,443142,42,899,8,WY
56001,56,444120,0,0,2,WY
56001,56,444130,49,1255,3,WY
56001,56,444190,43,1504,7,WY
56001,56,444220,0,0,3,WY
56001,56,445110,225,4345,3,WY
56001,56,445120,0,0,1,WY
56001,56,445210,0,0,1,WY
56001,56,445291,0,0,1,WY
56001,56,445292,0,0,1,WY
56001,56,445299,0,0,1,WY
56001,56,445310,52,770,5,WY
56001,56,446110,0,0,2,WY
56001,56,446120,0,0,1,WY
56001,56,446130,0,0,1,WY
56001,56,446191,0,0,2,WY
56001,56,446199,0,0,1,WY
56001,56,447110,110,1592,12,WY
56001,56,447190,168,3567,6,WY
56001,56,448120,17,119,3,WY
56001,56,448130,0,0,1,WY
56001,56,448140,24,386,4,WY
56001,56,448190,11,210,3,WY
56001,56,448210,0,0,2,WY
56001,56,448310,0,0,1,WY
56001,56,451110,13,197,3,WY
56001,56,451120,0,0,2,WY
56001,56,451130,18,50,3,WY
56001,56,451211,0,0,2,WY
56001,56,452112,0,0,1,WY
56001,56,452910,0,0,1,WY
56001,56,452990,0,0,1,WY
56001,56,453110,19,168,3,WY
56001,56,453220,0,0,1,WY
56001,56,453310,31,528,5,WY
56001,56,453910,0,0,1,WY
56001,56,453920,5,76,3,WY
56001,56,453930,0,0,1,WY
56001,56,453991,0,0,3,WY
56001,56,453998,0,0,2,WY
56001,56,454111,0,0,1,WY
56001,56,454113,0,0,1,WY
56001,56,454310,0,0,2,WY
56001,56,454390,16,234,6,WY
56001,56,48----,194,8433,21,WY
56001,56,481111,0,0,1,WY
56001,56,484110,0,0,3,WY
56001,56,484122,0,0,1,WY
56001,56,484210,0,0,1,WY
56001,56,484220,0,0,2,WY
56001,56,484230,9,455,3,WY
56001,56,486210,0,0,1,WY
56001,56,488410,42,1990,5,WY
56001,56,488490,0,0,1,WY
56001,56,492110,0,0,2,WY
56001,56,493110,0,0,1,WY
56001,56,51----,140,8508,17,WY
56001,56,511210,0,0,1,WY
56001,56,515111,0,0,3,WY
56001,56,515112,0,0,1,WY
56001,56,517110,24,1272,6,WY
56001,56,517210,0,0,2,WY
56001,56,517919,0,0,1,WY
56001,56,518210,0,0,3,WY
56001,56,52----,495,27301,54,WY
56001,56,522110,66,3666,7,WY
56001,56,522130,109,5011,5,WY
56001,56,522190,0,0,1,WY
56001,56,522291,0,0,1,WY
56001,56,522298,0,0,2,WY
56001,56,522310,9,595,3,WY
56001,56,522390,5,92,3,WY
56001,56,523120,0,0,6,WY
56001,56,523920,0,0,1,WY
56001,56,523930,0,0,2,WY
56001,56,524113,0,0,1,WY
56001,56,524114,0,0,1,WY
56001,56,524126,0,0,2,WY
56001,56,524127,0,0,2,WY
56001,56,524210,51,2243,17,WY
56001,56,53----,158,4024,56,WY
56001,56,531110,72,1203,18,WY
56001,56,531120,14,406,5,WY
56001,56,531130,0,0,2,WY
56001,56,531190,0,0,2,WY
