fipstate,naics,emp,ap,est
1,------,1673249,68970623,99584
1,11----,6534,255825,814
1,113110,59,2279,49
1,113210,0,0,7
1,113310,3906,157765,530
1,114111,0,0,3
1,114112,13,637,13
1,114210,0,0,9
1,115111,0,0,13
1,115112,0,0,16
1,115113,0,0,1
1,115114,0,0,10
1,115115,0,0,2
1,115210,130,3668,42
1,115310,498,18456,119
1,21----,4213,297447,214
1,211111,119,10988,28
1,211112,0,0,2
1,212111,365,23849,19
1,212112,0,0,8
1,212299,0,0,3
1,212312,331,20253,41
1,212313,0,0,4
1,212319,0,0,8
1,212321,0,0,25
1,212322,0,0,3
1,212325,0,0,3
1,212399,0,0,3
1,213111,55,2844,13
1,213112,806,48915,44
1,213113,0,0,5
1,213114,0,0,2
1,213115,0,0,3
1,22----,3602,288853,353
1,221111,0,0,13
1,221112,0,0,27
1,221113,0,0,2
1,221117,0,0,3
1,221118,0,0,2
1,221121,0,0,9
1,221122,0,0,193
1,221210,0,0,29
1,221310,127,5378,57
1,221320,0,0,17
1,221330,0,0,1
1,23----,81364,3996442,7424
1,236115,1462,59460,479
1,236116,223,20150,37
1,236117,1231,79819,204
1,236118,2249,83816,661
1,236210,5261,245757,71
1,236220,8867,626081,591
1,237110,1177,59682,131
1,237120,367,23021,35
1,237130,911,51376,94
1,237210,391,20414,98
1,237310,3729,179904,176
1,237990,679,28987,86
1,238110,1647,74454,189
1,238120,486,24243,53
1,238130,158,4775,84
1,238140,1271,62242,158
1,238150,432,21835,60
1,238160,1320,45831,198
1,238170,165,5911,73
1,238190,210,7393,53
1,238210,9874,449685,833
1,238220,13108,584934,1351
1,238290,1534,88993,99
1,238310,2730,125301,179
1,238320,1192,44229,249
1,238330,502,21155,112
1,238340,245,11186,67
1,238350,834,26573,209
1,238390,416,17264,64
1,238910,5343,247398,439
1,238990,1905,86804,291
1,31----,248169,12525517,4109
1,311111,0,0,5
1,311119,184,9755,32
1,311211,0,0,7
1,311224,0,0,4
1,311225,0,0,2
1,311314,0,0,3
1,311340,0,0,1
1,311352,22,348,11
1,311411,0,0,1
1,311412,0,0,1
1,311421,0,0,4
1,311423,0,0,1
1,311511,0,0,2
1,311513,0,0,2
1,311514,0,0,1
1,311520,0,0,3
1,311611,0,0,22
1,311612,0,0,13
1,311613,0,0,7
1,311615,8855,246529,33
1,311710,395,12066,20
1,311811,234,3990,56
1,311812,0,0,18
1,311821,0,0,2
1,311824,0,0,2
1,311911,0,0,3
1,311919,0,0,1
1,311920,0,0,4
1,311930,0,0,2
1,311941,0,0,6
1,311942,0,0,4
1,311991,0,0,2
1,311999,0,0,6
1,312111,0,0,4
1,312113,0,0,8
1,312120,175,4324,22
1,312130,0,0,4
1,312140,0,0,3
1,312230,0,0,1
1,313110,0,0,7
1,313210,0,0,6
1,313220,0,0,2
1,313230,0,0,2
1,313240,0,0,1
1,313310,0,0,6
1,313320,0,0,1
1,314110,0,0,4
1,314120,42,1302,21
1,314910,88,3162,22
1,314994,0,0,7
1,314999,16,238,30
1,315110,1136,27088,17
1,315210,0,0,8
1,315220,0,0,7
1,315240,0,0,3
1,315280,0,0,5
1,315990,0,0,4
1,316110,0,0,2
1,316998,22,467,10
1,321113,1517,63349,80
1,321114,0,0,18
1,321211,153,5117,8
1,321212,0,0,7
1,321213,0,0,7
1,321214,0,0,16
1,321219,0,0,8
1,321911,0,0,22
1,321912,391,12037,33
1,321918,0,0,21
1,321920,281,11413,56
1,321991,1250,40623,19
1,321992,0,0,11
1,321999,31,702,25
1,322110,0,0,3
1,322121,0,0,5
1,322130,0,0,9
1,322211,701,34917,18
1,322212,0,0,9
1,322219,0,0,3
1,322220,0,0,7
1,322230,0,0,1
1,322299,0,0,2
1,323111,2360,94338,212
1,323113,382,10273,108
1,323117,15,516,4
1,323120,34,1576,12
1,324110,0,0,3
1,324121,55,3363,12
1,324122,354,30480,10
1,324191,0,0,2
1,324199,572,39545,3
1,325110,0,0,1
1,325120,72,3835,14
1,325130,0,0,1
1,325180,509,40875,20
1,325194,0,0,3
1,325199,0,0,17
1,325211,874,69247,20
1,325212,0,0,1
1,325220,0,0,8
1,325311,0,0,6
1,325312,0,0,3
1,325314,0,0,11
1,325320,0,0,2
1,325411,0,0,5
1,325412,0,0,8
1,325414,0,0,3
1,325510,156,11654,22
1,325520,0,0,5
1,325611,0,0,4
1,325612,0,0,4
1,325613,0,0,2
1,325620,0,0,4
1,325910,0,0,3
1,325920,0,0,2
1,325991,0,0,4
1,325992,0,0,2
1,325998,0,0,15
1,326111,0,0,6
1,326112,0,0,3
1,326113,0,0,6
1,326121,0,0,4
1,326122,105,5316,9
1,326130,0,0,3
1,326140,0,0,5
1,326150,0,0,6
1,326160,0,0,5
1,326191,0,0,10
1,326199,3436,179732,78
1,326211,0,0,5
1,326212,0,0,10
1,326220,0,0,8
1,326291,0,0,6
1,326299,125,5808,14
1,327110,0,0,3
1,327120,415,26238,21
1,327212,0,0,2
1,327215,0,0,10
1,327310,0,0,6
1,327320,441,18682,105
1,327331,0,0,13
1,327332,0,0,8
1,327390,102,4151,35
1,327410,426,32119,7
1,327420,0,0,2
1,327910,0,0,4
1,327991,112,4171,35
1,327992,0,0,6
1,327993,63,3013,7
1,327999,0,0,5
1,331110,937,75958,17
1,331210,0,0,14
1,331221,0,0,4
1,331222,0,0,2
1,331314,0,0,7
1,331315,0,0,3
1,331318,0,0,8
1,331410,0,0,5
1,331420,0,0,3
1,331491,0,0,4
1,331492,0,0,6
1,331511,785,37266,19
1,331512,0,0,1
1,331513,0,0,7
1,331523,0,0,5
1,331524,0,0,3
1,331529,0,0,1
1,332111,0,0,2
1,332114,288,13495,11
1,332117,0,0,1
1,332119,228,8933,21
1,332215,0,0,3
1,332216,0,0,6
1,332311,32,1275,28
1,332312,2206,114453,116
1,332313,606,24377,39
1,332321,0,0,15
1,332322,650,28598,68
1,332323,242,11376,47
1,332410,0,0,4
1,332420,110,5319,12
1,332431,0,0,2
1,332439,0,0,7
1,332510,0,0,7
1,332613,0,0,3
1,332618,0,0,8
1,332710,3654,161610,302
1,332721,222,11489,36
1,332722,192,7146,8
1,332811,0,0,11
1,332812,474,23646,29
1,332813,192,7247,23
1,332911,0,0,9
1,332912,0,0,2
1,332913,0,0,1
1,332919,0,0,3
1,332991,0,0,2
1,332992,31,1701,5
1,332993,0,0,1
1,332994,0,0,4
1,332996,125,7808,17
1,332999,512,19563,40
1,333111,0,0,10
1,333112,0,0,3
1,333120,0,0,7
1,333131,0,0,1
1,333132,0,0,2
1,333241,0,0,2
1,333242,0,0,1
1,333243,46,2753,13
1,333244,0,0,1
1,333249,0,0,10
1,333314,0,0,4
1,333316,0,0,3
1,333318,27,856,17
1,333413,0,0,8
1,333414,0,0,5
1,333415,0,0,8
1,333511,111,6489,18
1,333514,442,16481,22
1,333515,0,0,4
1,333517,54,2753,8
1,333519,0,0,4
1,333611,0,0,2
1,333612,0,0,3
1,333613,0,0,3
1,333618,0,0,8
1,333911,0,0,4
1,333912,0,0,4
1,333913,0,0,1
1,333921,0,0,2
1,333922,38,1980,19
1,333923,0,0,5
1,333924,0,0,7
1,333992,0,0,4
1,333993,0,0,7
1,333994,0,0,5
1,333995,0,0,10
1,333996,0,0,3
1,333997,0,0,2
1,333999,69,3335,16
1,334111,0,0,2
1,334112,0,0,2
1,334118,0,0,4
1,334210,0,0,3
1,334220,0,0,9
1,334290,0,0,5
1,334310,0,0,1
1,334413,0,0,2
1,334416,0,0,3
1,334418,1078,41719,14
1,334419,0,0,11
1,334510,53,2749,4
1,334511,0,0,7
1,334512,0,0,3
1,334513,0,0,1
1,334514,0,0,3
1,334515,0,0,7
1,334516,19,1606,6
1,334517,0,0,1
1,334519,0,0,2
1,334614,0,0,3
1,335121,0,0,4
1,335122,0,0,2
1,335129,0,0,3
1,335210,0,0,1
1,335222,0,0,1
1,335228,0,0,1
1,335311,0,0,4
1,335312,0,0,6
1,335313,0,0,10
1,335314,306,21831,8
1,335912,0,0,1
1,335921,0,0,1
1,335929,0,0,1
1,335931,0,0,3
1,335932,0,0,6
1,335991,0,0,5
1,335999,0,0,8
1,336111,0,0,2
1,336112,0,0,3
1,336211,465,23837,16
