fipstate,emp,ap,est
1,4512940,182665244,298568
2,723939,40884784,63191
4,6956208,308771096,417113
5,2639513,101502135,196717
6,42824926,2591287817,2764485
8,6619790,341405054,495512
9,4413963,268531832,268092
10,1144999,60098087,76046
11,1564866,117863472,69447
12,23842925,1056189541,1637918
13,10469790,502847033,684593
15,1532012,65841670,97002
16,1502325,58204609,137392
17,15718225,837004333,958333
18,7298169,307857563,438051
19,3505250,145015149,244548
20,3162600,135997533,224504
21,4191457,167808890,275580
22,4716715,203401211,317058
23,1397654,57580187,123446
24,6553804,348484463,415188
25,9518013,597730050,532313
26,10664900,506724954,660389
27,7320577,373070097,450079
28,2427055,87017445,176438
29,6812523,302169489,480985
30,984787,37212160,112803
31,2417980,102847164,162701
32,3391517,141580346,194334
33,1625347,78157957,113536
34,10474694,610480353,695585
35,1737264,68149118,131245
36,23650452,1512424490,1630975
37,10408018,463951087,681589
38,906873,41251953,73756
39,13354824,601512578,756256
40,3719829,155160759,279576
41,4383490,208334383,343321
42,15106384,731355582,904024
44,1234144,56403761,86006
45,4663048,182453375,317657
46,921671,36012141,80184
47,7067763,311483516,405780
48,29918649,1510188863,1736461
49,3478164,151802751,232418
50,695179,27978825,63474
51,8900586,465708282,598211
53,7700591,448339394,557927
54,1406500,52662111,109760
55,6885992,310942219,422274
56,549570,24120965,62830
