POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
6037,6,37,California,Los Angeles County,1003,1.0,3.0,Alabama,Baldwin County,29,43,CA
6093,6,93,California,Siskiyou County,1007,1.0,7.0,Alabama,Bibb County,7,11,CA
6029,6,29,California,Kern County,1045,1.0,45.0,Alabama,Dale County,18,30,CA
6059,6,59,California,Orange County,1073,1.0,73.0,Alabama,Jefferson County,8,14,CA
6067,6,67,California,Sacramento County,1073,1.0,73.0,Alabama,Jefferson County,9,16,CA
6037,6,37,California,Los Angeles County,1081,1.0,81.0,Alabama,Lee County,13,23,CA
6001,6,1,California,Alameda County,1089,1.0,89.0,Alabama,Madison County,4,6,CA
6075,6,75,California,San Francisco County,1089,1.0,89.0,Alabama,Madison County,18,28,CA
6037,6,37,California,Los Angeles County,1097,1.0,97.0,Alabama,Mobile County,7,11,CA
6071,6,71,California,San Bernardino County,1097,1.0,97.0,Alabama,Mobile County,8,12,CA
6065,6,65,California,Riverside County,1101,1.0,101.0,Alabama,Montgomery County,10,16,CA
6095,6,95,California,Solano County,1117,1.0,117.0,Alabama,Shelby County,8,13,CA
6065,6,65,California,Riverside County,1125,1.0,125.0,Alabama,Tuscaloosa County,26,42,CA
6071,6,71,California,San Bernardino County,1125,1.0,125.0,Alabama,Tuscaloosa County,26,44,CA
6077,6,77,California,San Joaquin County,2013,2.0,13.0,Alaska,Aleutians East Borough,7,15,CA
6019,6,19,California,Fresno County,2016,2.0,16.0,Alaska,Aleutians West Census Area,17,26,CA
6029,6,29,California,Kern County,2016,2.0,16.0,Alaska,Aleutians West Census Area,17,26,CA
6065,6,65,California,Riverside County,2016,2.0,16.0,Alaska,Aleutians West Census Area,12,19,CA
6073,6,73,California,San Diego County,2016,2.0,16.0,Alaska,Aleutians West Census Area,41,35,CA
6077,6,77,California,San Joaquin County,2016,2.0,16.0,Alaska,Aleutians West Census Area,13,43,CA
6007,6,7,California,Butte County,2020,2.0,20.0,Alaska,Anchorage Municipality,3,6,CA
6013,6,13,California,Contra Costa County,2020,2.0,20.0,Alaska,Anchorage Municipality,10,16,CA
6029,6,29,California,Kern County,2020,2.0,20.0,Alaska,Anchorage Municipality,7,11,CA
6055,6,55,California,Napa County,2020,2.0,20.0,Alaska,Anchorage Municipality,28,36,CA
6065,6,65,California,Riverside County,2020,2.0,20.0,Alaska,Anchorage Municipality,16,25,CA
6067,6,67,California,Sacramento County,2020,2.0,20.0,Alaska,Anchorage Municipality,7,13,CA
6071,6,71,California,San Bernardino County,2020,2.0,20.0,Alaska,Anchorage Municipality,47,49,CA
6073,6,73,California,San Diego County,2020,2.0,20.0,Alaska,Anchorage Municipality,116,95,CA
6075,6,75,California,San Francisco County,2020,2.0,20.0,Alaska,Anchorage Municipality,21,35,CA
6083,6,83,California,Santa Barbara County,2020,2.0,20.0,Alaska,Anchorage Municipality,9,15,CA
6085,6,85,California,Santa Clara County,2020,2.0,20.0,Alaska,Anchorage Municipality,18,27,CA
6089,6,89,California,Shasta County,2020,2.0,20.0,Alaska,Anchorage Municipality,6,10,CA
6105,6,105,California,Trinity County,2020,2.0,20.0,Alaska,Anchorage Municipality,4,6,CA
6107,6,107,California,Tulare County,2020,2.0,20.0,Alaska,Anchorage Municipality,10,18,CA
6057,6,57,California,Nevada County,2070,2.0,70.0,Alaska,Dillingham Census Area,2,3,CA
6073,6,73,California,San Diego County,2122,2.0,122.0,Alaska,Kenai Peninsula Borough,28,35,CA
6083,6,83,California,Santa Barbara County,2122,2.0,122.0,Alaska,Kenai Peninsula Borough,14,23,CA
6103,6,103,California,Tehama County,2122,2.0,122.0,Alaska,Kenai Peninsula Borough,3,4,CA
6111,6,111,California,Ventura County,2150,2.0,150.0,Alaska,Kodiak Island Borough,10,16,CA
6037,6,37,California,Los Angeles County,2170,2.0,170.0,Alaska,Matanuska-Susitna Borough,83,81,CA
6065,6,65,California,Riverside County,2170,2.0,170.0,Alaska,Matanuska-Susitna Borough,22,27,CA
6019,6,19,California,Fresno County,2185,2.0,185.0,Alaska,North Slope Borough,9,14,CA
6037,6,37,California,Los Angeles County,2185,2.0,185.0,Alaska,North Slope Borough,6,11,CA
6057,6,57,California,Nevada County,2185,2.0,185.0,Alaska,North Slope Borough,12,19,CA
6059,6,59,California,Orange County,2185,2.0,185.0,Alaska,North Slope Borough,9,15,CA
6065,6,65,California,Riverside County,2185,2.0,185.0,Alaska,North Slope Borough,2,3,CA
6071,6,71,California,San Bernardino County,2185,2.0,185.0,Alaska,North Slope Borough,27,30,CA
6073,6,73,California,San Diego County,2185,2.0,185.0,Alaska,North Slope Borough,11,18,CA
6093,6,93,California,Siskiyou County,2185,2.0,185.0,Alaska,North Slope Borough,3,4,CA
6111,6,111,California,Ventura County,2185,2.0,185.0,Alaska,North Slope Borough,18,28,CA
6073,6,73,California,San Diego County,2230,2.0,230.0,Alaska,Skagway Municipality,11,17,CA
6037,6,37,California,Los Angeles County,2261,2.0,261.0,Alaska,Valdez-Cordova Census Area,18,22,CA
6077,6,77,California,San Joaquin County,2261,2.0,261.0,Alaska,Valdez-Cordova Census Area,28,32,CA
6059,6,59,California,Orange County,2290,2.0,290.0,Alaska,Yukon-Koyukuk Census Area,9,15,CA
6053,6,53,California,Monterey County,4003,4.0,3.0,Arizona,Cochise County,7,12,CA
6065,6,65,California,Riverside County,4003,4.0,3.0,Arizona,Cochise County,9,15,CA
6067,6,67,California,Sacramento County,4003,4.0,3.0,Arizona,Cochise County,15,23,CA
6099,6,99,California,Stanislaus County,4003,4.0,3.0,Arizona,Cochise County,13,21,CA
6025,6,25,California,Imperial County,4005,4.0,5.0,Arizona,Coconino County,20,32,CA
6037,6,37,California,Los Angeles County,4005,4.0,5.0,Arizona,Coconino County,15,17,CA
6053,6,53,California,Monterey County,4005,4.0,5.0,Arizona,Coconino County,6,10,CA
6065,6,65,California,Riverside County,4005,4.0,5.0,Arizona,Coconino County,8,13,CA
6073,6,73,California,San Diego County,4005,4.0,5.0,Arizona,Coconino County,30,28,CA
6079,6,79,California,San Luis Obispo County,4005,4.0,5.0,Arizona,Coconino County,7,13,CA
6037,6,37,California,Los Angeles County,4011,4.0,11.0,Arizona,Greenlee County,9,16,CA
6025,6,25,California,Imperial County,4012,4.0,12.0,Arizona,La Paz County,8,12,CA
6065,6,65,California,Riverside County,4012,4.0,12.0,Arizona,La Paz County,275,107,CA
6071,6,71,California,San Bernardino County,4012,4.0,12.0,Arizona,La Paz County,183,56,CA
6073,6,73,California,San Diego County,4012,4.0,12.0,Arizona,La Paz County,17,27,CA
6001,6,1,California,Alameda County,4013,4.0,13.0,Arizona,Maricopa County,106,48,CA
6013,6,13,California,Contra Costa County,4013,4.0,13.0,Arizona,Maricopa County,32,54,CA
6017,6,17,California,El Dorado County,4013,4.0,13.0,Arizona,Maricopa County,19,33,CA
6019,6,19,California,Fresno County,4013,4.0,13.0,Arizona,Maricopa County,13,15,CA
6025,6,25,California,Imperial County,4013,4.0,13.0,Arizona,Maricopa County,32,51,CA
6029,6,29,California,Kern County,4013,4.0,13.0,Arizona,Maricopa County,127,113,CA
