POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
8001,8,1,Colorado,Adams County,1043,1.0,43.0,Alabama,Cullman County,2,5,CO
8035,8,35,Colorado,Douglas County,1043,1.0,43.0,Alabama,Cullman County,7,15,CO
8049,8,49,Colorado,Grand County,1043,1.0,43.0,Alabama,Cullman County,8,19,CO
8081,8,81,Colorado,Moffat County,1043,1.0,43.0,Alabama,Cullman County,4,10,CO
8035,8,35,Colorado,Douglas County,1073,1.0,73.0,Alabama,Jefferson County,9,14,CO
8041,8,41,Colorado,El Paso County,1073,1.0,73.0,Alabama,Jefferson County,32,46,CO
8067,8,67,Colorado,La Plata County,1073,1.0,73.0,Alabama,Jefferson County,4,6,CO
8087,8,87,Colorado,Morgan County,1073,1.0,73.0,Alabama,Jefferson County,30,45,CO
8059,8,59,Colorado,Jefferson County,1089,1.0,89.0,Alabama,Madison County,9,14,CO
8041,8,41,Colorado,El Paso County,1101,1.0,101.0,Alabama,Montgomery County,38,61,CO
8059,8,59,Colorado,Jefferson County,1103,1.0,103.0,Alabama,Morgan County,19,30,CO
8031,8,31,Colorado,Denver County,1117,1.0,117.0,Alabama,Shelby County,26,39,CO
8069,8,69,Colorado,Larimer County,1125,1.0,125.0,Alabama,Tuscaloosa County,8,14,CO
8001,8,1,Colorado,Adams County,2020,2.0,20.0,Alaska,Anchorage Municipality,12,18,CO
8035,8,35,Colorado,Douglas County,2020,2.0,20.0,Alaska,Anchorage Municipality,31,38,CO
8041,8,41,Colorado,El Paso County,2020,2.0,20.0,Alaska,Anchorage Municipality,32,38,CO
8059,8,59,Colorado,Jefferson County,2020,2.0,20.0,Alaska,Anchorage Municipality,9,14,CO
8063,8,63,Colorado,Kit Carson County,2020,2.0,20.0,Alaska,Anchorage Municipality,7,11,CO
8069,8,69,Colorado,Larimer County,2020,2.0,20.0,Alaska,Anchorage Municipality,4,6,CO
8083,8,83,Colorado,Montezuma County,2020,2.0,20.0,Alaska,Anchorage Municipality,12,20,CO
8085,8,85,Colorado,Montrose County,2020,2.0,20.0,Alaska,Anchorage Municipality,6,10,CO
8119,8,119,Colorado,Teller County,2020,2.0,20.0,Alaska,Anchorage Municipality,14,24,CO
8067,8,67,Colorado,La Plata County,2110,2.0,110.0,Alaska,Juneau City and Borough,2,4,CO
8117,8,117,Colorado,Summit County,2122,2.0,122.0,Alaska,Kenai Peninsula Borough,72,93,CO
8013,8,13,Colorado,Boulder County,2185,2.0,185.0,Alaska,North Slope Borough,57,81,CO
8015,8,15,Colorado,Chaffee County,2185,2.0,185.0,Alaska,North Slope Borough,7,11,CO
8031,8,31,Colorado,Denver County,2185,2.0,185.0,Alaska,North Slope Borough,10,16,CO
8041,8,41,Colorado,El Paso County,2185,2.0,185.0,Alaska,North Slope Borough,10,16,CO
8069,8,69,Colorado,Larimer County,2185,2.0,185.0,Alaska,North Slope Borough,8,13,CO
8043,8,43,Colorado,Fremont County,2220,2.0,220.0,Alaska,Sitka City and Borough,10,15,CO
8041,8,41,Colorado,El Paso County,2240,2.0,240.0,Alaska,Southeast Fairbanks Census Area,58,85,CO
8041,8,41,Colorado,El Paso County,2261,2.0,261.0,Alaska,Valdez-Cordova Census Area,31,42,CO
8067,8,67,Colorado,La Plata County,4001,4.0,1.0,Arizona,Apache County,10,15,CO
8083,8,83,Colorado,Montezuma County,4001,4.0,1.0,Arizona,Apache County,50,49,CO
