POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
9001,9,1,Connecticut,Fairfield County,1097,1.0,97.0,Alabama,Mobile County,16,23,CT
9007,9,7,Connecticut,Middlesex County,1097,1.0,97.0,Alabama,Mobile County,13,22,CT
9007,9,7,Connecticut,Middlesex County,2016,2.0,16.0,Alaska,Aleutians West Census Area,12,20,CT
9009,9,9,Connecticut,New Haven County,2122,2.0,122.0,Alaska,Kenai Peninsula Borough,55,86,CT
9013,9,13,Connecticut,Tolland County,4013,4.0,13.0,Arizona,Maricopa County,12,20,CT
9001,9,1,Connecticut,Fairfield County,4019,4.0,19.0,Arizona,Pima County,34,44,CT
9001,9,1,Connecticut,Fairfield County,6001,6.0,1.0,California,Alameda County,12,19,CT
9005,9,5,Connecticut,Litchfield County,6013,6.0,13.0,California,Contra Costa County,3,5,CT
9001,9,1,Connecticut,Fairfield County,6037,6.0,37.0,California,Los Angeles County,140,85,CT
9003,9,3,Connecticut,Hartford County,6037,6.0,37.0,California,Los Angeles County,84,107,CT
9005,9,5,Connecticut,Litchfield County,6037,6.0,37.0,California,Los Angeles County,5,6,CT
9007,9,7,Connecticut,Middlesex County,6037,6.0,37.0,California,Los Angeles County,16,25,CT
9009,9,9,Connecticut,New Haven County,6037,6.0,37.0,California,Los Angeles County,46,43,CT
9003,9,3,Connecticut,Hartford County,6041,6.0,41.0,California,Marin County,10,15,CT
9001,9,1,Connecticut,Fairfield County,6047,6.0,47.0,California,Merced County,10,15,CT
9001,9,1,Connecticut,Fairfield County,6053,6.0,53.0,California,Monterey County,8,12,CT
9001,9,1,Connecticut,Fairfield County,6059,6.0,59.0,California,Orange County,36,25,CT
9003,9,3,Connecticut,Hartford County,6059,6.0,59.0,California,Orange County,13,20,CT
9013,9,13,Connecticut,Tolland County,6059,6.0,59.0,California,Orange County,6,9,CT
9007,9,7,Connecticut,Middlesex County,6063,6.0,63.0,California,Plumas County,11,19,CT
9009,9,9,Connecticut,New Haven County,6071,6.0,71.0,California,San Bernardino County,10,16,CT
9015,9,15,Connecticut,Windham County,6071,6.0,71.0,California,San Bernardino County,8,13,CT
9001,9,1,Connecticut,Fairfield County,6073,6.0,73.0,California,San Diego County,9,16,CT
9003,9,3,Connecticut,Hartford County,6073,6.0,73.0,California,San Diego County,5,9,CT
9005,9,5,Connecticut,Litchfield County,6073,6.0,73.0,California,San Diego County,5,8,CT
9007,9,7,Connecticut,Middlesex County,6073,6.0,73.0,California,San Diego County,11,14,CT
9009,9,9,Connecticut,New Haven County,6073,6.0,73.0,California,San Diego County,20,24,CT
9001,9,1,Connecticut,Fairfield County,6075,6.0,75.0,California,San Francisco County,30,31,CT
9003,9,3,Connecticut,Hartford County,6075,6.0,75.0,California,San Francisco County,8,14,CT
9005,9,5,Connecticut,Litchfield County,6075,6.0,75.0,California,San Francisco County,25,38,CT
9009,9,9,Connecticut,New Haven County,6075,6.0,75.0,California,San Francisco County,10,16,CT
9001,9,1,Connecticut,Fairfield County,6077,6.0,77.0,California,San Joaquin County,9,14,CT
9001,9,1,Connecticut,Fairfield County,6081,6.0,81.0,California,San Mateo County,16,25,CT
9003,9,3,Connecticut,Hartford County,6081,6.0,81.0,California,San Mateo County,27,43,CT
9009,9,9,Connecticut,New Haven County,6081,6.0,81.0,California,San Mateo County,21,35,CT
9001,9,1,Connecticut,Fairfield County,6083,6.0,83.0,California,Santa Barbara County,10,15,CT
9003,9,3,Connecticut,Hartford County,6083,6.0,83.0,California,Santa Barbara County,21,24,CT
9001,9,1,Connecticut,Fairfield County,6085,6.0,85.0,California,Santa Clara County,30,28,CT
9009,9,9,Connecticut,New Haven County,6095,6.0,95.0,California,Solano County,9,15,CT
9011,9,11,Connecticut,New London County,6097,6.0,97.0,California,Sonoma County,4,6,CT
9005,9,5,Connecticut,Litchfield County,6101,6.0,101.0,California,Sutter County,13,22,CT
9001,9,1,Connecticut,Fairfield County,8005,8.0,5.0,Colorado,Arapahoe County,7,10,CT
9009,9,9,Connecticut,New Haven County,8013,8.0,13.0,Colorado,Boulder County,7,10,CT
9013,9,13,Connecticut,Tolland County,8013,8.0,13.0,Colorado,Boulder County,19,30,CT
9001,9,1,Connecticut,Fairfield County,8021,8.0,21.0,Colorado,Conejos County,9,14,CT
9001,9,1,Connecticut,Fairfield County,8031,8.0,31.0,Colorado,Denver County,18,30,CT
9003,9,3,Connecticut,Hartford County,8031,8.0,31.0,Colorado,Denver County,21,34,CT
9005,9,5,Connecticut,Litchfield County,8097,8.0,97.0,Colorado,Pitkin County,3,4,CT
9001,9,1,Connecticut,Fairfield County,9001,9.0,1.0,Connecticut,Fairfield County,353084,3461,CT
9003,9,3,Connecticut,Hartford County,9001,9.0,1.0,Connecticut,Fairfield County,3300,393,CT
9005,9,5,Connecticut,Litchfield County,9001,9.0,1.0,Connecticut,Fairfield County,11707,632,CT
9007,9,7,Connecticut,Middlesex County,9001,9.0,1.0,Connecticut,Fairfield County,1549,258,CT
9009,9,9,Connecticut,New Haven County,9001,9.0,1.0,Connecticut,Fairfield County,51350,1635,CT
9011,9,11,Connecticut,New London County,9001,9.0,1.0,Connecticut,Fairfield County,443,128,CT
9013,9,13,Connecticut,Tolland County,9001,9.0,1.0,Connecticut,Fairfield County,409,165,CT
9015,9,15,Connecticut,Windham County,9001,9.0,1.0,Connecticut,Fairfield County,133,77,CT
9001,9,1,Connecticut,Fairfield County,9003,9.0,3.0,Connecticut,Hartford County,3248,403,CT
9003,9,3,Connecticut,Hartford County,9003,9.0,3.0,Connecticut,Hartford County,364564,2546,CT
9005,9,5,Connecticut,Litchfield County,9003,9.0,3.0,Connecticut,Hartford County,12686,693,CT
9007,9,7,Connecticut,Middlesex County,9003,9.0,3.0,Connecticut,Hartford County,21995,906,CT
9009,9,9,Connecticut,New Haven County,9003,9.0,3.0,Connecticut,Hartford County,27790,1072,CT
9011,9,11,Connecticut,New London County,9003,9.0,3.0,Connecticut,Hartford County,6917,519,CT
9013,9,13,Connecticut,Tolland County,9003,9.0,3.0,Connecticut,Hartford County,35416,956,CT
9015,9,15,Connecticut,Windham County,9003,9.0,3.0,Connecticut,Hartford County,3310,310,CT
9001,9,1,Connecticut,Fairfield County,9005,9.0,5.0,Connecticut,Litchfield County,3246,474,CT
9003,9,3,Connecticut,Hartford County,9005,9.0,5.0,Connecticut,Litchfield County,3863,369,CT
9005,9,5,Connecticut,Litchfield County,9005,9.0,5.0,Connecticut,Litchfield County,53177,1151,CT
9007,9,7,Connecticut,Middlesex County,9005,9.0,5.0,Connecticut,Litchfield County,65,43,CT
9009,9,9,Connecticut,New Haven County,9005,9.0,5.0,Connecticut,Litchfield County,6684,558,CT
9011,9,11,Connecticut,New London County,9005,9.0,5.0,Connecticut,Litchfield County,70,42,CT
9013,9,13,Connecticut,Tolland County,9005,9.0,5.0,Connecticut,Litchfield County,15,24,CT
9015,9,15,Connecticut,Windham County,9005,9.0,5.0,Connecticut,Litchfield County,29,30,CT
9001,9,1,Connecticut,Fairfield County,9007,9.0,7.0,Connecticut,Middlesex County,585,195,CT
9003,9,3,Connecticut,Hartford County,9007,9.0,7.0,Connecticut,Middlesex County,11633,751,CT
9005,9,5,Connecticut,Litchfield County,9007,9.0,7.0,Connecticut,Middlesex County,677,166,CT
9007,9,7,Connecticut,Middlesex County,9007,9.0,7.0,Connecticut,Middlesex County,41695,1181,CT
9009,9,9,Connecticut,New Haven County,9007,9.0,7.0,Connecticut,Middlesex County,9313,716,CT
9011,9,11,Connecticut,New London County,9007,9.0,7.0,Connecticut,Middlesex County,5106,457,CT
9013,9,13,Connecticut,Tolland County,9007,9.0,7.0,Connecticut,Middlesex County,1133,230,CT
9015,9,15,Connecticut,Windham County,9007,9.0,7.0,Connecticut,Middlesex County,366,128,CT
9001,9,1,Connecticut,Fairfield County,9009,9.0,9.0,Connecticut,New Haven County,25891,1247,CT
9003,9,3,Connecticut,Hartford County,9009,9.0,9.0,Connecticut,New Haven County,20524,893,CT
9005,9,5,Connecticut,Litchfield County,9009,9.0,9.0,Connecticut,New Haven County,12968,654,CT
