POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
11001,11,1,District of Columbia,District of Columbia,1089,1.0,89.0,Alabama,Madison County,11,17,DC
11001,11,1,District of Columbia,District of Columbia,1101,1.0,101.0,Alabama,Montgomery County,5,7,DC
11001,11,1,District of Columbia,District of Columbia,5007,5.0,7.0,Arkansas,Benton County,17,27,DC
11001,11,1,District of Columbia,District of Columbia,6001,6.0,1.0,California,Alameda County,7,12,DC
11001,11,1,District of Columbia,District of Columbia,6037,6.0,37.0,California,Los Angeles County,29,28,DC
11001,11,1,District of Columbia,District of Columbia,6057,6.0,57.0,California,Nevada County,6,11,DC
11001,11,1,District of Columbia,District of Columbia,6059,6.0,59.0,California,Orange County,19,31,DC
11001,11,1,District of Columbia,District of Columbia,6065,6.0,65.0,California,Riverside County,4,8,DC
11001,11,1,District of Columbia,District of Columbia,6067,6.0,67.0,California,Sacramento County,59,95,DC
11001,11,1,District of Columbia,District of Columbia,6075,6.0,75.0,California,San Francisco County,72,47,DC
11001,11,1,District of Columbia,District of Columbia,6081,6.0,81.0,California,San Mateo County,7,12,DC
11001,11,1,District of Columbia,District of Columbia,8031,8.0,31.0,Colorado,Denver County,1,4,DC
11001,11,1,District of Columbia,District of Columbia,8041,8.0,41.0,Colorado,El Paso County,13,19,DC
11001,11,1,District of Columbia,District of Columbia,10003,10.0,3.0,Delaware,New Castle County,7,15,DC
11001,11,1,District of Columbia,District of Columbia,11001,11.0,1.0,District of Columbia,District of Columbia,252256,2654,DC
11001,11,1,District of Columbia,District of Columbia,12073,12.0,73.0,Florida,Leon County,14,25,DC
11001,11,1,District of Columbia,District of Columbia,12086,12.0,86.0,Florida,Miami-Dade County,97,64,DC
11001,11,1,District of Columbia,District of Columbia,12109,12.0,109.0,Florida,St. Johns County,14,21,DC
11001,11,1,District of Columbia,District of Columbia,13063,13.0,63.0,Georgia,Clayton County,6,11,DC
11001,11,1,District of Columbia,District of Columbia,13121,13.0,121.0,Georgia,Fulton County,103,74,DC
11001,11,1,District of Columbia,District of Columbia,13129,13.0,129.0,Georgia,Gordon County,15,24,DC
11001,11,1,District of Columbia,District of Columbia,13135,13.0,135.0,Georgia,Gwinnett County,8,12,DC
11001,11,1,District of Columbia,District of Columbia,17031,17.0,31.0,Illinois,Cook County,37,36,DC
11001,11,1,District of Columbia,District of Columbia,18063,18.0,63.0,Indiana,Hendricks County,14,18,DC
11001,11,1,District of Columbia,District of Columbia,18097,18.0,97.0,Indiana,Marion County,20,22,DC
