POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
15003,15,3,Hawaii,Honolulu County,2016,2.0,16.0,Alaska,Aleutians West Census Area,19,22,HI
15001,15,1,Hawaii,Hawaii County,2020,2.0,20.0,Alaska,Anchorage Municipality,24,25,HI
15003,15,3,Hawaii,Honolulu County,2020,2.0,20.0,Alaska,Anchorage Municipality,18,25,HI
15003,15,3,Hawaii,Honolulu County,2090,2.0,90.0,Alaska,Fairbanks North Star Borough,20,20,HI
15009,15,9,Hawaii,Maui County,2100,2.0,100.0,Alaska,Haines Borough,5,8,HI
15001,15,1,Hawaii,Hawaii County,4013,4.0,13.0,Arizona,Maricopa County,39,38,HI
15003,15,3,Hawaii,Honolulu County,4013,4.0,13.0,Arizona,Maricopa County,27,31,HI
15009,15,9,Hawaii,Maui County,4013,4.0,13.0,Arizona,Maricopa County,11,13,HI
15001,15,1,Hawaii,Hawaii County,4019,4.0,19.0,Arizona,Pima County,26,33,HI
15003,15,3,Hawaii,Honolulu County,4019,4.0,19.0,Arizona,Pima County,21,24,HI
15003,15,3,Hawaii,Honolulu County,6001,6.0,1.0,California,Alameda County,13,17,HI
15001,15,1,Hawaii,Hawaii County,6013,6.0,13.0,California,Contra Costa County,36,39,HI
15001,15,1,Hawaii,Hawaii County,6037,6.0,37.0,California,Los Angeles County,57,78,HI
15003,15,3,Hawaii,Honolulu County,6037,6.0,37.0,California,Los Angeles County,222,114,HI
15007,15,7,Hawaii,Kauai County,6037,6.0,37.0,California,Los Angeles County,10,18,HI
15009,15,9,Hawaii,Maui County,6037,6.0,37.0,California,Los Angeles County,26,25,HI
15003,15,3,Hawaii,Honolulu County,6045,6.0,45.0,California,Mendocino County,4,6,HI
15009,15,9,Hawaii,Maui County,6053,6.0,53.0,California,Monterey County,3,4,HI
15001,15,1,Hawaii,Hawaii County,6059,6.0,59.0,California,Orange County,13,20,HI
15003,15,3,Hawaii,Honolulu County,6059,6.0,59.0,California,Orange County,72,49,HI
15009,15,9,Hawaii,Maui County,6059,6.0,59.0,California,Orange County,8,13,HI
15009,15,9,Hawaii,Maui County,6061,6.0,61.0,California,Placer County,3,5,HI
15003,15,3,Hawaii,Honolulu County,6067,6.0,67.0,California,Sacramento County,23,32,HI
15003,15,3,Hawaii,Honolulu County,6071,6.0,71.0,California,San Bernardino County,44,32,HI
15001,15,1,Hawaii,Hawaii County,6073,6.0,73.0,California,San Diego County,9,10,HI
15003,15,3,Hawaii,Honolulu County,6073,6.0,73.0,California,San Diego County,100,98,HI
15007,15,7,Hawaii,Kauai County,6073,6.0,73.0,California,San Diego County,20,25,HI
15009,15,9,Hawaii,Maui County,6073,6.0,73.0,California,San Diego County,16,25,HI
15001,15,1,Hawaii,Hawaii County,6075,6.0,75.0,California,San Francisco County,15,20,HI
15003,15,3,Hawaii,Honolulu County,6075,6.0,75.0,California,San Francisco County,39,42,HI
15001,15,1,Hawaii,Hawaii County,6081,6.0,81.0,California,San Mateo County,3,5,HI
15003,15,3,Hawaii,Honolulu County,6081,6.0,81.0,California,San Mateo County,102,58,HI
15007,15,7,Hawaii,Kauai County,6081,6.0,81.0,California,San Mateo County,22,25,HI
15009,15,9,Hawaii,Maui County,6081,6.0,81.0,California,San Mateo County,9,15,HI
15003,15,3,Hawaii,Honolulu County,6083,6.0,83.0,California,Santa Barbara County,13,21,HI
15007,15,7,Hawaii,Kauai County,6085,6.0,85.0,California,Santa Clara County,11,10,HI
15009,15,9,Hawaii,Maui County,6085,6.0,85.0,California,Santa Clara County,20,20,HI
15007,15,7,Hawaii,Kauai County,6097,6.0,97.0,California,Sonoma County,5,7,HI
15003,15,3,Hawaii,Honolulu County,6099,6.0,99.0,California,Stanislaus County,64,76,HI
15009,15,9,Hawaii,Maui County,8005,8.0,5.0,Colorado,Arapahoe County,2,4,HI
15009,15,9,Hawaii,Maui County,8013,8.0,13.0,Colorado,Boulder County,7,11,HI
15003,15,3,Hawaii,Honolulu County,8031,8.0,31.0,Colorado,Denver County,1,2,HI
15009,15,9,Hawaii,Maui County,8031,8.0,31.0,Colorado,Denver County,9,12,HI
15003,15,3,Hawaii,Honolulu County,8041,8.0,41.0,Colorado,El Paso County,13,20,HI
15001,15,1,Hawaii,Hawaii County,9003,9.0,3.0,Connecticut,Hartford County,13,18,HI
15003,15,3,Hawaii,Honolulu County,10001,10.0,1.0,Delaware,Kent County,5,8,HI
15003,15,3,Hawaii,Honolulu County,11001,11.0,1.0,District of Columbia,District of Columbia,21,23,HI
15003,15,3,Hawaii,Honolulu County,12009,12.0,9.0,Florida,Brevard County,8,14,HI
15003,15,3,Hawaii,Honolulu County,12011,12.0,11.0,Florida,Broward County,11,16,HI
15003,15,3,Hawaii,Honolulu County,12033,12.0,33.0,Florida,Escambia County,5,8,HI
15003,15,3,Hawaii,Honolulu County,12057,12.0,57.0,Florida,Hillsborough County,11,17,HI
15003,15,3,Hawaii,Honolulu County,12086,12.0,86.0,Florida,Miami-Dade County,17,27,HI
15003,15,3,Hawaii,Honolulu County,12091,12.0,91.0,Florida,Okaloosa County,13,19,HI
15009,15,9,Hawaii,Maui County,12095,12.0,95.0,Florida,Orange County,7,9,HI
15009,15,9,Hawaii,Maui County,13067,13.0,67.0,Georgia,Cobb County,1,2,HI
15003,15,3,Hawaii,Honolulu County,13113,13.0,113.0,Georgia,Fayette County,7,11,HI
15005,15,5,Hawaii,Kalawao County,13127,13.0,127.0,Georgia,Glynn County,2,2,HI
15001,15,1,Hawaii,Hawaii County,15001,15.0,1.0,Hawaii,Hawaii County,78955,1602,HI
15003,15,3,Hawaii,Honolulu County,15001,15.0,1.0,Hawaii,Hawaii County,411,138,HI
15007,15,7,Hawaii,Kauai County,15001,15.0,1.0,Hawaii,Hawaii County,109,75,HI
15009,15,9,Hawaii,Maui County,15001,15.0,1.0,Hawaii,Hawaii County,61,40,HI
15001,15,1,Hawaii,Hawaii County,15003,15.0,3.0,Hawaii,Honolulu County,883,230,HI
15003,15,3,Hawaii,Honolulu County,15003,15.0,3.0,Hawaii,Honolulu County,481687,2544,HI
15007,15,7,Hawaii,Kauai County,15003,15.0,3.0,Hawaii,Honolulu County,88,45,HI
15009,15,9,Hawaii,Maui County,15003,15.0,3.0,Hawaii,Honolulu County,617,192,HI
15005,15,5,Hawaii,Kalawao County,15005,15.0,5.0,Hawaii,Kalawao County,54,19,HI
15009,15,9,Hawaii,Maui County,15005,15.0,5.0,Hawaii,Kalawao County,13,11,HI
15001,15,1,Hawaii,Hawaii County,15007,15.0,7.0,Hawaii,Kauai County,27,23,HI
15003,15,3,Hawaii,Honolulu County,15007,15.0,7.0,Hawaii,Kauai County,129,72,HI
15007,15,7,Hawaii,Kauai County,15007,15.0,7.0,Hawaii,Kauai County,32863,688,HI
