POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
16079,16,79,Idaho,Shoshone County,1033,1.0,33.0,Alabama,Colbert County,6,9,ID
16001,16,1,Idaho,Ada County,2020,2.0,20.0,Alaska,Anchorage Municipality,25,34,ID
16017,16,17,Idaho,Bonner County,2020,2.0,20.0,Alaska,Anchorage Municipality,2,4,ID
16019,16,19,Idaho,Bonneville County,2020,2.0,20.0,Alaska,Anchorage Municipality,9,14,ID
16035,16,35,Idaho,Clearwater County,2020,2.0,20.0,Alaska,Anchorage Municipality,1,3,ID
16037,16,37,Idaho,Custer County,2020,2.0,20.0,Alaska,Anchorage Municipality,8,12,ID
16061,16,61,Idaho,Lewis County,2020,2.0,20.0,Alaska,Anchorage Municipality,3,4,ID
16057,16,57,Idaho,Latah County,2060,2.0,60.0,Alaska,Bristol Bay Borough,23,34,ID
16055,16,55,Idaho,Kootenai County,2068,2.0,68.0,Alaska,Denali Borough,55,69,ID
16055,16,55,Idaho,Kootenai County,2090,2.0,90.0,Alaska,Fairbanks North Star Borough,5,10,ID
16001,16,1,Idaho,Ada County,2110,2.0,110.0,Alaska,Juneau City and Borough,60,95,ID
16021,16,21,Idaho,Boundary County,2110,2.0,110.0,Alaska,Juneau City and Borough,6,12,ID
16079,16,79,Idaho,Shoshone County,2110,2.0,110.0,Alaska,Juneau City and Borough,13,20,ID
16007,16,7,Idaho,Bear Lake County,2122,2.0,122.0,Alaska,Kenai Peninsula Borough,24,28,ID
16055,16,55,Idaho,Kootenai County,2164,2.0,164.0,Alaska,Lake and Peninsula Borough,25,37,ID
16021,16,21,Idaho,Boundary County,2170,2.0,170.0,Alaska,Matanuska-Susitna Borough,17,25,ID
16081,16,81,Idaho,Teton County,2170,2.0,170.0,Alaska,Matanuska-Susitna Borough,13,21,ID
16001,16,1,Idaho,Ada County,2185,2.0,185.0,Alaska,North Slope Borough,56,56,ID
16009,16,9,Idaho,Benewah County,2185,2.0,185.0,Alaska,North Slope Borough,50,45,ID
16015,16,15,Idaho,Boise County,2185,2.0,185.0,Alaska,North Slope Borough,26,38,ID
16017,16,17,Idaho,Bonner County,2185,2.0,185.0,Alaska,North Slope Borough,42,47,ID
16021,16,21,Idaho,Boundary County,2185,2.0,185.0,Alaska,North Slope Borough,4,7,ID
16027,16,27,Idaho,Canyon County,2185,2.0,185.0,Alaska,North Slope Borough,16,25,ID
16035,16,35,Idaho,Clearwater County,2185,2.0,185.0,Alaska,North Slope Borough,10,11,ID
16043,16,43,Idaho,Fremont County,2185,2.0,185.0,Alaska,North Slope Borough,26,11,ID
16049,16,49,Idaho,Idaho County,2185,2.0,185.0,Alaska,North Slope Borough,5,7,ID
16055,16,55,Idaho,Kootenai County,2185,2.0,185.0,Alaska,North Slope Borough,14,22,ID
16061,16,61,Idaho,Lewis County,2185,2.0,185.0,Alaska,North Slope Borough,6,7,ID
16083,16,83,Idaho,Twin Falls County,2185,2.0,185.0,Alaska,North Slope Borough,5,8,ID
16027,16,27,Idaho,Canyon County,2188,2.0,188.0,Alaska,Northwest Arctic Borough,30,48,ID
16027,16,27,Idaho,Canyon County,2240,2.0,240.0,Alaska,Southeast Fairbanks Census Area,5,8,ID
16037,16,37,Idaho,Custer County,2240,2.0,240.0,Alaska,Southeast Fairbanks Census Area,11,14,ID
16001,16,1,Idaho,Ada County,4013,4.0,13.0,Arizona,Maricopa County,29,35,ID
