POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
17121,17,121,Illinois,Marion County,1001,1.0,1.0,Alabama,Autauga County,2,3,IL
17115,17,115,Illinois,Macon County,1005,1.0,5.0,Alabama,Barbour County,15,19,IL
17097,17,97,Illinois,Lake County,1015,1.0,15.0,Alabama,Calhoun County,4,7,IL
17027,17,27,Illinois,Clinton County,1033,1.0,33.0,Alabama,Colbert County,19,28,IL
17089,17,89,Illinois,Kane County,1071,1.0,71.0,Alabama,Jackson County,16,25,IL
17031,17,31,Illinois,Cook County,1073,1.0,73.0,Alabama,Jefferson County,36,36,IL
17069,17,69,Illinois,Hardin County,1073,1.0,73.0,Alabama,Jefferson County,16,25,IL
17165,17,165,Illinois,Saline County,1073,1.0,73.0,Alabama,Jefferson County,5,8,IL
17183,17,183,Illinois,Vermilion County,1073,1.0,73.0,Alabama,Jefferson County,30,36,IL
17199,17,199,Illinois,Williamson County,1073,1.0,73.0,Alabama,Jefferson County,5,9,IL
17137,17,137,Illinois,Morgan County,1083,1.0,83.0,Alabama,Limestone County,2,3,IL
17089,17,89,Illinois,Kane County,1089,1.0,89.0,Alabama,Madison County,14,23,IL
17031,17,31,Illinois,Cook County,1097,1.0,97.0,Alabama,Mobile County,56,71,IL
17089,17,89,Illinois,Kane County,1097,1.0,97.0,Alabama,Mobile County,9,14,IL
17031,17,31,Illinois,Cook County,1101,1.0,101.0,Alabama,Montgomery County,9,13,IL
17051,17,51,Illinois,Fayette County,1101,1.0,101.0,Alabama,Montgomery County,12,17,IL
17089,17,89,Illinois,Kane County,1101,1.0,101.0,Alabama,Montgomery County,21,27,IL
17201,17,201,Illinois,Winnebago County,1109,1.0,109.0,Alabama,Pike County,5,7,IL
17031,17,31,Illinois,Cook County,1117,1.0,117.0,Alabama,Shelby County,7,10,IL
17091,17,91,Illinois,Kankakee County,1125,1.0,125.0,Alabama,Tuscaloosa County,2,3,IL
17055,17,55,Illinois,Franklin County,2020,2.0,20.0,Alaska,Anchorage Municipality,8,11,IL
17089,17,89,Illinois,Kane County,2020,2.0,20.0,Alaska,Anchorage Municipality,16,25,IL
17197,17,197,Illinois,Will County,2020,2.0,20.0,Alaska,Anchorage Municipality,9,14,IL
17143,17,143,Illinois,Peoria County,2090,2.0,90.0,Alaska,Fairbanks North Star Borough,3,5,IL
17031,17,31,Illinois,Cook County,2130,2.0,130.0,Alaska,Ketchikan Gateway Borough,8,14,IL
17097,17,97,Illinois,Lake County,4005,4.0,5.0,Arizona,Coconino County,8,13,IL
17007,17,7,Illinois,Boone County,4013,4.0,13.0,Arizona,Maricopa County,11,17,IL
17027,17,27,Illinois,Clinton County,4013,4.0,13.0,Arizona,Maricopa County,5,8,IL
17031,17,31,Illinois,Cook County,4013,4.0,13.0,Arizona,Maricopa County,150,76,IL
17033,17,33,Illinois,Crawford County,4013,4.0,13.0,Arizona,Maricopa County,5,8,IL
17049,17,49,Illinois,Effingham County,4013,4.0,13.0,Arizona,Maricopa County,10,16,IL
17089,17,89,Illinois,Kane County,4013,4.0,13.0,Arizona,Maricopa County,31,33,IL
17091,17,91,Illinois,Kankakee County,4013,4.0,13.0,Arizona,Maricopa County,3,4,IL
17097,17,97,Illinois,Lake County,4013,4.0,13.0,Arizona,Maricopa County,46,42,IL
17111,17,111,Illinois,McHenry County,4013,4.0,13.0,Arizona,Maricopa County,11,18,IL
17113,17,113,Illinois,McLean County,4013,4.0,13.0,Arizona,Maricopa County,40,35,IL
17119,17,119,Illinois,Madison County,4013,4.0,13.0,Arizona,Maricopa County,9,15,IL
17143,17,143,Illinois,Peoria County,4013,4.0,13.0,Arizona,Maricopa County,2,3,IL
17147,17,147,Illinois,Piatt County,4013,4.0,13.0,Arizona,Maricopa County,3,4,IL
17167,17,167,Illinois,Sangamon County,4013,4.0,13.0,Arizona,Maricopa County,9,13,IL
17179,17,179,Illinois,Tazewell County,4013,4.0,13.0,Arizona,Maricopa County,17,29,IL
17189,17,189,Illinois,Washington County,4013,4.0,13.0,Arizona,Maricopa County,2,3,IL
17197,17,197,Illinois,Will County,4013,4.0,13.0,Arizona,Maricopa County,14,16,IL
17019,17,19,Illinois,Champaign County,4019,4.0,19.0,Arizona,Pima County,6,10,IL
17183,17,183,Illinois,Vermilion County,4019,4.0,19.0,Arizona,Pima County,12,19,IL
17031,17,31,Illinois,Cook County,4021,4.0,21.0,Arizona,Pinal County,9,13,IL
17031,17,31,Illinois,Cook County,4023,4.0,23.0,Arizona,Santa Cruz County,34,55,IL
17181,17,181,Illinois,Union County,5005,5.0,5.0,Arkansas,Baxter County,3,6,IL
17017,17,17,Illinois,Cass County,5007,5.0,7.0,Arkansas,Benton County,3,4,IL
17063,17,63,Illinois,Grundy County,5007,5.0,7.0,Arkansas,Benton County,7,10,IL
17111,17,111,Illinois,McHenry County,5007,5.0,7.0,Arkansas,Benton County,44,73,IL
17119,17,119,Illinois,Madison County,5007,5.0,7.0,Arkansas,Benton County,24,39,IL
17149,17,149,Illinois,Pike County,5007,5.0,7.0,Arkansas,Benton County,1,3,IL
17163,17,163,Illinois,St. Clair County,5007,5.0,7.0,Arkansas,Benton County,27,42,IL
17177,17,177,Illinois,Stephenson County,5007,5.0,7.0,Arkansas,Benton County,9,13,IL
17195,17,195,Illinois,Whiteside County,5007,5.0,7.0,Arkansas,Benton County,10,15,IL
17097,17,97,Illinois,Lake County,5031,5.0,31.0,Arkansas,Craighead County,6,9,IL
17113,17,113,Illinois,McLean County,5031,5.0,31.0,Arkansas,Craighead County,30,48,IL
17199,17,199,Illinois,Williamson County,5031,5.0,31.0,Arkansas,Craighead County,22,34,IL
17051,17,51,Illinois,Fayette County,5033,5.0,33.0,Arkansas,Crawford County,6,10,IL
17165,17,165,Illinois,Saline County,5033,5.0,33.0,Arkansas,Crawford County,18,19,IL
17019,17,19,Illinois,Champaign County,5035,5.0,35.0,Arkansas,Crittenden County,11,18,IL
17031,17,31,Illinois,Cook County,5037,5.0,37.0,Arkansas,Cross County,9,14,IL
17117,17,117,Illinois,Macoupin County,5037,5.0,37.0,Arkansas,Cross County,18,27,IL
17021,17,21,Illinois,Christian County,5041,5.0,41.0,Arkansas,Desha County,1,2,IL
17031,17,31,Illinois,Cook County,5045,5.0,45.0,Arkansas,Faulkner County,8,11,IL
17073,17,73,Illinois,Henry County,5051,5.0,51.0,Arkansas,Garland County,6,10,IL
17003,17,3,Illinois,Alexander County,5057,5.0,57.0,Arkansas,Hempstead County,4,7,IL
17139,17,139,Illinois,Moultrie County,5063,5.0,63.0,Arkansas,Independence County,10,13,IL
17121,17,121,Illinois,Marion County,5093,5.0,93.0,Arkansas,Mississippi County,5,8,IL
17133,17,133,Illinois,Monroe County,5103,5.0,103.0,Arkansas,Ouachita County,6,9,IL
17021,17,21,Illinois,Christian County,5119,5.0,119.0,Arkansas,Pulaski County,9,16,IL
