POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
20061,20,61,Kansas,Geary County,1073,1.0,73.0,Alabama,Jefferson County,10,15,KS
20091,20,91,Kansas,Johnson County,1073,1.0,73.0,Alabama,Jefferson County,6,11,KS
20117,20,117,Kansas,Marshall County,1073,1.0,73.0,Alabama,Jefferson County,14,22,KS
20091,20,91,Kansas,Johnson County,1089,1.0,89.0,Alabama,Madison County,12,14,KS
20173,20,173,Kansas,Sedgwick County,1101,1.0,101.0,Alabama,Montgomery County,8,13,KS
20177,20,177,Kansas,Shawnee County,1101,1.0,101.0,Alabama,Montgomery County,2,8,KS
20035,20,35,Kansas,Cowley County,2020,2.0,20.0,Alaska,Anchorage Municipality,2,3,KS
20045,20,45,Kansas,Douglas County,2170,2.0,170.0,Alaska,Matanuska-Susitna Borough,30,48,KS
20155,20,155,Kansas,Reno County,2185,2.0,185.0,Alaska,North Slope Borough,4,6,KS
20091,20,91,Kansas,Johnson County,4013,4.0,13.0,Arizona,Maricopa County,14,16,KS
20169,20,169,Kansas,Saline County,4013,4.0,13.0,Arizona,Maricopa County,2,4,KS
20173,20,173,Kansas,Sedgwick County,4017,4.0,17.0,Arizona,Navajo County,8,10,KS
20013,20,13,Kansas,Brown County,4019,4.0,19.0,Arizona,Pima County,5,10,KS
20071,20,71,Kansas,Greeley County,4021,4.0,21.0,Arizona,Pinal County,4,6,KS
20157,20,157,Kansas,Republic County,4027,4.0,27.0,Arizona,Yuma County,1,3,KS
20021,20,21,Kansas,Cherokee County,5007,5.0,7.0,Arkansas,Benton County,17,28,KS
20091,20,91,Kansas,Johnson County,5007,5.0,7.0,Arkansas,Benton County,9,13,KS
20173,20,173,Kansas,Sedgwick County,5007,5.0,7.0,Arkansas,Benton County,60,61,KS
20107,20,107,Kansas,Linn County,5015,5.0,15.0,Arkansas,Carroll County,39,52,KS
20053,20,53,Kansas,Ellsworth County,5081,5.0,81.0,Arkansas,Little River County,2,3,KS
20031,20,31,Kansas,Coffey County,5091,5.0,91.0,Arkansas,Miller County,2,3,KS
20073,20,73,Kansas,Greenwood County,5115,5.0,115.0,Arkansas,Pope County,6,10,KS
20209,20,209,Kansas,Wyandotte County,5117,5.0,117.0,Arkansas,Prairie County,17,27,KS
20053,20,53,Kansas,Ellsworth County,5119,5.0,119.0,Arkansas,Pulaski County,1,2,KS
20209,20,209,Kansas,Wyandotte County,5123,5.0,123.0,Arkansas,St. Francis County,9,14,KS
20015,20,15,Kansas,Butler County,5131,5.0,131.0,Arkansas,Sebastian County,5,10,KS
20045,20,45,Kansas,Douglas County,5131,5.0,131.0,Arkansas,Sebastian County,7,13,KS
20091,20,91,Kansas,Johnson County,5131,5.0,131.0,Arkansas,Sebastian County,4,6,KS
