POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
21227,21,227,Kentucky,Warren County,1005,1.0,5.0,Alabama,Barbour County,15,25,KY
21235,21,235,Kentucky,Whitley County,1005,1.0,5.0,Alabama,Barbour County,6,9,KY
21015,21,15,Kentucky,Boone County,1013,1.0,13.0,Alabama,Butler County,11,17,KY
21107,21,107,Kentucky,Hopkins County,1041,1.0,41.0,Alabama,Crenshaw County,11,17,KY
21073,21,73,Kentucky,Franklin County,1043,1.0,43.0,Alabama,Cullman County,12,20,KY
21207,21,207,Kentucky,Russell County,1043,1.0,43.0,Alabama,Cullman County,4,9,KY
21235,21,235,Kentucky,Whitley County,1057,1.0,57.0,Alabama,Fayette County,21,32,KY
21111,21,111,Kentucky,Jefferson County,1069,1.0,69.0,Alabama,Houston County,13,20,KY
21049,21,49,Kentucky,Clark County,1071,1.0,71.0,Alabama,Jackson County,24,37,KY
21111,21,111,Kentucky,Jefferson County,1071,1.0,71.0,Alabama,Jackson County,8,12,KY
21035,21,35,Kentucky,Calloway County,1073,1.0,73.0,Alabama,Jefferson County,2,4,KY
21095,21,95,Kentucky,Harlan County,1073,1.0,73.0,Alabama,Jefferson County,29,36,KY
21125,21,125,Kentucky,Laurel County,1073,1.0,73.0,Alabama,Jefferson County,14,20,KY
21139,21,139,Kentucky,Livingston County,1073,1.0,73.0,Alabama,Jefferson County,7,8,KY
21141,21,141,Kentucky,Logan County,1073,1.0,73.0,Alabama,Jefferson County,29,37,KY
21229,21,229,Kentucky,Washington County,1073,1.0,73.0,Alabama,Jefferson County,21,28,KY
21003,21,3,Kentucky,Allen County,1089,1.0,89.0,Alabama,Madison County,14,21,KY
21141,21,141,Kentucky,Logan County,1089,1.0,89.0,Alabama,Madison County,2,3,KY
21015,21,15,Kentucky,Boone County,1097,1.0,97.0,Alabama,Mobile County,14,24,KY
21183,21,183,Kentucky,Ohio County,1099,1.0,99.0,Alabama,Monroe County,1,2,KY
21049,21,49,Kentucky,Clark County,1101,1.0,101.0,Alabama,Montgomery County,24,31,KY
21111,21,111,Kentucky,Jefferson County,1101,1.0,101.0,Alabama,Montgomery County,2,3,KY
21111,21,111,Kentucky,Jefferson County,1103,1.0,103.0,Alabama,Morgan County,12,19,KY
21107,21,107,Kentucky,Hopkins County,1121,1.0,121.0,Alabama,Talladega County,19,30,KY
21001,21,1,Kentucky,Adair County,1125,1.0,125.0,Alabama,Tuscaloosa County,9,16,KY
21107,21,107,Kentucky,Hopkins County,1125,1.0,125.0,Alabama,Tuscaloosa County,2,3,KY
21111,21,111,Kentucky,Jefferson County,2020,2.0,20.0,Alaska,Anchorage Municipality,2,3,KY
21067,21,67,Kentucky,Fayette County,2110,2.0,110.0,Alaska,Juneau City and Borough,5,8,KY
